symbol,metric,year,value,crawled_date
EME,Doanh thu bán hàng và CCDV,2020,77826191.0,2025-04-12
EME,Doanh thu bán hàng và CCDV,2021,72054696.0,2025-04-12
EME,Doanh thu bán hàng và CCDV,2022,96131926.0,2025-04-12
EME,Doanh thu bán hàng và CCDV,2023,60592399.0,2025-04-12
EME,Giá vốn hàng bán,2020,60804503.0,2025-04-12
EME,Giá vốn hàng bán,2021,49448280.0,2025-04-12
EME,Giá vốn hàng bán,2022,78939394.0,2025-04-12
EME,Giá vốn hàng bán,2023,49401361.0,2025-04-12
EME,Lợi nhuận gộp về BH và CCDV,2020,17021688.0,2025-04-12
EME,Lợi nhuận gộp về BH và CCDV,2021,22606416.0,2025-04-12
EME,Lợi nhuận gộp về BH và CCDV,2022,17192532.0,2025-04-12
EME,Lợi nhuận gộp về BH và CCDV,2023,11191038.0,2025-04-12
EME,Lợi nhuận tài chính,2020,874278.0,2025-04-12
EME,Lợi nhuận tài chính,2021,1624646.0,2025-04-12
EME,Lợi nhuận tài chính,2022,3567749.0,2025-04-12
EME,Lợi nhuận tài chính,2023,4637419.0,2025-04-12
EME,Lợi nhuận khác,2020,200196.0,2025-04-12
EME,Lợi nhuận khác,2021,340496.0,2025-04-12
EME,Lợi nhuận khác,2022,146677.0,2025-04-12
EME,Lợi nhuận khác,2023,-312440.0,2025-04-12
EME,Tổng lợi nhuận trước thuế,2020,1668646.0,2025-04-12
EME,Tổng lợi nhuận trước thuế,2021,7122177.0,2025-04-12
EME,Tổng lợi nhuận trước thuế,2022,7623860.0,2025-04-12
EME,Tổng lợi nhuận trước thuế,2023,5090340.0,2025-04-12
EME,Lợi nhuận sau thuế,2020,1380923.0,2025-04-12
EME,Lợi nhuận sau thuế,2021,5627346.0,2025-04-12
EME,Lợi nhuận sau thuế,2022,6045861.0,2025-04-12
EME,Lợi nhuận sau thuế,2023,3957530.0,2025-04-12
EME,Lợi nhuận sau thuế của công ty mẹ,2020,1380923.0,2025-04-12
EME,Lợi nhuận sau thuế của công ty mẹ,2021,5627346.0,2025-04-12
EME,Lợi nhuận sau thuế của công ty mẹ,2022,6045861.0,2025-04-12
EME,Lợi nhuận sau thuế của công ty mẹ,2023,3957530.0,2025-04-12
EME,Tổng tài sản lưu động ngắn hạn,2020,97035665.0,2025-04-12
EME,Tổng tài sản lưu động ngắn hạn,2021,113155583.0,2025-04-12
EME,Tổng tài sản lưu động ngắn hạn,2022,71897043.0,2025-04-12
EME,Tổng tài sản lưu động ngắn hạn,2023,60735589.0,2025-04-12
EME,Tổng tài sản,2020,113861749.0,2025-04-12
EME,Tổng tài sản,2021,128559506.0,2025-04-12
EME,Tổng tài sản,2022,145974708.0,2025-04-12
EME,Tổng tài sản,2023,162878066.0,2025-04-12
EME,Nợ ngắn hạn,2020,41320729.0,2025-04-12
EME,Nợ ngắn hạn,2021,50529232.0,2025-04-12
EME,Nợ ngắn hạn,2022,49351456.0,2025-04-12
EME,Nợ ngắn hạn,2023,74085578.0,2025-04-12
EME,Tổng nợ,2020,47468339.0,2025-04-12
EME,Tổng nợ,2021,56676842.0,2025-04-12
EME,Tổng nợ,2022,70499066.0,2025-04-12
EME,Tổng nợ,2023,86695688.0,2025-04-12
EME,Vốn chủ sở hữu,2020,66393411.0,2025-04-12
EME,Vốn chủ sở hữu,2021,71882665.0,2025-04-12
EME,Vốn chủ sở hữu,2022,75475642.0,2025-04-12
EME,Vốn chủ sở hữu,2023,76182378.0,2025-04-12
