symbol,metric,year,value,crawled_date
FCS,Doanh thu bán hàng và CCDV,2022,391991678.0,2025-04-12
FCS,Doanh thu bán hàng và CCDV,2023,404619732.0,2025-04-12
FCS,Doanh thu bán hàng và CCDV,2023,404619732.0,2025-04-12
FCS,Doanh thu bán hàng và CCDV,2024,405809819.0,2025-04-12
FCS,Giá vốn hàng bán,2022,327409369.0,2025-04-12
FCS,Giá vốn hàng bán,2023,338337649.0,2025-04-12
FCS,Giá vốn hàng bán,2023,338337649.0,2025-04-12
FCS,Giá vốn hàng bán,2024,338684010.0,2025-04-12
FCS,Lợi nhuận gộp về BH và CCDV,2022,64582309.0,2025-04-12
FCS,Lợi nhuận gộp về BH và CCDV,2023,66282083.0,2025-04-12
FCS,Lợi nhuận gộp về BH và CCDV,2023,66282083.0,2025-04-12
FCS,Lợi nhuận gộp về BH và CCDV,2024,67124289.0,2025-04-12
FCS,Lợi nhuận tài chính,2022,-762517.0,2025-04-12
FCS,Lợi nhuận tài chính,2023,693590.0,2025-04-12
FCS,Lợi nhuận tài chính,2023,693590.0,2025-04-12
FCS,Lợi nhuận tài chính,2024,8358.0,2025-04-12
FCS,Lợi nhuận khác,2022,4060444.0,2025-04-12
FCS,Lợi nhuận khác,2023,5276303.0,2025-04-12
FCS,Lợi nhuận khác,2023,5276303.0,2025-04-12
FCS,Lợi nhuận khác,2024,1142588.0,2025-04-12
FCS,Tổng lợi nhuận trước thuế,2022,106392.0,2025-04-12
FCS,Tổng lợi nhuận trước thuế,2023,1012909.0,2025-04-12
FCS,Tổng lợi nhuận trước thuế,2023,1012909.0,2025-04-12
FCS,Tổng lợi nhuận trước thuế,2024,-1480043.0,2025-04-12
FCS,Lợi nhuận sau thuế,2022,106392.0,2025-04-12
FCS,Lợi nhuận sau thuế,2023,1012909.0,2025-04-12
FCS,Lợi nhuận sau thuế,2023,1012909.0,2025-04-12
FCS,Lợi nhuận sau thuế,2024,-1480043.0,2025-04-12
FCS,Lợi nhuận sau thuế của công ty mẹ,2022,106392.0,2025-04-12
FCS,Lợi nhuận sau thuế của công ty mẹ,2023,1012909.0,2025-04-12
FCS,Lợi nhuận sau thuế của công ty mẹ,2023,1012909.0,2025-04-12
FCS,Lợi nhuận sau thuế của công ty mẹ,2024,-1480043.0,2025-04-12
FCS,Tổng tài sản lưu động ngắn hạn,2022,26899577.0,2025-04-12
FCS,Tổng tài sản lưu động ngắn hạn,2023,38715239.0,2025-04-12
FCS,Tổng tài sản lưu động ngắn hạn,2023,38715239.0,2025-04-12
FCS,Tổng tài sản lưu động ngắn hạn,2024,46894755.0,2025-04-12
FCS,Tổng tài sản,2022,718250029.0,2025-04-12
FCS,Tổng tài sản,2023,720208189.0,2025-04-12
FCS,Tổng tài sản,2023,720208189.0,2025-04-12
FCS,Tổng tài sản,2024,717715377.0,2025-04-12
FCS,Nợ ngắn hạn,2022,88430530.0,2025-04-12
FCS,Nợ ngắn hạn,2023,89664781.0,2025-04-12
FCS,Nợ ngắn hạn,2023,89664781.0,2025-04-12
FCS,Nợ ngắn hạn,2024,88922012.0,2025-04-12
FCS,Tổng nợ,2022,656972885.0,2025-04-12
FCS,Tổng nợ,2023,657918136.0,2025-04-12
FCS,Tổng nợ,2023,657918136.0,2025-04-12
FCS,Tổng nợ,2024,656905367.0,2025-04-12
FCS,Vốn chủ sở hữu,2022,61277144.0,2025-04-12
FCS,Vốn chủ sở hữu,2023,62290053.0,2025-04-12
FCS,Vốn chủ sở hữu,2023,62290053.0,2025-04-12
FCS,Vốn chủ sở hữu,2024,60810010.0,2025-04-12
