symbol,metric,year,value,crawled_date
FDC,Doanh thu bán hàng và CCDV,2021,185894781.0,2025-04-12
FDC,Doanh thu bán hàng và CCDV,2022,17217337.0,2025-04-12
FDC,Doanh thu bán hàng và CCDV,2023,18771214.0,2025-04-12
FDC,Doanh thu bán hàng và CCDV,2024,28938469.0,2025-04-12
FDC,Giá vốn hàng bán,2021,169707102.0,2025-04-12
FDC,Giá vốn hàng bán,2022,4722952.0,2025-04-12
FDC,Giá vốn hàng bán,2023,5175434.0,2025-04-12
FDC,Giá vốn hàng bán,2024,8616743.0,2025-04-12
FDC,Lợi nhuận gộp về BH và CCDV,2021,16004387.0,2025-04-12
FDC,Lợi nhuận gộp về BH và CCDV,2022,12494385.0,2025-04-12
FDC,Lợi nhuận gộp về BH và CCDV,2023,13595779.0,2025-04-12
FDC,Lợi nhuận gộp về BH và CCDV,2024,20321726.0,2025-04-12
FDC,Lợi nhuận tài chính,2021,62866788.0,2025-04-12
FDC,Lợi nhuận tài chính,2022,3967061.0,2025-04-12
FDC,Lợi nhuận tài chính,2023,26385.0,2025-04-12
FDC,Lợi nhuận tài chính,2024,-2603301.0,2025-04-12
FDC,Lợi nhuận khác,2021,-29292331.0,2025-04-12
FDC,Lợi nhuận khác,2022,24904.0,2025-04-12
FDC,Lợi nhuận khác,2023,221294.0,2025-04-12
FDC,Lợi nhuận khác,2024,-1397411.0,2025-04-12
FDC,Tổng lợi nhuận trước thuế,2021,18724682.0,2025-04-12
FDC,Tổng lợi nhuận trước thuế,2022,-197599757.0,2025-04-12
FDC,Tổng lợi nhuận trước thuế,2023,739735.0,2025-04-12
FDC,Tổng lợi nhuận trước thuế,2024,5062047.0,2025-04-12
FDC,Lợi nhuận sau thuế,2021,9449244.0,2025-04-12
FDC,Lợi nhuận sau thuế,2022,-197595898.0,2025-04-12
FDC,Lợi nhuận sau thuế,2023,724785.0,2025-04-12
FDC,Lợi nhuận sau thuế,2024,5062047.0,2025-04-12
FDC,Lợi nhuận sau thuế của công ty mẹ,2021,9776849.0,2025-04-12
FDC,Lợi nhuận sau thuế của công ty mẹ,2022,-197595898.0,2025-04-12
FDC,Lợi nhuận sau thuế của công ty mẹ,2023,724785.0,2025-04-12
FDC,Lợi nhuận sau thuế của công ty mẹ,2024,5062047.0,2025-04-12
FDC,Tổng tài sản lưu động ngắn hạn,2021,570758520.0,2025-04-12
FDC,Tổng tài sản lưu động ngắn hạn,2022,60668062.0,2025-04-12
FDC,Tổng tài sản lưu động ngắn hạn,2023,61543503.0,2025-04-12
FDC,Tổng tài sản lưu động ngắn hạn,2024,104078113.0,2025-04-12
FDC,Tổng tài sản,2021,804712578.0,2025-04-12
FDC,Tổng tài sản,2022,613556210.0,2025-04-12
FDC,Tổng tài sản,2023,669322417.0,2025-04-12
FDC,Tổng tài sản,2024,821000272.0,2025-04-12
FDC,Nợ ngắn hạn,2021,160658218.0,2025-04-12
FDC,Nợ ngắn hạn,2022,166621232.0,2025-04-12
FDC,Nợ ngắn hạn,2024,59482753.0,2025-04-12
FDC,Tổng nợ,2021,162160606.0,2025-04-12
FDC,Tổng nợ,2022,168329484.0,2025-04-12
FDC,Tổng nợ,2024,370257367.0,2025-04-12
FDC,Vốn chủ sở hữu,2021,642551971.0,2025-04-12
FDC,Vốn chủ sở hữu,2022,444956073.0,2025-04-12
FDC,Vốn chủ sở hữu,2023,59380978.0,2025-04-12
FDC,Vốn chủ sở hữu,2024,450742905.0,2025-04-12
