symbol,metric,year,value,crawled_date
FHN,Doanh thu bán hàng và CCDV,2021,713187976.0,2025-04-12
FHN,Doanh thu bán hàng và CCDV,2022,751901457.0,2025-04-12
FHN,Doanh thu bán hàng và CCDV,2023,999904376.0,2025-04-12
FHN,Doanh thu bán hàng và CCDV,2024,1111341209.0,2025-04-12
FHN,Giá vốn hàng bán,2021,672310875.0,2025-04-12
FHN,Giá vốn hàng bán,2022,703748517.0,2025-04-12
FHN,Giá vốn hàng bán,2023,948422611.0,2025-04-12
FHN,Giá vốn hàng bán,2024,1061214246.0,2025-04-12
FHN,Lợi nhuận gộp về BH và CCDV,2021,39635458.0,2025-04-12
FHN,Lợi nhuận gộp về BH và CCDV,2022,47181511.0,2025-04-12
FHN,Lợi nhuận gộp về BH và CCDV,2023,51481765.0,2025-04-12
FHN,Lợi nhuận gộp về BH và CCDV,2024,49989026.0,2025-04-12
FHN,Lợi nhuận tài chính,2021,-3130873.0,2025-04-12
FHN,Lợi nhuận tài chính,2022,-2071322.0,2025-04-12
FHN,Lợi nhuận tài chính,2023,-1182779.0,2025-04-12
FHN,Lợi nhuận tài chính,2024,-899282.0,2025-04-12
FHN,Lợi nhuận khác,2021,1654385.0,2025-04-12
FHN,Lợi nhuận khác,2022,1554555.0,2025-04-12
FHN,Lợi nhuận khác,2023,-200079.0,2025-04-12
FHN,Lợi nhuận khác,2024,-574893.0,2025-04-12
FHN,Tổng lợi nhuận trước thuế,2021,231230.0,2025-04-12
FHN,Tổng lợi nhuận trước thuế,2022,1608835.0,2025-04-12
FHN,Tổng lợi nhuận trước thuế,2023,3341943.0,2025-04-12
FHN,Tổng lợi nhuận trước thuế,2024,3218007.0,2025-04-12
FHN,Lợi nhuận sau thuế,2021,231230.0,2025-04-12
FHN,Lợi nhuận sau thuế,2022,1608835.0,2025-04-12
FHN,Lợi nhuận sau thuế,2023,2033702.0,2025-04-12
FHN,Lợi nhuận sau thuế,2024,2220076.0,2025-04-12
FHN,Lợi nhuận sau thuế của công ty mẹ,2021,231230.0,2025-04-12
FHN,Lợi nhuận sau thuế của công ty mẹ,2022,1608835.0,2025-04-12
FHN,Lợi nhuận sau thuế của công ty mẹ,2023,2033702.0,2025-04-12
FHN,Lợi nhuận sau thuế của công ty mẹ,2024,2220076.0,2025-04-12
FHN,Tổng tài sản lưu động ngắn hạn,2021,120180470.0,2025-04-12
FHN,Tổng tài sản lưu động ngắn hạn,2022,85763821.0,2025-04-12
FHN,Tổng tài sản lưu động ngắn hạn,2023,105781056.0,2025-04-12
FHN,Tổng tài sản lưu động ngắn hạn,2024,82851859.0,2025-04-12
FHN,Tổng tài sản,2021,236291372.0,2025-04-12
FHN,Tổng tài sản,2022,196841398.0,2025-04-12
FHN,Tổng tài sản,2023,209588509.0,2025-04-12
FHN,Tổng tài sản,2024,181495948.0,2025-04-12
FHN,Nợ ngắn hạn,2021,116498488.0,2025-04-12
FHN,Nợ ngắn hạn,2022,77733715.0,2025-04-12
FHN,Nợ ngắn hạn,2023,96100949.0,2025-04-12
FHN,Nợ ngắn hạn,2024,71214749.0,2025-04-12
FHN,Tổng nợ,2021,188965176.0,2025-04-12
FHN,Tổng nợ,2022,147153900.0,2025-04-12
FHN,Tổng nợ,2023,106311711.0,2025-04-12
FHN,Tổng nợ,2024,77517118.0,2025-04-12
FHN,Vốn chủ sở hữu,2021,47326197.0,2025-04-12
FHN,Vốn chủ sở hữu,2022,49687498.0,2025-04-12
FHN,Vốn chủ sở hữu,2023,103276799.0,2025-04-12
FHN,Vốn chủ sở hữu,2024,103978830.0,2025-04-12
