symbol,metric,year,value,crawled_date
FOX,Doanh thu bán hàng và CCDV,2021,12698133981.0,2025-04-12
FOX,Doanh thu bán hàng và CCDV,2022,14742968557.0,2025-04-12
FOX,Doanh thu bán hàng và CCDV,2023,15812270787.0,2025-04-12
FOX,Doanh thu bán hàng và CCDV,2024,17617660997.0,2025-04-12
FOX,Giá vốn hàng bán,2021,6598135451.0,2025-04-12
FOX,Giá vốn hàng bán,2022,7502502446.0,2025-04-12
FOX,Giá vốn hàng bán,2023,8540916803.0,2025-04-12
FOX,Giá vốn hàng bán,2024,9294623536.0,2025-04-12
FOX,Lợi nhuận gộp về BH và CCDV,2021,6088280800.0,2025-04-12
FOX,Lợi nhuận gộp về BH và CCDV,2022,7227146493.0,2025-04-12
FOX,Lợi nhuận gộp về BH và CCDV,2023,7264893848.0,2025-04-12
FOX,Lợi nhuận gộp về BH và CCDV,2024,8315776717.0,2025-04-12
FOX,Lợi nhuận tài chính,2021,195460482.0,2025-04-12
FOX,Lợi nhuận tài chính,2022,291584203.0,2025-04-12
FOX,Lợi nhuận tài chính,2023,369150159.0,2025-04-12
FOX,Lợi nhuận tài chính,2024,325001031.0,2025-04-12
FOX,Lợi nhuận khác,2021,5575975.0,2025-04-12
FOX,Lợi nhuận khác,2022,-15058409.0,2025-04-12
FOX,Lợi nhuận khác,2023,7539534.0,2025-04-12
FOX,Lợi nhuận khác,2024,-45704147.0,2025-04-12
FOX,Tổng lợi nhuận trước thuế,2021,2394929776.0,2025-04-12
FOX,Tổng lợi nhuận trước thuế,2022,2817596667.0,2025-04-12
FOX,Tổng lợi nhuận trước thuế,2023,3042058175.0,2025-04-12
FOX,Tổng lợi nhuận trước thuế,2024,3587597717.0,2025-04-12
FOX,Lợi nhuận sau thuế,2021,1915837636.0,2025-04-12
FOX,Lợi nhuận sau thuế,2022,2258345668.0,2025-04-12
FOX,Lợi nhuận sau thuế,2023,2433514645.0,2025-04-12
FOX,Lợi nhuận sau thuế,2024,2861086104.0,2025-04-12
FOX,Lợi nhuận sau thuế của công ty mẹ,2021,1820124199.0,2025-04-12
FOX,Lợi nhuận sau thuế của công ty mẹ,2022,2150756825.0,2025-04-12
FOX,Lợi nhuận sau thuế của công ty mẹ,2023,2383057830.0,2025-04-12
FOX,Lợi nhuận sau thuế của công ty mẹ,2024,2803323676.0,2025-04-12
FOX,Tổng tài sản lưu động ngắn hạn,2021,13672033834.0,2025-04-12
FOX,Tổng tài sản lưu động ngắn hạn,2022,10099244269.0,2025-04-12
FOX,Tổng tài sản lưu động ngắn hạn,2023,11507783987.0,2025-04-12
FOX,Tổng tài sản lưu động ngắn hạn,2024,15257330627.0,2025-04-12
FOX,Tổng tài sản,2021,21049408166.0,2025-04-12
FOX,Tổng tài sản,2022,18425563615.0,2025-04-12
FOX,Tổng tài sản,2023,20140549682.0,2025-04-12
FOX,Tổng tài sản,2024,23768325326.0,2025-04-12
FOX,Nợ ngắn hạn,2021,13967863132.0,2025-04-12
FOX,Nợ ngắn hạn,2022,10426642949.0,2025-04-12
FOX,Nợ ngắn hạn,2023,11028157268.0,2025-04-12
FOX,Nợ ngắn hạn,2024,13000283528.0,2025-04-12
FOX,Tổng nợ,2021,14760409866.0,2025-04-12
FOX,Tổng nợ,2022,10505861381.0,2025-04-12
FOX,Tổng nợ,2023,11066785150.0,2025-04-12
FOX,Tổng nợ,2024,13122061089.0,2025-04-12
FOX,Vốn chủ sở hữu,2021,6288998301.0,2025-04-12
FOX,Vốn chủ sở hữu,2022,7919702234.0,2025-04-12
FOX,Vốn chủ sở hữu,2023,9073764532.0,2025-04-12
FOX,Vốn chủ sở hữu,2024,10646264237.0,2025-04-12
