symbol,metric,year,value,crawled_date
FRM,Doanh thu bán hàng và CCDV,2021,40393965.0,2025-04-12
FRM,Doanh thu bán hàng và CCDV,2022,33749297.0,2025-04-12
FRM,Doanh thu bán hàng và CCDV,2023,27439033.0,2025-04-12
FRM,Doanh thu bán hàng và CCDV,2024,32515305.0,2025-04-12
FRM,Giá vốn hàng bán,2021,28652390.0,2025-04-12
FRM,Giá vốn hàng bán,2022,22239100.0,2025-04-12
FRM,Giá vốn hàng bán,2023,23466820.0,2025-04-12
FRM,Giá vốn hàng bán,2024,25696418.0,2025-04-12
FRM,Lợi nhuận gộp về BH và CCDV,2021,11741575.0,2025-04-12
FRM,Lợi nhuận gộp về BH và CCDV,2022,11510197.0,2025-04-12
FRM,Lợi nhuận gộp về BH và CCDV,2023,3972212.0,2025-04-12
FRM,Lợi nhuận gộp về BH và CCDV,2024,6818887.0,2025-04-12
FRM,Lợi nhuận tài chính,2021,1738910.0,2025-04-12
FRM,Lợi nhuận tài chính,2022,-3555487.0,2025-04-12
FRM,Lợi nhuận tài chính,2023,4654422.0,2025-04-12
FRM,Lợi nhuận tài chính,2024,3140309.0,2025-04-12
FRM,Lợi nhuận khác,2021,-1414589.0,2025-04-12
FRM,Lợi nhuận khác,2022,14736268.0,2025-04-12
FRM,Lợi nhuận khác,2023,15366853.0,2025-04-12
FRM,Lợi nhuận khác,2024,12244529.0,2025-04-12
FRM,Tổng lợi nhuận trước thuế,2021,5215143.0,2025-04-12
FRM,Tổng lợi nhuận trước thuế,2022,8073152.0,2025-04-12
FRM,Tổng lợi nhuận trước thuế,2023,14234952.0,2025-04-12
FRM,Tổng lợi nhuận trước thuế,2024,6834879.0,2025-04-12
FRM,Lợi nhuận sau thuế,2021,4208714.0,2025-04-12
FRM,Lợi nhuận sau thuế,2022,6291880.0,2025-04-12
FRM,Lợi nhuận sau thuế,2023,11246800.0,2025-04-12
FRM,Lợi nhuận sau thuế,2024,5334755.0,2025-04-12
FRM,Lợi nhuận sau thuế của công ty mẹ,2021,4208714.0,2025-04-12
FRM,Lợi nhuận sau thuế của công ty mẹ,2022,6291880.0,2025-04-12
FRM,Lợi nhuận sau thuế của công ty mẹ,2023,11246800.0,2025-04-12
FRM,Lợi nhuận sau thuế của công ty mẹ,2024,5334755.0,2025-04-12
FRM,Tổng tài sản lưu động ngắn hạn,2021,65438882.0,2025-04-12
FRM,Tổng tài sản lưu động ngắn hạn,2022,76426247.0,2025-04-12
FRM,Tổng tài sản lưu động ngắn hạn,2023,90234733.0,2025-04-12
FRM,Tổng tài sản lưu động ngắn hạn,2024,95898923.0,2025-04-12
FRM,Tổng tài sản,2021,133607137.0,2025-04-12
FRM,Tổng tài sản,2022,142079957.0,2025-04-12
FRM,Tổng tài sản,2023,153280656.0,2025-04-12
FRM,Tổng tài sản,2024,156025333.0,2025-04-12
FRM,Nợ ngắn hạn,2021,7678049.0,2025-04-12
FRM,Nợ ngắn hạn,2022,15269576.0,2025-04-12
FRM,Nợ ngắn hạn,2023,15852663.0,2025-04-12
FRM,Nợ ngắn hạn,2024,18246786.0,2025-04-12
FRM,Tổng nợ,2021,8439499.0,2025-04-12
FRM,Tổng nợ,2022,15269576.0,2025-04-12
FRM,Tổng nợ,2023,15852663.0,2025-04-12
FRM,Tổng nợ,2024,18246786.0,2025-04-12
FRM,Vốn chủ sở hữu,2021,125167639.0,2025-04-12
FRM,Vốn chủ sở hữu,2022,126810381.0,2025-04-12
FRM,Vốn chủ sở hữu,2023,137427993.0,2025-04-12
FRM,Vốn chủ sở hữu,2024,137778548.0,2025-04-12
