symbol,metric,year,value,crawled_date
FRT,Doanh thu bán hàng và CCDV,2021,22619505421.0,2025-04-12
FRT,Doanh thu bán hàng và CCDV,2022,30276710796.0,2025-04-12
FRT,Doanh thu bán hàng và CCDV,2023,31975613596.0,2025-04-12
FRT,Doanh thu bán hàng và CCDV,2024,40241629282.0,2025-04-12
FRT,Giá vốn hàng bán,2021,19343448146.0,2025-04-12
FRT,Giá vốn hàng bán,2022,25462623377.0,2025-04-12
FRT,Giá vốn hàng bán,2023,26688006159.0,2025-04-12
FRT,Giá vốn hàng bán,2024,32521431587.0,2025-04-12
FRT,Lợi nhuận gộp về BH và CCDV,2021,3151513262.0,2025-04-12
FRT,Lợi nhuận gộp về BH và CCDV,2022,4703177379.0,2025-04-12
FRT,Lợi nhuận gộp về BH và CCDV,2023,5161643458.0,2025-04-12
FRT,Lợi nhuận gộp về BH và CCDV,2024,7583060944.0,2025-04-12
FRT,Lợi nhuận tài chính,2021,51335492.0,2025-04-12
FRT,Lợi nhuận tài chính,2022,-82573033.0,2025-04-12
FRT,Lợi nhuận tài chính,2023,-212004935.0,2025-04-12
FRT,Lợi nhuận tài chính,2024,-146879325.0,2025-04-12
FRT,Lợi nhuận khác,2021,7944745.0,2025-04-12
FRT,Lợi nhuận khác,2022,11655550.0,2025-04-12
FRT,Lợi nhuận khác,2023,2327399.0,2025-04-12
FRT,Lợi nhuận khác,2024,-16179691.0,2025-04-12
FRT,Tổng lợi nhuận trước thuế,2021,554140266.0,2025-04-12
FRT,Tổng lợi nhuận trước thuế,2022,485623414.0,2025-04-12
FRT,Tổng lợi nhuận trước thuế,2023,-294181683.0,2025-04-12
FRT,Tổng lợi nhuận trước thuế,2024,526957088.0,2025-04-12
FRT,Lợi nhuận sau thuế,2021,443898346.0,2025-04-12
FRT,Lợi nhuận sau thuế,2022,398074197.0,2025-04-12
FRT,Lợi nhuận sau thuế,2023,-329196525.0,2025-04-12
FRT,Lợi nhuận sau thuế,2024,408413632.0,2025-04-12
FRT,Lợi nhuận sau thuế của công ty mẹ,2021,443732168.0,2025-04-12
FRT,Lợi nhuận sau thuế của công ty mẹ,2022,390360855.0,2025-04-12
FRT,Lợi nhuận sau thuế của công ty mẹ,2023,-345643489.0,2025-04-12
FRT,Lợi nhuận sau thuế của công ty mẹ,2024,317516266.0,2025-04-12
FRT,Tổng tài sản lưu động ngắn hạn,2021,10221931679.0,2025-04-12
FRT,Tổng tài sản lưu động ngắn hạn,2022,9326797408.0,2025-04-12
FRT,Tổng tài sản lưu động ngắn hạn,2023,11415308018.0,2025-04-12
FRT,Tổng tài sản lưu động ngắn hạn,2024,14026158730.0,2025-04-12
FRT,Tổng tài sản,2021,10786068730.0,2025-04-12
FRT,Tổng tài sản,2022,10523796935.0,2025-04-12
FRT,Tổng tài sản,2023,13098449903.0,2025-04-12
FRT,Tổng tài sản,2024,15832550399.0,2025-04-12
FRT,Nợ ngắn hạn,2021,9106707791.0,2025-04-12
FRT,Nợ ngắn hạn,2022,8474374695.0,2025-04-12
FRT,Nợ ngắn hạn,2023,11378723423.0,2025-04-12
FRT,Nợ ngắn hạn,2024,13712183503.0,2025-04-12
FRT,Tổng nợ,2021,9106794491.0,2025-04-12
FRT,Tổng nợ,2022,8474461395.0,2025-04-12
FRT,Tổng nợ,2023,11379279324.0,2025-04-12
FRT,Tổng nợ,2024,13712736685.0,2025-04-12
FRT,Vốn chủ sở hữu,2021,1679274239.0,2025-04-12
FRT,Vốn chủ sở hữu,2022,2049335540.0,2025-04-12
FRT,Vốn chủ sở hữu,2023,1719170578.0,2025-04-12
FRT,Vốn chủ sở hữu,2024,2119813714.0,2025-04-12
