symbol,metric,year,value,crawled_date
FT1,Doanh thu bán hàng và CCDV,2021,778332040.0,2025-04-12
FT1,Doanh thu bán hàng và CCDV,2022,1062093884.0,2025-04-12
FT1,Doanh thu bán hàng và CCDV,2023,909849625.0,2025-04-12
FT1,Doanh thu bán hàng và CCDV,2024,920904275.0,2025-04-12
FT1,Giá vốn hàng bán,2021,647422027.0,2025-04-12
FT1,Giá vốn hàng bán,2022,888889650.0,2025-04-12
FT1,Giá vốn hàng bán,2023,755255390.0,2025-04-12
FT1,Giá vốn hàng bán,2024,760111253.0,2025-04-12
FT1,Lợi nhuận gộp về BH và CCDV,2021,130461159.0,2025-04-12
FT1,Lợi nhuận gộp về BH và CCDV,2022,172997035.0,2025-04-12
FT1,Lợi nhuận gộp về BH và CCDV,2023,153464315.0,2025-04-12
FT1,Lợi nhuận gộp về BH và CCDV,2024,160380423.0,2025-04-12
FT1,Lợi nhuận tài chính,2021,1214142.0,2025-04-12
FT1,Lợi nhuận tài chính,2022,51998.0,2025-04-12
FT1,Lợi nhuận tài chính,2023,-1285527.0,2025-04-12
FT1,Lợi nhuận tài chính,2024,1962090.0,2025-04-12
FT1,Lợi nhuận khác,2021,3615123.0,2025-04-12
FT1,Lợi nhuận khác,2022,63816.0,2025-04-12
FT1,Lợi nhuận khác,2023,-20445.0,2025-04-12
FT1,Lợi nhuận khác,2024,-315338.0,2025-04-12
FT1,Tổng lợi nhuận trước thuế,2021,60750792.0,2025-04-12
FT1,Tổng lợi nhuận trước thuế,2022,95192964.0,2025-04-12
FT1,Tổng lợi nhuận trước thuế,2023,75045744.0,2025-04-12
FT1,Tổng lợi nhuận trước thuế,2024,87866975.0,2025-04-12
FT1,Lợi nhuận sau thuế,2021,48338425.0,2025-04-12
FT1,Lợi nhuận sau thuế,2022,76025651.0,2025-04-12
FT1,Lợi nhuận sau thuế,2023,59546077.0,2025-04-12
FT1,Lợi nhuận sau thuế,2024,69429658.0,2025-04-12
FT1,Lợi nhuận sau thuế của công ty mẹ,2021,48338425.0,2025-04-12
FT1,Lợi nhuận sau thuế của công ty mẹ,2022,76025651.0,2025-04-12
FT1,Lợi nhuận sau thuế của công ty mẹ,2023,59546077.0,2025-04-12
FT1,Lợi nhuận sau thuế của công ty mẹ,2024,69429658.0,2025-04-12
FT1,Tổng tài sản lưu động ngắn hạn,2021,250298169.0,2025-04-12
FT1,Tổng tài sản lưu động ngắn hạn,2022,345512865.0,2025-04-12
FT1,Tổng tài sản lưu động ngắn hạn,2023,256068754.0,2025-04-12
FT1,Tổng tài sản lưu động ngắn hạn,2024,281517348.0,2025-04-12
FT1,Tổng tài sản,2021,294796759.0,2025-04-12
FT1,Tổng tài sản,2022,397704140.0,2025-04-12
FT1,Tổng tài sản,2023,320283018.0,2025-04-12
FT1,Tổng tài sản,2024,343305097.0,2025-04-12
FT1,Nợ ngắn hạn,2021,154581401.0,2025-04-12
FT1,Nợ ngắn hạn,2022,243800106.0,2025-04-12
FT1,Nợ ngắn hạn,2023,182858558.0,2025-04-12
FT1,Nợ ngắn hạn,2024,195997056.0,2025-04-12
FT1,Tổng nợ,2021,154581401.0,2025-04-12
FT1,Tổng nợ,2022,243800106.0,2025-04-12
FT1,Tổng nợ,2023,182858558.0,2025-04-12
FT1,Tổng nợ,2024,195997056.0,2025-04-12
FT1,Vốn chủ sở hữu,2021,140215358.0,2025-04-12
FT1,Vốn chủ sở hữu,2022,153904034.0,2025-04-12
FT1,Vốn chủ sở hữu,2023,137424460.0,2025-04-12
FT1,Vốn chủ sở hữu,2024,147308041.0,2025-04-12
