symbol,metric,year,value,crawled_date
GAS,Doanh thu bán hàng và CCDV,2021,78992156122.0,2025-04-12
GAS,Doanh thu bán hàng và CCDV,2022,100723549227.0,2025-04-12
GAS,Doanh thu bán hàng và CCDV,2023,90014136903.0,2025-04-12
GAS,Doanh thu bán hàng và CCDV,2024,103603614927.0,2025-04-12
GAS,Giá vốn hàng bán,2021,65006501144.0,2025-04-12
GAS,Giá vốn hàng bán,2022,79409012570.0,2025-04-12
GAS,Giá vốn hàng bán,2023,73028985058.0,2025-04-12
GAS,Giá vốn hàng bán,2024,85909769124.0,2025-04-12
GAS,Lợi nhuận gộp về BH và CCDV,2021,13985654978.0,2025-04-12
GAS,Lợi nhuận gộp về BH và CCDV,2022,21314536658.0,2025-04-12
GAS,Lợi nhuận gộp về BH và CCDV,2023,16924921456.0,2025-04-12
GAS,Lợi nhuận gộp về BH và CCDV,2024,17654357439.0,2025-04-12
GAS,Lợi nhuận tài chính,2021,784058121.0,2025-04-12
GAS,Lợi nhuận tài chính,2022,896677853.0,2025-04-12
GAS,Lợi nhuận tài chính,2023,1686202570.0,2025-04-12
GAS,Lợi nhuận tài chính,2024,1076564606.0,2025-04-12
GAS,Lợi nhuận khác,2021,31887432.0,2025-04-12
GAS,Lợi nhuận khác,2022,78384843.0,2025-04-12
GAS,Lợi nhuận khác,2023,20419229.0,2025-04-12
GAS,Lợi nhuận khác,2024,15702171.0,2025-04-12
GAS,Tổng lợi nhuận trước thuế,2021,11204998244.0,2025-04-12
GAS,Tổng lợi nhuận trước thuế,2022,18806274860.0,2025-04-12
GAS,Tổng lợi nhuận trước thuế,2023,14639542209.0,2025-04-12
GAS,Tổng lợi nhuận trước thuế,2024,13172107496.0,2025-04-12
GAS,Lợi nhuận sau thuế,2021,8851812130.0,2025-04-12
GAS,Lợi nhuận sau thuế,2022,15066392289.0,2025-04-12
GAS,Lợi nhuận sau thuế,2023,11793095480.0,2025-04-12
GAS,Lợi nhuận sau thuế,2024,10590120586.0,2025-04-12
GAS,Lợi nhuận sau thuế của công ty mẹ,2021,8672965062.0,2025-04-12
GAS,Lợi nhuận sau thuế của công ty mẹ,2022,14798317220.0,2025-04-12
GAS,Lợi nhuận sau thuế của công ty mẹ,2023,11606030647.0,2025-04-12
GAS,Lợi nhuận sau thuế của công ty mẹ,2024,10398370050.0,2025-04-12
GAS,Tổng tài sản lưu động ngắn hạn,2021,51394724017.0,2025-04-12
GAS,Tổng tài sản lưu động ngắn hạn,2022,55651707958.0,2025-04-12
GAS,Tổng tài sản lưu động ngắn hạn,2023,62217752153.0,2025-04-12
GAS,Tổng tài sản lưu động ngắn hạn,2024,57290495430.0,2025-04-12
GAS,Tổng tài sản,2021,78768074689.0,2025-04-12
GAS,Tổng tài sản,2022,82662652366.0,2025-04-12
GAS,Tổng tài sản,2023,87754455330.0,2025-04-12
GAS,Tổng tài sản,2024,81854881408.0,2025-04-12
GAS,Nợ ngắn hạn,2021,16561261574.0,2025-04-12
GAS,Nợ ngắn hạn,2022,12487956921.0,2025-04-12
GAS,Nợ ngắn hạn,2023,14971948872.0,2025-04-12
GAS,Nợ ngắn hạn,2024,14575489060.0,2025-04-12
GAS,Tổng nợ,2021,26575344013.0,2025-04-12
GAS,Tổng nợ,2022,21489088811.0,2025-04-12
GAS,Tổng nợ,2023,22455835056.0,2025-04-12
GAS,Tổng nợ,2024,20283886143.0,2025-04-12
GAS,Vốn chủ sở hữu,2021,52192730675.0,2025-04-12
GAS,Vốn chủ sở hữu,2022,61173563555.0,2025-04-12
GAS,Vốn chủ sở hữu,2023,65298620274.0,2025-04-12
GAS,Vốn chủ sở hữu,2024,61570995266.0,2025-04-12
