symbol,metric,year,value,crawled_date
GDT,Doanh thu bán hàng và CCDV,2020,402975121.0,2025-04-12
GDT,Doanh thu bán hàng và CCDV,2021,340145627.0,2025-04-12
GDT,Doanh thu bán hàng và CCDV,2022,401582501.0,2025-04-12
GDT,Doanh thu bán hàng và CCDV,2023,313867666.0,2025-04-12
GDT,Giá vốn hàng bán,2020,275640723.0,2025-04-12
GDT,Giá vốn hàng bán,2021,237385556.0,2025-04-12
GDT,Giá vốn hàng bán,2022,266593722.0,2025-04-12
GDT,Giá vốn hàng bán,2023,220756327.0,2025-04-12
GDT,Lợi nhuận gộp về BH và CCDV,2020,124764102.0,2025-04-12
GDT,Lợi nhuận gộp về BH và CCDV,2021,101243827.0,2025-04-12
GDT,Lợi nhuận gộp về BH và CCDV,2022,133168953.0,2025-04-12
GDT,Lợi nhuận gộp về BH và CCDV,2023,90239931.0,2025-04-12
GDT,Lợi nhuận tài chính,2020,12987762.0,2025-04-12
GDT,Lợi nhuận tài chính,2021,13041465.0,2025-04-12
GDT,Lợi nhuận tài chính,2022,5550006.0,2025-04-12
GDT,Lợi nhuận tài chính,2023,65715.0,2025-04-12
GDT,Lợi nhuận khác,2020,507822.0,2025-04-12
GDT,Lợi nhuận khác,2021,-189528.0,2025-04-12
GDT,Lợi nhuận khác,2022,-1165489.0,2025-04-12
GDT,Lợi nhuận khác,2023,605494.0,2025-04-12
GDT,Tổng lợi nhuận trước thuế,2020,100085227.0,2025-04-12
GDT,Tổng lợi nhuận trước thuế,2021,76340558.0,2025-04-12
GDT,Tổng lợi nhuận trước thuế,2022,86956913.0,2025-04-12
GDT,Tổng lợi nhuận trước thuế,2023,46036533.0,2025-04-12
GDT,Lợi nhuận sau thuế,2020,79976973.0,2025-04-12
GDT,Lợi nhuận sau thuế,2021,60786014.0,2025-04-12
GDT,Lợi nhuận sau thuế,2022,69270226.0,2025-04-12
GDT,Lợi nhuận sau thuế,2023,36692332.0,2025-04-12
GDT,Lợi nhuận sau thuế của công ty mẹ,2020,79976973.0,2025-04-12
GDT,Lợi nhuận sau thuế của công ty mẹ,2021,60786014.0,2025-04-12
GDT,Lợi nhuận sau thuế của công ty mẹ,2022,69270226.0,2025-04-12
GDT,Lợi nhuận sau thuế của công ty mẹ,2023,36692332.0,2025-04-12
GDT,Tổng tài sản lưu động ngắn hạn,2020,296180915.0,2025-04-12
GDT,Tổng tài sản lưu động ngắn hạn,2021,228510700.0,2025-04-12
GDT,Tổng tài sản lưu động ngắn hạn,2022,295075353.0,2025-04-12
GDT,Tổng tài sản lưu động ngắn hạn,2023,271943803.0,2025-04-12
GDT,Tổng tài sản,2020,398861535.0,2025-04-12
GDT,Tổng tài sản,2021,380965040.0,2025-04-12
GDT,Tổng tài sản,2022,406005991.0,2025-04-12
GDT,Tổng tài sản,2023,408907473.0,2025-04-12
GDT,Nợ ngắn hạn,2020,123931665.0,2025-04-12
GDT,Nợ ngắn hạn,2021,111270221.0,2025-04-12
GDT,Nợ ngắn hạn,2022,107684606.0,2025-04-12
GDT,Nợ ngắn hạn,2023,114605292.0,2025-04-12
GDT,Tổng nợ,2020,128327166.0,2025-04-12
GDT,Tổng nợ,2021,115572149.0,2025-04-12
GDT,Tổng nợ,2022,111655333.0,2025-04-12
GDT,Tổng nợ,2023,117251399.0,2025-04-12
GDT,Vốn chủ sở hữu,2020,270534369.0,2025-04-12
GDT,Vốn chủ sở hữu,2021,265392890.0,2025-04-12
GDT,Vốn chủ sở hữu,2022,294350658.0,2025-04-12
GDT,Vốn chủ sở hữu,2023,291656074.0,2025-04-12
