symbol,metric,year,value,crawled_date
GER,Doanh thu bán hàng và CCDV,2022,91245507.0,2025-04-12
GER,Doanh thu bán hàng và CCDV,2023,85533096.0,2025-04-12
GER,Doanh thu bán hàng và CCDV,2023,85533096.0,2025-04-12
GER,Doanh thu bán hàng và CCDV,2024,81733218.0,2025-04-12
GER,Giá vốn hàng bán,2022,69099877.0,2025-04-12
GER,Giá vốn hàng bán,2023,64465244.0,2025-04-12
GER,Giá vốn hàng bán,2023,64465244.0,2025-04-12
GER,Giá vốn hàng bán,2024,64375674.0,2025-04-12
GER,Lợi nhuận gộp về BH và CCDV,2022,18436462.0,2025-04-12
GER,Lợi nhuận gộp về BH và CCDV,2023,16799265.0,2025-04-12
GER,Lợi nhuận gộp về BH và CCDV,2023,16799265.0,2025-04-12
GER,Lợi nhuận gộp về BH và CCDV,2024,13515786.0,2025-04-12
GER,Lợi nhuận tài chính,2022,-265782.0,2025-04-12
GER,Lợi nhuận tài chính,2023,-59251.0,2025-04-12
GER,Lợi nhuận tài chính,2023,-59251.0,2025-04-12
GER,Lợi nhuận tài chính,2024,115601.0,2025-04-12
GER,Lợi nhuận khác,2022,3798464.0,2025-04-12
GER,Lợi nhuận khác,2023,-32337.0,2025-04-12
GER,Lợi nhuận khác,2023,-32337.0,2025-04-12
GER,Lợi nhuận khác,2024,-270303.0,2025-04-12
GER,Tổng lợi nhuận trước thuế,2022,4962393.0,2025-04-12
GER,Tổng lợi nhuận trước thuế,2023,1757782.0,2025-04-12
GER,Tổng lợi nhuận trước thuế,2023,1757782.0,2025-04-12
GER,Tổng lợi nhuận trước thuế,2024,-3511288.0,2025-04-12
GER,Lợi nhuận sau thuế,2022,3960427.0,2025-04-12
GER,Lợi nhuận sau thuế,2023,1318602.0,2025-04-12
GER,Lợi nhuận sau thuế,2023,1318602.0,2025-04-12
GER,Lợi nhuận sau thuế,2024,-3667636.0,2025-04-12
GER,Lợi nhuận sau thuế của công ty mẹ,2022,3960427.0,2025-04-12
GER,Lợi nhuận sau thuế của công ty mẹ,2023,1318602.0,2025-04-12
GER,Lợi nhuận sau thuế của công ty mẹ,2023,1318602.0,2025-04-12
GER,Lợi nhuận sau thuế của công ty mẹ,2024,-3667636.0,2025-04-12
GER,Tổng tài sản lưu động ngắn hạn,2022,34422279.0,2025-04-12
GER,Tổng tài sản lưu động ngắn hạn,2023,33225396.0,2025-04-12
GER,Tổng tài sản lưu động ngắn hạn,2023,33225396.0,2025-04-12
GER,Tổng tài sản lưu động ngắn hạn,2024,26148901.0,2025-04-12
GER,Tổng tài sản,2022,38069531.0,2025-04-12
GER,Tổng tài sản,2023,36550587.0,2025-04-12
GER,Tổng tài sản,2023,36550587.0,2025-04-12
GER,Tổng tài sản,2024,29644462.0,2025-04-12
GER,Nợ ngắn hạn,2022,9814513.0,2025-04-12
GER,Nợ ngắn hạn,2023,10937393.0,2025-04-12
GER,Nợ ngắn hạn,2023,10937393.0,2025-04-12
GER,Nợ ngắn hạn,2024,9017507.0,2025-04-12
GER,Tổng nợ,2022,9814513.0,2025-04-12
GER,Tổng nợ,2023,10937393.0,2025-04-12
GER,Tổng nợ,2023,10937393.0,2025-04-12
GER,Tổng nợ,2024,9017507.0,2025-04-12
GER,Vốn chủ sở hữu,2022,28255018.0,2025-04-12
GER,Vốn chủ sở hữu,2023,25613194.0,2025-04-12
GER,Vốn chủ sở hữu,2023,25613194.0,2025-04-12
GER,Vốn chủ sở hữu,2024,20626955.0,2025-04-12
