symbol,metric,year,value,crawled_date
GMD,Doanh thu bán hàng và CCDV,2021,3206290165.0,2025-04-12
GMD,Doanh thu bán hàng và CCDV,2022,3898243609.0,2025-04-12
GMD,Doanh thu bán hàng và CCDV,2023,3845826297.0,2025-04-12
GMD,Doanh thu bán hàng và CCDV,2024,4832024799.0,2025-04-12
GMD,Giá vốn hàng bán,2021,2064489231.0,2025-04-12
GMD,Giá vốn hàng bán,2022,2180183031.0,2025-04-12
GMD,Giá vốn hàng bán,2023,2067811109.0,2025-04-12
GMD,Giá vốn hàng bán,2024,2696544402.0,2025-04-12
GMD,Lợi nhuận gộp về BH và CCDV,2021,1141800935.0,2025-04-12
GMD,Lợi nhuận gộp về BH và CCDV,2022,1718060577.0,2025-04-12
GMD,Lợi nhuận gộp về BH và CCDV,2023,1778015187.0,2025-04-12
GMD,Lợi nhuận gộp về BH và CCDV,2024,2135480397.0,2025-04-12
GMD,Lợi nhuận tài chính,2021,-68316645.0,2025-04-12
GMD,Lợi nhuận tài chính,2022,-141743606.0,2025-04-12
GMD,Lợi nhuận tài chính,2023,1786266380.0,2025-04-12
GMD,Lợi nhuận tài chính,2024,275834008.0,2025-04-12
GMD,Lợi nhuận khác,2021,-55255064.0,2025-04-12
GMD,Lợi nhuận khác,2022,-373646.0,2025-04-12
GMD,Lợi nhuận khác,2023,-29542673.0,2025-04-12
GMD,Lợi nhuận khác,2024,-319993719.0,2025-04-12
GMD,Tổng lợi nhuận trước thuế,2021,806212155.0,2025-04-12
GMD,Tổng lợi nhuận trước thuế,2022,1308477950.0,2025-04-12
GMD,Tổng lợi nhuận trước thuế,2023,3147487213.0,2025-04-12
GMD,Tổng lợi nhuận trước thuế,2024,2098590310.0,2025-04-12
GMD,Lợi nhuận sau thuế,2021,720561816.0,2025-04-12
GMD,Lợi nhuận sau thuế,2022,1161293797.0,2025-04-12
GMD,Lợi nhuận sau thuế,2023,2533934246.0,2025-04-12
GMD,Lợi nhuận sau thuế,2024,1923583483.0,2025-04-12
GMD,Lợi nhuận sau thuế của công ty mẹ,2021,612182073.0,2025-04-12
GMD,Lợi nhuận sau thuế của công ty mẹ,2022,993915565.0,2025-04-12
GMD,Lợi nhuận sau thuế của công ty mẹ,2023,2250577340.0,2025-04-12
GMD,Lợi nhuận sau thuế của công ty mẹ,2024,1455479596.0,2025-04-12
GMD,Tổng tài sản lưu động ngắn hạn,2021,1689479334.0,2025-04-12
GMD,Tổng tài sản lưu động ngắn hạn,2022,2618727023.0,2025-04-12
GMD,Tổng tài sản lưu động ngắn hạn,2023,3380201263.0,2025-04-12
GMD,Tổng tài sản lưu động ngắn hạn,2024,6673567765.0,2025-04-12
GMD,Tổng tài sản,2021,10731211063.0,2025-04-12
GMD,Tổng tài sản,2022,13030653010.0,2025-04-12
GMD,Tổng tài sản,2023,13546025168.0,2025-04-12
GMD,Tổng tài sản,2024,17997853313.0,2025-04-12
GMD,Nợ ngắn hạn,2021,2262720711.0,2025-04-12
GMD,Nợ ngắn hạn,2022,3210578780.0,2025-04-12
GMD,Nợ ngắn hạn,2023,1915337161.0,2025-04-12
GMD,Nợ ngắn hạn,2024,2100758452.0,2025-04-12
GMD,Tổng nợ,2021,3686592691.0,2025-04-12
GMD,Tổng nợ,2022,5082896990.0,2025-04-12
GMD,Tổng nợ,2023,3813651116.0,2025-04-12
GMD,Tổng nợ,2024,4225927310.0,2025-04-12
GMD,Vốn chủ sở hữu,2021,7044618372.0,2025-04-12
GMD,Vốn chủ sở hữu,2022,7947756020.0,2025-04-12
GMD,Vốn chủ sở hữu,2023,9732374052.0,2025-04-12
GMD,Vốn chủ sở hữu,2024,13771926003.0,2025-04-12
