symbol,metric,year,value,crawled_date
GMH,Doanh thu bán hàng và CCDV,2020,118336839.0,2025-04-12
GMH,Doanh thu bán hàng và CCDV,2021,165243441.0,2025-04-12
GMH,Doanh thu bán hàng và CCDV,2022,151307572.0,2025-04-12
GMH,Doanh thu bán hàng và CCDV,2023,113564129.0,2025-04-12
GMH,Giá vốn hàng bán,2020,95921683.0,2025-04-12
GMH,Giá vốn hàng bán,2021,124880306.0,2025-04-12
GMH,Giá vốn hàng bán,2022,112534980.0,2025-04-12
GMH,Giá vốn hàng bán,2023,89818567.0,2025-04-12
GMH,Lợi nhuận gộp về BH và CCDV,2020,22415156.0,2025-04-12
GMH,Lợi nhuận gộp về BH và CCDV,2021,40363135.0,2025-04-12
GMH,Lợi nhuận gộp về BH và CCDV,2022,38772593.0,2025-04-12
GMH,Lợi nhuận gộp về BH và CCDV,2023,23745562.0,2025-04-12
GMH,Lợi nhuận tài chính,2020,193246.0,2025-04-12
GMH,Lợi nhuận tài chính,2021,4123035.0,2025-04-12
GMH,Lợi nhuận tài chính,2022,8158823.0,2025-04-12
GMH,Lợi nhuận tài chính,2023,9116679.0,2025-04-12
GMH,Lợi nhuận khác,2020,-224819.0,2025-04-12
GMH,Lợi nhuận khác,2021,-276686.0,2025-04-12
GMH,Lợi nhuận khác,2022,-47826.0,2025-04-12
GMH,Lợi nhuận khác,2023,-476140.0,2025-04-12
GMH,Tổng lợi nhuận trước thuế,2020,9996453.0,2025-04-12
GMH,Tổng lợi nhuận trước thuế,2021,32353501.0,2025-04-12
GMH,Tổng lợi nhuận trước thuế,2022,31650916.0,2025-04-12
GMH,Tổng lợi nhuận trước thuế,2023,17151298.0,2025-04-12
GMH,Lợi nhuận sau thuế,2020,8553125.0,2025-04-12
GMH,Lợi nhuận sau thuế,2021,27729124.0,2025-04-12
GMH,Lợi nhuận sau thuế,2022,25383815.0,2025-04-12
GMH,Lợi nhuận sau thuế,2023,13702276.0,2025-04-12
GMH,Lợi nhuận sau thuế của công ty mẹ,2020,8553125.0,2025-04-12
GMH,Lợi nhuận sau thuế của công ty mẹ,2021,27729124.0,2025-04-12
GMH,Lợi nhuận sau thuế của công ty mẹ,2022,25383815.0,2025-04-12
GMH,Lợi nhuận sau thuế của công ty mẹ,2023,13702276.0,2025-04-12
GMH,Tổng tài sản lưu động ngắn hạn,2020,173270604.0,2025-04-12
GMH,Tổng tài sản lưu động ngắn hạn,2021,171789505.0,2025-04-12
GMH,Tổng tài sản lưu động ngắn hạn,2022,165086378.0,2025-04-12
GMH,Tổng tài sản lưu động ngắn hạn,2023,166387538.0,2025-04-12
GMH,Tổng tài sản,2020,180301073.0,2025-04-12
GMH,Tổng tài sản,2021,210300778.0,2025-04-12
GMH,Tổng tài sản,2022,199566519.0,2025-04-12
GMH,Tổng tài sản,2023,197294794.0,2025-04-12
GMH,Nợ ngắn hạn,2020,10485340.0,2025-04-12
GMH,Nợ ngắn hạn,2021,9872966.0,2025-04-12
GMH,Nợ ngắn hạn,2022,16654893.0,2025-04-12
GMH,Nợ ngắn hạn,2023,8930891.0,2025-04-12
GMH,Tổng nợ,2020,10485340.0,2025-04-12
GMH,Tổng nợ,2021,9872966.0,2025-04-12
GMH,Tổng nợ,2022,16654893.0,2025-04-12
GMH,Tổng nợ,2023,8930891.0,2025-04-12
GMH,Vốn chủ sở hữu,2020,169815733.0,2025-04-12
GMH,Vốn chủ sở hữu,2021,200427812.0,2025-04-12
GMH,Vốn chủ sở hữu,2022,182911626.0,2025-04-12
GMH,Vốn chủ sở hữu,2023,188363903.0,2025-04-12
