symbol,metric,year,value,crawled_date
GVT,Doanh thu bán hàng và CCDV,2020,1362585349.0,2025-04-12
GVT,Doanh thu bán hàng và CCDV,2022,2039516640.0,2025-04-12
GVT,Doanh thu bán hàng và CCDV,2023,1645405139.0,2025-04-12
GVT,Doanh thu bán hàng và CCDV,2024,1798427563.0,2025-04-12
GVT,Giá vốn hàng bán,2020,1108133117.0,2025-04-12
GVT,Giá vốn hàng bán,2022,1758697481.0,2025-04-12
GVT,Giá vốn hàng bán,2023,1486341706.0,2025-04-12
GVT,Giá vốn hàng bán,2024,1572745617.0,2025-04-12
GVT,Lợi nhuận gộp về BH và CCDV,2020,253845322.0,2025-04-12
GVT,Lợi nhuận gộp về BH và CCDV,2022,276385051.0,2025-04-12
GVT,Lợi nhuận gộp về BH và CCDV,2023,157329072.0,2025-04-12
GVT,Lợi nhuận gộp về BH và CCDV,2024,225360434.0,2025-04-12
GVT,Lợi nhuận tài chính,2020,-18804316.0,2025-04-12
GVT,Lợi nhuận tài chính,2022,-26498685.0,2025-04-12
GVT,Lợi nhuận tài chính,2023,-25824457.0,2025-04-12
GVT,Lợi nhuận tài chính,2024,-14570693.0,2025-04-12
GVT,Lợi nhuận khác,2020,-98267.0,2025-04-12
GVT,Lợi nhuận khác,2022,524374.0,2025-04-12
GVT,Lợi nhuận khác,2023,411138.0,2025-04-12
GVT,Lợi nhuận khác,2024,476211.0,2025-04-12
GVT,Tổng lợi nhuận trước thuế,2020,179277677.0,2025-04-12
GVT,Tổng lợi nhuận trước thuế,2022,180065317.0,2025-04-12
GVT,Tổng lợi nhuận trước thuế,2023,59918079.0,2025-04-12
GVT,Tổng lợi nhuận trước thuế,2024,139079228.0,2025-04-12
GVT,Lợi nhuận sau thuế,2020,143406734.0,2025-04-12
GVT,Lợi nhuận sau thuế,2022,144009296.0,2025-04-12
GVT,Lợi nhuận sau thuế,2023,47409495.0,2025-04-12
GVT,Lợi nhuận sau thuế,2024,111152241.0,2025-04-12
GVT,Lợi nhuận sau thuế của công ty mẹ,2020,143406734.0,2025-04-12
GVT,Lợi nhuận sau thuế của công ty mẹ,2022,144009296.0,2025-04-12
GVT,Lợi nhuận sau thuế của công ty mẹ,2023,47409495.0,2025-04-12
GVT,Lợi nhuận sau thuế của công ty mẹ,2024,111152241.0,2025-04-12
GVT,Tổng tài sản lưu động ngắn hạn,2020,554893945.0,2025-04-12
GVT,Tổng tài sản lưu động ngắn hạn,2022,761627693.0,2025-04-12
GVT,Tổng tài sản lưu động ngắn hạn,2023,848601662.0,2025-04-12
GVT,Tổng tài sản lưu động ngắn hạn,2024,889925238.0,2025-04-12
GVT,Tổng tài sản,2020,744200816.0,2025-04-12
GVT,Tổng tài sản,2022,1126589003.0,2025-04-12
GVT,Tổng tài sản,2023,1111426445.0,2025-04-12
GVT,Tổng tài sản,2024,1117301947.0,2025-04-12
GVT,Nợ ngắn hạn,2020,398409127.0,2025-04-12
GVT,Nợ ngắn hạn,2022,477505024.0,2025-04-12
GVT,Nợ ngắn hạn,2023,490460803.0,2025-04-12
GVT,Nợ ngắn hạn,2024,486342100.0,2025-04-12
GVT,Tổng nợ,2020,435084337.0,2025-04-12
GVT,Tổng nợ,2022,564371955.0,2025-04-12
GVT,Tổng nợ,2023,546746262.0,2025-04-12
GVT,Tổng nợ,2024,513445633.0,2025-04-12
GVT,Vốn chủ sở hữu,2020,309116479.0,2025-04-12
GVT,Vốn chủ sở hữu,2022,562217048.0,2025-04-12
GVT,Vốn chủ sở hữu,2023,564680183.0,2025-04-12
GVT,Vốn chủ sở hữu,2024,603856314.0,2025-04-12
