symbol,metric,year,value,crawled_date
H11,Doanh thu bán hàng và CCDV,2020,44226086.0,2025-04-12
H11,Doanh thu bán hàng và CCDV,2022,136136167.0,2025-04-12
H11,Doanh thu bán hàng và CCDV,2023,46954774.0,2025-04-12
H11,Doanh thu bán hàng và CCDV,2024,46929372.0,2025-04-12
H11,Giá vốn hàng bán,2020,40783139.0,2025-04-12
H11,Giá vốn hàng bán,2022,130999313.0,2025-04-12
H11,Giá vốn hàng bán,2023,43171835.0,2025-04-12
H11,Giá vốn hàng bán,2024,42620644.0,2025-04-12
H11,Lợi nhuận gộp về BH và CCDV,2020,3442947.0,2025-04-12
H11,Lợi nhuận gộp về BH và CCDV,2022,5136854.0,2025-04-12
H11,Lợi nhuận gộp về BH và CCDV,2023,3782939.0,2025-04-12
H11,Lợi nhuận gộp về BH và CCDV,2024,4308729.0,2025-04-12
H11,Lợi nhuận tài chính,2020,-1010055.0,2025-04-12
H11,Lợi nhuận tài chính,2022,-1587852.0,2025-04-12
H11,Lợi nhuận tài chính,2023,-1219995.0,2025-04-12
H11,Lợi nhuận tài chính,2024,-1333219.0,2025-04-12
H11,Lợi nhuận khác,2020,144985.0,2025-04-12
H11,Lợi nhuận khác,2022,-52476.0,2025-04-12
H11,Lợi nhuận khác,2023,-8934.0,2025-04-12
H11,Lợi nhuận khác,2024,1632416.0,2025-04-12
H11,Tổng lợi nhuận trước thuế,2020,236029.0,2025-04-12
H11,Tổng lợi nhuận trước thuế,2022,376360.0,2025-04-12
H11,Tổng lợi nhuận trước thuế,2023,90140.0,2025-04-12
H11,Tổng lợi nhuận trước thuế,2024,1640510.0,2025-04-12
H11,Lợi nhuận sau thuế,2020,200112.0,2025-04-12
H11,Lợi nhuận sau thuế,2022,277693.0,2025-04-12
H11,Lợi nhuận sau thuế,2023,70325.0,2025-04-12
H11,Lợi nhuận sau thuế,2024,1288000.0,2025-04-12
H11,Lợi nhuận sau thuế của công ty mẹ,2020,200112.0,2025-04-12
H11,Lợi nhuận sau thuế của công ty mẹ,2022,277693.0,2025-04-12
H11,Lợi nhuận sau thuế của công ty mẹ,2023,70325.0,2025-04-12
H11,Lợi nhuận sau thuế của công ty mẹ,2024,1288000.0,2025-04-12
H11,Tổng tài sản lưu động ngắn hạn,2020,73655178.0,2025-04-12
H11,Tổng tài sản lưu động ngắn hạn,2022,100149899.0,2025-04-12
H11,Tổng tài sản lưu động ngắn hạn,2023,99350310.0,2025-04-12
H11,Tổng tài sản lưu động ngắn hạn,2024,92469012.0,2025-04-12
H11,Tổng tài sản,2020,74239944.0,2025-04-12
H11,Tổng tài sản,2022,102183186.0,2025-04-12
H11,Tổng tài sản,2023,101188859.0,2025-04-12
H11,Tổng tài sản,2024,92712287.0,2025-04-12
H11,Nợ ngắn hạn,2020,62028140.0,2025-04-12
H11,Nợ ngắn hạn,2022,89566353.0,2025-04-12
H11,Nợ ngắn hạn,2023,88501701.0,2025-04-12
H11,Nợ ngắn hạn,2024,78737130.0,2025-04-12
H11,Tổng nợ,2020,62028140.0,2025-04-12
H11,Tổng nợ,2022,89566353.0,2025-04-12
H11,Tổng nợ,2023,88501701.0,2025-04-12
H11,Tổng nợ,2024,78737130.0,2025-04-12
H11,Vốn chủ sở hữu,2020,12211803.0,2025-04-12
H11,Vốn chủ sở hữu,2022,12616833.0,2025-04-12
H11,Vốn chủ sở hữu,2023,12687158.0,2025-04-12
H11,Vốn chủ sở hữu,2024,13975158.0,2025-04-12
