symbol,metric,year,value,crawled_date
HAF,Doanh thu bán hàng và CCDV,2021,140388854.0,2025-04-12
HAF,Doanh thu bán hàng và CCDV,2022,113188063.0,2025-04-12
HAF,Doanh thu bán hàng và CCDV,2023,85993678.0,2025-04-12
HAF,Doanh thu bán hàng và CCDV,2024,87306977.0,2025-04-12
HAF,Giá vốn hàng bán,2021,105010503.0,2025-04-12
HAF,Giá vốn hàng bán,2022,83812106.0,2025-04-12
HAF,Giá vốn hàng bán,2023,61810402.0,2025-04-12
HAF,Giá vốn hàng bán,2024,55143520.0,2025-04-12
HAF,Lợi nhuận gộp về BH và CCDV,2021,35179335.0,2025-04-12
HAF,Lợi nhuận gộp về BH và CCDV,2022,29169976.0,2025-04-12
HAF,Lợi nhuận gộp về BH và CCDV,2023,24083601.0,2025-04-12
HAF,Lợi nhuận gộp về BH và CCDV,2024,32163458.0,2025-04-12
HAF,Lợi nhuận tài chính,2021,-537484.0,2025-04-12
HAF,Lợi nhuận tài chính,2022,-1107011.0,2025-04-12
HAF,Lợi nhuận tài chính,2023,-236735.0,2025-04-12
HAF,Lợi nhuận tài chính,2024,-5226987.0,2025-04-12
HAF,Lợi nhuận khác,2021,3443861.0,2025-04-12
HAF,Lợi nhuận khác,2022,232724.0,2025-04-12
HAF,Lợi nhuận khác,2023,-86839.0,2025-04-12
HAF,Lợi nhuận khác,2024,218711.0,2025-04-12
HAF,Tổng lợi nhuận trước thuế,2021,-6941675.0,2025-04-12
HAF,Tổng lợi nhuận trước thuế,2022,-8890970.0,2025-04-12
HAF,Tổng lợi nhuận trước thuế,2023,-20154561.0,2025-04-12
HAF,Tổng lợi nhuận trước thuế,2024,-19042720.0,2025-04-12
HAF,Lợi nhuận sau thuế,2021,-7168351.0,2025-04-12
HAF,Lợi nhuận sau thuế,2022,-9197113.0,2025-04-12
HAF,Lợi nhuận sau thuế,2023,-20570760.0,2025-04-12
HAF,Lợi nhuận sau thuế,2024,-19298494.0,2025-04-12
HAF,Lợi nhuận sau thuế của công ty mẹ,2021,-5674930.0,2025-04-12
HAF,Lợi nhuận sau thuế của công ty mẹ,2022,-7972463.0,2025-04-12
HAF,Lợi nhuận sau thuế của công ty mẹ,2023,-18639077.0,2025-04-12
HAF,Lợi nhuận sau thuế của công ty mẹ,2024,-14143995.0,2025-04-12
HAF,Tổng tài sản lưu động ngắn hạn,2021,95361635.0,2025-04-12
HAF,Tổng tài sản lưu động ngắn hạn,2022,131245637.0,2025-04-12
HAF,Tổng tài sản lưu động ngắn hạn,2023,64239399.0,2025-04-12
HAF,Tổng tài sản lưu động ngắn hạn,2024,98407699.0,2025-04-12
HAF,Tổng tài sản,2021,217570612.0,2025-04-12
HAF,Tổng tài sản,2022,252085943.0,2025-04-12
HAF,Tổng tài sản,2023,222800475.0,2025-04-12
HAF,Tổng tài sản,2024,278883196.0,2025-04-12
HAF,Nợ ngắn hạn,2021,43547820.0,2025-04-12
HAF,Nợ ngắn hạn,2022,65104471.0,2025-04-12
HAF,Nợ ngắn hạn,2023,65093374.0,2025-04-12
HAF,Nợ ngắn hạn,2024,110775041.0,2025-04-12
HAF,Tổng nợ,2021,75206327.0,2025-04-12
HAF,Tổng nợ,2022,97247135.0,2025-04-12
HAF,Tổng nợ,2023,88655548.0,2025-04-12
HAF,Tổng nợ,2024,135753292.0,2025-04-12
HAF,Vốn chủ sở hữu,2021,142364285.0,2025-04-12
HAF,Vốn chủ sở hữu,2022,154838808.0,2025-04-12
HAF,Vốn chủ sở hữu,2023,134144928.0,2025-04-12
HAF,Vốn chủ sở hữu,2024,143129904.0,2025-04-12
