symbol,metric,year,value,crawled_date
HAS,Doanh thu bán hàng và CCDV,2021,197530931.0,2025-04-12
HAS,Doanh thu bán hàng và CCDV,2022,145551347.0,2025-04-12
HAS,Doanh thu bán hàng và CCDV,2023,115619863.0,2025-04-12
HAS,Doanh thu bán hàng và CCDV,2024,69343852.0,2025-04-12
HAS,Giá vốn hàng bán,2021,182757706.0,2025-04-12
HAS,Giá vốn hàng bán,2022,135384941.0,2025-04-12
HAS,Giá vốn hàng bán,2023,108191855.0,2025-04-12
HAS,Giá vốn hàng bán,2024,66808394.0,2025-04-12
HAS,Lợi nhuận gộp về BH và CCDV,2021,14773225.0,2025-04-12
HAS,Lợi nhuận gộp về BH và CCDV,2022,10166405.0,2025-04-12
HAS,Lợi nhuận gộp về BH và CCDV,2023,7428008.0,2025-04-12
HAS,Lợi nhuận gộp về BH và CCDV,2024,2535459.0,2025-04-12
HAS,Lợi nhuận tài chính,2021,-584559.0,2025-04-12
HAS,Lợi nhuận tài chính,2022,-1139567.0,2025-04-12
HAS,Lợi nhuận tài chính,2023,2917757.0,2025-04-12
HAS,Lợi nhuận tài chính,2024,1291565.0,2025-04-12
HAS,Lợi nhuận khác,2021,553120.0,2025-04-12
HAS,Lợi nhuận khác,2022,358435.0,2025-04-12
HAS,Lợi nhuận khác,2023,656653.0,2025-04-12
HAS,Lợi nhuận khác,2024,-1761488.0,2025-04-12
HAS,Tổng lợi nhuận trước thuế,2021,3471224.0,2025-04-12
HAS,Tổng lợi nhuận trước thuế,2022,990460.0,2025-04-12
HAS,Tổng lợi nhuận trước thuế,2023,498740.0,2025-04-12
HAS,Tổng lợi nhuận trước thuế,2024,-10659596.0,2025-04-12
HAS,Lợi nhuận sau thuế,2021,2946974.0,2025-04-12
HAS,Lợi nhuận sau thuế,2022,721889.0,2025-04-12
HAS,Lợi nhuận sau thuế,2023,317453.0,2025-04-12
HAS,Lợi nhuận sau thuế,2024,-10740798.0,2025-04-12
HAS,Lợi nhuận sau thuế của công ty mẹ,2021,2946974.0,2025-04-12
HAS,Lợi nhuận sau thuế của công ty mẹ,2022,721889.0,2025-04-12
HAS,Lợi nhuận sau thuế của công ty mẹ,2023,317453.0,2025-04-12
HAS,Lợi nhuận sau thuế của công ty mẹ,2024,-10740798.0,2025-04-12
HAS,Tổng tài sản lưu động ngắn hạn,2021,179749400.0,2025-04-12
HAS,Tổng tài sản lưu động ngắn hạn,2022,180405546.0,2025-04-12
HAS,Tổng tài sản lưu động ngắn hạn,2023,178118163.0,2025-04-12
HAS,Tổng tài sản lưu động ngắn hạn,2024,132146083.0,2025-04-12
HAS,Tổng tài sản,2021,202626116.0,2025-04-12
HAS,Tổng tài sản,2022,220185600.0,2025-04-12
HAS,Tổng tài sản,2023,213945609.0,2025-04-12
HAS,Tổng tài sản,2024,155659998.0,2025-04-12
HAS,Nợ ngắn hạn,2021,60763777.0,2025-04-12
HAS,Nợ ngắn hạn,2022,71535323.0,2025-04-12
HAS,Nợ ngắn hạn,2023,66724120.0,2025-04-12
HAS,Nợ ngắn hạn,2024,26269199.0,2025-04-12
HAS,Tổng nợ,2021,61052827.0,2025-04-12
HAS,Tổng nợ,2022,79503753.0,2025-04-12
HAS,Tổng nợ,2023,74825467.0,2025-04-12
HAS,Tổng nợ,2024,27990946.0,2025-04-12
HAS,Vốn chủ sở hữu,2021,141573289.0,2025-04-12
HAS,Vốn chủ sở hữu,2022,140681848.0,2025-04-12
HAS,Vốn chủ sở hữu,2023,139120142.0,2025-04-12
HAS,Vốn chủ sở hữu,2024,127669051.0,2025-04-12
