symbol,metric,year,value,crawled_date
HBH,Doanh thu bán hàng và CCDV,2021,275441554.0,2025-04-12
HBH,Doanh thu bán hàng và CCDV,2022,306722085.0,2025-04-12
HBH,Doanh thu bán hàng và CCDV,2023,243918420.0,2025-04-12
HBH,Doanh thu bán hàng và CCDV,2024,245805229.0,2025-04-12
HBH,Giá vốn hàng bán,2021,247524832.0,2025-04-12
HBH,Giá vốn hàng bán,2022,277773749.0,2025-04-12
HBH,Giá vốn hàng bán,2023,234235623.0,2025-04-12
HBH,Giá vốn hàng bán,2024,237645137.0,2025-04-12
HBH,Lợi nhuận gộp về BH và CCDV,2021,27916721.0,2025-04-12
HBH,Lợi nhuận gộp về BH và CCDV,2022,28948336.0,2025-04-12
HBH,Lợi nhuận gộp về BH và CCDV,2023,9682797.0,2025-04-12
HBH,Lợi nhuận gộp về BH và CCDV,2024,8160092.0,2025-04-12
HBH,Lợi nhuận tài chính,2021,-3000836.0,2025-04-12
HBH,Lợi nhuận tài chính,2022,175196.0,2025-04-12
HBH,Lợi nhuận tài chính,2023,108257.0,2025-04-12
HBH,Lợi nhuận tài chính,2024,857951.0,2025-04-12
HBH,Lợi nhuận khác,2021,1357338.0,2025-04-12
HBH,Lợi nhuận khác,2022,1232032.0,2025-04-12
HBH,Lợi nhuận khác,2023,1107700.0,2025-04-12
HBH,Lợi nhuận khác,2024,1087377.0,2025-04-12
HBH,Tổng lợi nhuận trước thuế,2021,18262199.0,2025-04-12
HBH,Tổng lợi nhuận trước thuế,2022,19471699.0,2025-04-12
HBH,Tổng lợi nhuận trước thuế,2023,1253749.0,2025-04-12
HBH,Tổng lợi nhuận trước thuế,2024,340965.0,2025-04-12
HBH,Lợi nhuận sau thuế,2021,14549933.0,2025-04-12
HBH,Lợi nhuận sau thuế,2022,15513864.0,2025-04-12
HBH,Lợi nhuận sau thuế,2023,946582.0,2025-04-12
HBH,Lợi nhuận sau thuế,2024,156801.0,2025-04-12
HBH,Lợi nhuận sau thuế của công ty mẹ,2021,14549933.0,2025-04-12
HBH,Lợi nhuận sau thuế của công ty mẹ,2022,15513864.0,2025-04-12
HBH,Lợi nhuận sau thuế của công ty mẹ,2023,946582.0,2025-04-12
HBH,Lợi nhuận sau thuế của công ty mẹ,2024,156801.0,2025-04-12
HBH,Tổng tài sản lưu động ngắn hạn,2021,98910483.0,2025-04-12
HBH,Tổng tài sản lưu động ngắn hạn,2022,109919118.0,2025-04-12
HBH,Tổng tài sản lưu động ngắn hạn,2023,134535742.0,2025-04-12
HBH,Tổng tài sản lưu động ngắn hạn,2024,193728634.0,2025-04-12
HBH,Tổng tài sản,2021,276670098.0,2025-04-12
HBH,Tổng tài sản,2022,265728670.0,2025-04-12
HBH,Tổng tài sản,2023,264059461.0,2025-04-12
HBH,Tổng tài sản,2024,294336370.0,2025-04-12
HBH,Nợ ngắn hạn,2021,119816304.0,2025-04-12
HBH,Nợ ngắn hạn,2022,93361013.0,2025-04-12
HBH,Nợ ngắn hạn,2023,94344580.0,2025-04-12
HBH,Nợ ngắn hạn,2024,124464688.0,2025-04-12
HBH,Tổng nợ,2021,119816304.0,2025-04-12
HBH,Tổng nợ,2022,93361013.0,2025-04-12
HBH,Tổng nợ,2023,94344580.0,2025-04-12
HBH,Tổng nợ,2024,124464688.0,2025-04-12
HBH,Vốn chủ sở hữu,2021,156853793.0,2025-04-12
HBH,Vốn chủ sở hữu,2022,172367657.0,2025-04-12
HBH,Vốn chủ sở hữu,2023,169714881.0,2025-04-12
HBH,Vốn chủ sở hữu,2024,169871682.0,2025-04-12
