symbol,metric,year,value,crawled_date
HCT,Doanh thu bán hàng và CCDV,2021,73336871.0,2025-04-12
HCT,Doanh thu bán hàng và CCDV,2022,71930478.0,2025-04-12
HCT,Doanh thu bán hàng và CCDV,2023,57503976.0,2025-04-12
HCT,Doanh thu bán hàng và CCDV,2024,31628695.0,2025-04-12
HCT,Giá vốn hàng bán,2021,67489714.0,2025-04-12
HCT,Giá vốn hàng bán,2022,64551438.0,2025-04-12
HCT,Giá vốn hàng bán,2023,54273712.0,2025-04-12
HCT,Giá vốn hàng bán,2024,28504541.0,2025-04-12
HCT,Lợi nhuận gộp về BH và CCDV,2021,5299967.0,2025-04-12
HCT,Lợi nhuận gộp về BH và CCDV,2022,6070208.0,2025-04-12
HCT,Lợi nhuận gộp về BH và CCDV,2023,2323005.0,2025-04-12
HCT,Lợi nhuận gộp về BH và CCDV,2024,2611625.0,2025-04-12
HCT,Lợi nhuận tài chính,2021,374191.0,2025-04-12
HCT,Lợi nhuận tài chính,2022,440504.0,2025-04-12
HCT,Lợi nhuận tài chính,2023,902457.0,2025-04-12
HCT,Lợi nhuận tài chính,2024,843673.0,2025-04-12
HCT,Lợi nhuận khác,2021,1193179.0,2025-04-12
HCT,Lợi nhuận khác,2022,180066.0,2025-04-12
HCT,Lợi nhuận khác,2023,-4671.0,2025-04-12
HCT,Lợi nhuận khác,2024,1505513.0,2025-04-12
HCT,Tổng lợi nhuận trước thuế,2021,863968.0,2025-04-12
HCT,Tổng lợi nhuận trước thuế,2022,830669.0,2025-04-12
HCT,Tổng lợi nhuận trước thuế,2023,-1752879.0,2025-04-12
HCT,Tổng lợi nhuận trước thuế,2024,478410.0,2025-04-12
HCT,Lợi nhuận sau thuế,2021,697465.0,2025-04-12
HCT,Lợi nhuận sau thuế,2022,634276.0,2025-04-12
HCT,Lợi nhuận sau thuế,2023,-1752879.0,2025-04-12
HCT,Lợi nhuận sau thuế,2024,215527.0,2025-04-12
HCT,Lợi nhuận sau thuế của công ty mẹ,2021,697465.0,2025-04-12
HCT,Lợi nhuận sau thuế của công ty mẹ,2022,634276.0,2025-04-12
HCT,Lợi nhuận sau thuế của công ty mẹ,2023,-1752879.0,2025-04-12
HCT,Lợi nhuận sau thuế của công ty mẹ,2024,215527.0,2025-04-12
HCT,Tổng tài sản lưu động ngắn hạn,2021,28724731.0,2025-04-12
HCT,Tổng tài sản lưu động ngắn hạn,2022,29508866.0,2025-04-12
HCT,Tổng tài sản lưu động ngắn hạn,2023,30813739.0,2025-04-12
HCT,Tổng tài sản lưu động ngắn hạn,2024,31907874.0,2025-04-12
HCT,Tổng tài sản,2021,44040593.0,2025-04-12
HCT,Tổng tài sản,2022,44509551.0,2025-04-12
HCT,Tổng tài sản,2023,43337881.0,2025-04-12
HCT,Tổng tài sản,2024,41898018.0,2025-04-12
HCT,Nợ ngắn hạn,2021,3148390.0,2025-04-12
HCT,Nợ ngắn hạn,2022,3680538.0,2025-04-12
HCT,Nợ ngắn hạn,2023,4896021.0,2025-04-12
HCT,Nợ ngắn hạn,2024,3240632.0,2025-04-12
HCT,Tổng nợ,2021,3148390.0,2025-04-12
HCT,Tổng nợ,2022,3680538.0,2025-04-12
HCT,Tổng nợ,2023,4896021.0,2025-04-12
HCT,Tổng nợ,2024,3240632.0,2025-04-12
HCT,Vốn chủ sở hữu,2021,40892203.0,2025-04-12
HCT,Vốn chủ sở hữu,2022,40829014.0,2025-04-12
HCT,Vốn chủ sở hữu,2023,38441859.0,2025-04-12
HCT,Vốn chủ sở hữu,2024,38657386.0,2025-04-12
