symbol,metric,year,value,crawled_date
HD8,Doanh thu bán hàng và CCDV,2021,127137679.0,2025-04-12
HD8,Doanh thu bán hàng và CCDV,2022,112356218.0,2025-04-12
HD8,Doanh thu bán hàng và CCDV,2023,676673.0,2025-04-12
HD8,Doanh thu bán hàng và CCDV,2024,1050468.0,2025-04-12
HD8,Giá vốn hàng bán,2021,103909728.0,2025-04-12
HD8,Giá vốn hàng bán,2022,89524793.0,2025-04-12
HD8,Giá vốn hàng bán,2023,459833.0,2025-04-12
HD8,Giá vốn hàng bán,2024,827728.0,2025-04-12
HD8,Lợi nhuận gộp về BH và CCDV,2021,23227951.0,2025-04-12
HD8,Lợi nhuận gộp về BH và CCDV,2022,22831425.0,2025-04-12
HD8,Lợi nhuận gộp về BH và CCDV,2023,216841.0,2025-04-12
HD8,Lợi nhuận gộp về BH và CCDV,2024,222740.0,2025-04-12
HD8,Lợi nhuận tài chính,2021,4997413.0,2025-04-12
HD8,Lợi nhuận tài chính,2022,11492586.0,2025-04-12
HD8,Lợi nhuận tài chính,2023,13608630.0,2025-04-12
HD8,Lợi nhuận tài chính,2024,8129313.0,2025-04-12
HD8,Lợi nhuận khác,2021,-258788.0,2025-04-12
HD8,Lợi nhuận khác,2022,162404.0,2025-04-12
HD8,Lợi nhuận khác,2023,893473.0,2025-04-12
HD8,Lợi nhuận khác,2024,1500.0,2025-04-12
HD8,Tổng lợi nhuận trước thuế,2021,8562411.0,2025-04-12
HD8,Tổng lợi nhuận trước thuế,2022,18793312.0,2025-04-12
HD8,Tổng lợi nhuận trước thuế,2023,8457882.0,2025-04-12
HD8,Tổng lợi nhuận trước thuế,2024,2355911.0,2025-04-12
HD8,Lợi nhuận sau thuế,2021,5180286.0,2025-04-12
HD8,Lợi nhuận sau thuế,2022,13862451.0,2025-04-12
HD8,Lợi nhuận sau thuế,2023,6400840.0,2025-04-12
HD8,Lợi nhuận sau thuế,2024,1868117.0,2025-04-12
HD8,Lợi nhuận sau thuế của công ty mẹ,2021,5180286.0,2025-04-12
HD8,Lợi nhuận sau thuế của công ty mẹ,2022,13862451.0,2025-04-12
HD8,Lợi nhuận sau thuế của công ty mẹ,2023,6400840.0,2025-04-12
HD8,Lợi nhuận sau thuế của công ty mẹ,2024,1868117.0,2025-04-12
HD8,Tổng tài sản lưu động ngắn hạn,2021,280815874.0,2025-04-12
HD8,Tổng tài sản lưu động ngắn hạn,2022,187373118.0,2025-04-12
HD8,Tổng tài sản lưu động ngắn hạn,2023,176760596.0,2025-04-12
HD8,Tổng tài sản lưu động ngắn hạn,2024,163414855.0,2025-04-12
HD8,Tổng tài sản,2021,291653471.0,2025-04-12
HD8,Tổng tài sản,2022,196306112.0,2025-04-12
HD8,Tổng tài sản,2023,185334201.0,2025-04-12
HD8,Tổng tài sản,2024,171713800.0,2025-04-12
HD8,Nợ ngắn hạn,2021,156255283.0,2025-04-12
HD8,Nợ ngắn hạn,2022,54513699.0,2025-04-12
HD8,Nợ ngắn hạn,2023,50560377.0,2025-04-12
HD8,Nợ ngắn hạn,2024,48837551.0,2025-04-12
HD8,Tổng nợ,2021,168688843.0,2025-04-12
HD8,Tổng nợ,2022,66581567.0,2025-04-12
HD8,Tổng nợ,2023,62262552.0,2025-04-12
HD8,Tổng nợ,2024,60174033.0,2025-04-12
HD8,Vốn chủ sở hữu,2021,122964627.0,2025-04-12
HD8,Vốn chủ sở hữu,2022,129724545.0,2025-04-12
HD8,Vốn chủ sở hữu,2023,123071649.0,2025-04-12
HD8,Vốn chủ sở hữu,2024,111539767.0,2025-04-12
