symbol,metric,year,value,crawled_date
HDP,Doanh thu bán hàng và CCDV,2021,352023842.0,2025-04-12
HDP,Doanh thu bán hàng và CCDV,2022,479666827.0,2025-04-12
HDP,Doanh thu bán hàng và CCDV,2023,422163666.0,2025-04-12
HDP,Doanh thu bán hàng và CCDV,2024,420790506.0,2025-04-12
HDP,Giá vốn hàng bán,2021,253797706.0,2025-04-12
HDP,Giá vốn hàng bán,2022,340765420.0,2025-04-12
HDP,Giá vốn hàng bán,2023,312141650.0,2025-04-12
HDP,Giá vốn hàng bán,2024,301027476.0,2025-04-12
HDP,Lợi nhuận gộp về BH và CCDV,2021,92867604.0,2025-04-12
HDP,Lợi nhuận gộp về BH và CCDV,2022,132815411.0,2025-04-12
HDP,Lợi nhuận gộp về BH và CCDV,2023,104075428.0,2025-04-12
HDP,Lợi nhuận gộp về BH và CCDV,2024,108264406.0,2025-04-12
HDP,Lợi nhuận tài chính,2021,-3941758.0,2025-04-12
HDP,Lợi nhuận tài chính,2022,-4722326.0,2025-04-12
HDP,Lợi nhuận tài chính,2023,-4787482.0,2025-04-12
HDP,Lợi nhuận tài chính,2024,-3095740.0,2025-04-12
HDP,Lợi nhuận khác,2021,164116.0,2025-04-12
HDP,Lợi nhuận khác,2022,-8515.0,2025-04-12
HDP,Lợi nhuận khác,2023,-107769.0,2025-04-12
HDP,Lợi nhuận khác,2024,-66002.0,2025-04-12
HDP,Tổng lợi nhuận trước thuế,2021,12401007.0,2025-04-12
HDP,Tổng lợi nhuận trước thuế,2022,21147028.0,2025-04-12
HDP,Tổng lợi nhuận trước thuế,2023,15628407.0,2025-04-12
HDP,Tổng lợi nhuận trước thuế,2024,19862496.0,2025-04-12
HDP,Lợi nhuận sau thuế,2021,9523487.0,2025-04-12
HDP,Lợi nhuận sau thuế,2022,16849527.0,2025-04-12
HDP,Lợi nhuận sau thuế,2023,12428080.0,2025-04-12
HDP,Lợi nhuận sau thuế,2024,15794994.0,2025-04-12
HDP,Lợi nhuận sau thuế của công ty mẹ,2021,9523487.0,2025-04-12
HDP,Lợi nhuận sau thuế của công ty mẹ,2022,16849527.0,2025-04-12
HDP,Lợi nhuận sau thuế của công ty mẹ,2023,12428080.0,2025-04-12
HDP,Lợi nhuận sau thuế của công ty mẹ,2024,15794994.0,2025-04-12
HDP,Tổng tài sản lưu động ngắn hạn,2021,145481501.0,2025-04-12
HDP,Tổng tài sản lưu động ngắn hạn,2022,167510112.0,2025-04-12
HDP,Tổng tài sản lưu động ngắn hạn,2023,148546031.0,2025-04-12
HDP,Tổng tài sản lưu động ngắn hạn,2024,146944464.0,2025-04-12
HDP,Tổng tài sản,2021,246888618.0,2025-04-12
HDP,Tổng tài sản,2022,286274158.0,2025-04-12
HDP,Tổng tài sản,2023,265620999.0,2025-04-12
HDP,Tổng tài sản,2024,305357537.0,2025-04-12
HDP,Nợ ngắn hạn,2021,118234567.0,2025-04-12
HDP,Nợ ngắn hạn,2022,135110906.0,2025-04-12
HDP,Nợ ngắn hạn,2023,131374573.0,2025-04-12
HDP,Nợ ngắn hạn,2024,149330072.0,2025-04-12
HDP,Tổng nợ,2021,128204888.0,2025-04-12
HDP,Tổng nợ,2022,155528058.0,2025-04-12
HDP,Tổng nợ,2023,139347626.0,2025-04-12
HDP,Tổng nợ,2024,175210472.0,2025-04-12
HDP,Vốn chủ sở hữu,2021,118683730.0,2025-04-12
HDP,Vốn chủ sở hữu,2022,130746100.0,2025-04-12
HDP,Vốn chủ sở hữu,2023,126273373.0,2025-04-12
HDP,Vốn chủ sở hữu,2024,130147065.0,2025-04-12
