symbol,metric,year,value,crawled_date
HEJ,Doanh thu bán hàng và CCDV,2021,122245418.0,2025-04-12
HEJ,Doanh thu bán hàng và CCDV,2022,120367982.0,2025-04-12
HEJ,Doanh thu bán hàng và CCDV,2023,97108954.0,2025-04-12
HEJ,Doanh thu bán hàng và CCDV,2024,68595739.0,2025-04-12
HEJ,Giá vốn hàng bán,2021,103700464.0,2025-04-12
HEJ,Giá vốn hàng bán,2022,99370805.0,2025-04-12
HEJ,Giá vốn hàng bán,2023,70625890.0,2025-04-12
HEJ,Giá vốn hàng bán,2024,45455005.0,2025-04-12
HEJ,Lợi nhuận gộp về BH và CCDV,2021,18544953.0,2025-04-12
HEJ,Lợi nhuận gộp về BH và CCDV,2022,20997177.0,2025-04-12
HEJ,Lợi nhuận gộp về BH và CCDV,2023,26483064.0,2025-04-12
HEJ,Lợi nhuận gộp về BH và CCDV,2024,23104508.0,2025-04-12
HEJ,Lợi nhuận tài chính,2021,-368672.0,2025-04-12
HEJ,Lợi nhuận tài chính,2022,52484.0,2025-04-12
HEJ,Lợi nhuận tài chính,2023,-2225986.0,2025-04-12
HEJ,Lợi nhuận tài chính,2024,-2631016.0,2025-04-12
HEJ,Lợi nhuận khác,2021,3635931.0,2025-04-12
HEJ,Lợi nhuận khác,2022,222066.0,2025-04-12
HEJ,Lợi nhuận khác,2023,-43152.0,2025-04-12
HEJ,Lợi nhuận khác,2024,-871706.0,2025-04-12
HEJ,Tổng lợi nhuận trước thuế,2021,6328040.0,2025-04-12
HEJ,Tổng lợi nhuận trước thuế,2022,5430618.0,2025-04-12
HEJ,Tổng lợi nhuận trước thuế,2023,2553509.0,2025-04-12
HEJ,Tổng lợi nhuận trước thuế,2024,750456.0,2025-04-12
HEJ,Lợi nhuận sau thuế,2021,5455466.0,2025-04-12
HEJ,Lợi nhuận sau thuế,2022,4377382.0,2025-04-12
HEJ,Lợi nhuận sau thuế,2023,2033232.0,2025-04-12
HEJ,Lợi nhuận sau thuế,2024,312554.0,2025-04-12
HEJ,Lợi nhuận sau thuế của công ty mẹ,2021,4655087.0,2025-04-12
HEJ,Lợi nhuận sau thuế của công ty mẹ,2022,3767120.0,2025-04-12
HEJ,Lợi nhuận sau thuế của công ty mẹ,2023,1445718.0,2025-04-12
HEJ,Lợi nhuận sau thuế của công ty mẹ,2024,446263.0,2025-04-12
HEJ,Tổng tài sản lưu động ngắn hạn,2021,161707023.0,2025-04-12
HEJ,Tổng tài sản lưu động ngắn hạn,2022,174101049.0,2025-04-12
HEJ,Tổng tài sản lưu động ngắn hạn,2023,175956025.0,2025-04-12
HEJ,Tổng tài sản lưu động ngắn hạn,2024,167024169.0,2025-04-12
HEJ,Tổng tài sản,2021,184884588.0,2025-04-12
HEJ,Tổng tài sản,2022,208700330.0,2025-04-12
HEJ,Tổng tài sản,2023,224193233.0,2025-04-12
HEJ,Tổng tài sản,2024,220215871.0,2025-04-12
HEJ,Nợ ngắn hạn,2021,104207715.0,2025-04-12
HEJ,Nợ ngắn hạn,2022,118487731.0,2025-04-12
HEJ,Nợ ngắn hạn,2023,128050473.0,2025-04-12
HEJ,Nợ ngắn hạn,2024,126006986.0,2025-04-12
HEJ,Tổng nợ,2021,106558124.0,2025-04-12
HEJ,Tổng nợ,2022,128445454.0,2025-04-12
HEJ,Tổng nợ,2023,141425125.0,2025-04-12
HEJ,Tổng nợ,2024,138004805.0,2025-04-12
HEJ,Vốn chủ sở hữu,2021,78326464.0,2025-04-12
HEJ,Vốn chủ sở hữu,2022,80254876.0,2025-04-12
HEJ,Vốn chủ sở hữu,2023,82768108.0,2025-04-12
HEJ,Vốn chủ sở hữu,2024,82211066.0,2025-04-12
