symbol,metric,year,value,crawled_date
HEP,Doanh thu bán hàng và CCDV,2022,347147636.0,2025-04-12
HEP,Doanh thu bán hàng và CCDV,2023,292879372.0,2025-04-12
HEP,Doanh thu bán hàng và CCDV,2023,292879372.0,2025-04-12
HEP,Doanh thu bán hàng và CCDV,2024,325858774.0,2025-04-12
HEP,Giá vốn hàng bán,2022,299827014.0,2025-04-12
HEP,Giá vốn hàng bán,2023,248470105.0,2025-04-12
HEP,Giá vốn hàng bán,2023,248470105.0,2025-04-12
HEP,Giá vốn hàng bán,2024,275007054.0,2025-04-12
HEP,Lợi nhuận gộp về BH và CCDV,2022,47318479.0,2025-04-12
HEP,Lợi nhuận gộp về BH và CCDV,2023,44407874.0,2025-04-12
HEP,Lợi nhuận gộp về BH và CCDV,2023,44407874.0,2025-04-12
HEP,Lợi nhuận gộp về BH và CCDV,2024,50849549.0,2025-04-12
HEP,Lợi nhuận tài chính,2022,1621933.0,2025-04-12
HEP,Lợi nhuận tài chính,2023,973335.0,2025-04-12
HEP,Lợi nhuận tài chính,2023,973335.0,2025-04-12
HEP,Lợi nhuận tài chính,2024,156064.0,2025-04-12
HEP,Lợi nhuận khác,2022,-1326115.0,2025-04-12
HEP,Lợi nhuận khác,2023,-43068.0,2025-04-12
HEP,Lợi nhuận khác,2023,-43068.0,2025-04-12
HEP,Lợi nhuận khác,2024,-120071.0,2025-04-12
HEP,Tổng lợi nhuận trước thuế,2022,13717274.0,2025-04-12
HEP,Tổng lợi nhuận trước thuế,2023,14627091.0,2025-04-12
HEP,Tổng lợi nhuận trước thuế,2023,14627091.0,2025-04-12
HEP,Tổng lợi nhuận trước thuế,2024,16479991.0,2025-04-12
HEP,Lợi nhuận sau thuế,2022,11503874.0,2025-04-12
HEP,Lợi nhuận sau thuế,2023,12474549.0,2025-04-12
HEP,Lợi nhuận sau thuế,2023,12474549.0,2025-04-12
HEP,Lợi nhuận sau thuế,2024,14398899.0,2025-04-12
HEP,Lợi nhuận sau thuế của công ty mẹ,2022,11503874.0,2025-04-12
HEP,Lợi nhuận sau thuế của công ty mẹ,2023,12474549.0,2025-04-12
HEP,Lợi nhuận sau thuế của công ty mẹ,2023,12474549.0,2025-04-12
HEP,Lợi nhuận sau thuế của công ty mẹ,2024,14398899.0,2025-04-12
HEP,Tổng tài sản lưu động ngắn hạn,2022,108929368.0,2025-04-12
HEP,Tổng tài sản lưu động ngắn hạn,2023,84841186.0,2025-04-12
HEP,Tổng tài sản lưu động ngắn hạn,2023,84841186.0,2025-04-12
HEP,Tổng tài sản lưu động ngắn hạn,2024,75808040.0,2025-04-12
HEP,Tổng tài sản,2022,623918068.0,2025-04-12
HEP,Tổng tài sản,2023,606450788.0,2025-04-12
HEP,Tổng tài sản,2023,606450788.0,2025-04-12
HEP,Tổng tài sản,2024,273482145.0,2025-04-12
HEP,Nợ ngắn hạn,2022,58470976.0,2025-04-12
HEP,Nợ ngắn hạn,2023,34792430.0,2025-04-12
HEP,Nợ ngắn hạn,2023,34792430.0,2025-04-12
HEP,Nợ ngắn hạn,2024,27430049.0,2025-04-12
HEP,Tổng nợ,2022,58470976.0,2025-04-12
HEP,Tổng nợ,2023,34792430.0,2025-04-12
HEP,Tổng nợ,2023,34792430.0,2025-04-12
HEP,Tổng nợ,2024,27430049.0,2025-04-12
HEP,Vốn chủ sở hữu,2022,565447092.0,2025-04-12
HEP,Vốn chủ sở hữu,2023,571658359.0,2025-04-12
HEP,Vốn chủ sở hữu,2023,571658359.0,2025-04-12
HEP,Vốn chủ sở hữu,2024,246052097.0,2025-04-12
