symbol,metric,year,value,crawled_date
HES,Doanh thu bán hàng và CCDV,2021,18987304.0,2025-04-12
HES,Doanh thu bán hàng và CCDV,2022,136095665.0,2025-04-12
HES,Doanh thu bán hàng và CCDV,2023,152417935.0,2025-04-12
HES,Doanh thu bán hàng và CCDV,2024,156188812.0,2025-04-12
HES,Giá vốn hàng bán,2021,24175179.0,2025-04-12
HES,Giá vốn hàng bán,2022,79159062.0,2025-04-12
HES,Giá vốn hàng bán,2023,93306367.0,2025-04-12
HES,Giá vốn hàng bán,2024,103116286.0,2025-04-12
HES,Lợi nhuận gộp về BH và CCDV,2021,-5187875.0,2025-04-12
HES,Lợi nhuận gộp về BH và CCDV,2022,56936603.0,2025-04-12
HES,Lợi nhuận gộp về BH và CCDV,2023,59111568.0,2025-04-12
HES,Lợi nhuận gộp về BH và CCDV,2024,53072526.0,2025-04-12
HES,Lợi nhuận tài chính,2021,523942.0,2025-04-12
HES,Lợi nhuận tài chính,2022,1363780.0,2025-04-12
HES,Lợi nhuận tài chính,2023,3064785.0,2025-04-12
HES,Lợi nhuận tài chính,2024,2691240.0,2025-04-12
HES,Lợi nhuận khác,2021,126231.0,2025-04-12
HES,Lợi nhuận khác,2022,640029.0,2025-04-12
HES,Lợi nhuận khác,2023,191936.0,2025-04-12
HES,Lợi nhuận khác,2024,794031.0,2025-04-12
HES,Tổng lợi nhuận trước thuế,2021,-29062828.0,2025-04-12
HES,Tổng lợi nhuận trước thuế,2022,18584798.0,2025-04-12
HES,Tổng lợi nhuận trước thuế,2023,13078863.0,2025-04-12
HES,Tổng lợi nhuận trước thuế,2024,14277010.0,2025-04-12
HES,Lợi nhuận sau thuế,2021,-29062828.0,2025-04-12
HES,Lợi nhuận sau thuế,2022,18584798.0,2025-04-12
HES,Lợi nhuận sau thuế,2023,13078863.0,2025-04-12
HES,Lợi nhuận sau thuế,2024,13192433.0,2025-04-12
HES,Lợi nhuận sau thuế của công ty mẹ,2021,-29062828.0,2025-04-12
HES,Lợi nhuận sau thuế của công ty mẹ,2022,18584798.0,2025-04-12
HES,Lợi nhuận sau thuế của công ty mẹ,2023,13078863.0,2025-04-12
HES,Lợi nhuận sau thuế của công ty mẹ,2024,13192433.0,2025-04-12
HES,Tổng tài sản lưu động ngắn hạn,2021,18729012.0,2025-04-12
HES,Tổng tài sản lưu động ngắn hạn,2022,38044971.0,2025-04-12
HES,Tổng tài sản lưu động ngắn hạn,2023,47752430.0,2025-04-12
HES,Tổng tài sản lưu động ngắn hạn,2024,72304212.0,2025-04-12
HES,Tổng tài sản,2021,95901929.0,2025-04-12
HES,Tổng tài sản,2022,102884909.0,2025-04-12
HES,Tổng tài sản,2023,113307450.0,2025-04-12
HES,Tổng tài sản,2024,136194240.0,2025-04-12
HES,Nợ ngắn hạn,2021,27345123.0,2025-04-12
HES,Nợ ngắn hạn,2022,15840505.0,2025-04-12
HES,Nợ ngắn hạn,2023,13184183.0,2025-04-12
HES,Nợ ngắn hạn,2024,16082464.0,2025-04-12
HES,Tổng nợ,2021,28001989.0,2025-04-12
HES,Tổng nợ,2022,16400171.0,2025-04-12
HES,Tổng nợ,2023,13743849.0,2025-04-12
HES,Tổng nợ,2024,23438205.0,2025-04-12
HES,Vốn chủ sở hữu,2021,67899940.0,2025-04-12
HES,Vốn chủ sở hữu,2022,86484738.0,2025-04-12
HES,Vốn chủ sở hữu,2023,99563601.0,2025-04-12
HES,Vốn chủ sở hữu,2024,112756034.0,2025-04-12
