symbol,metric,year,value,crawled_date
HGM,Doanh thu bán hàng và CCDV,2021,154120381.0,2025-04-12
HGM,Doanh thu bán hàng và CCDV,2022,200979515.0,2025-04-12
HGM,Doanh thu bán hàng và CCDV,2023,175681807.0,2025-04-12
HGM,Doanh thu bán hàng và CCDV,2024,370448865.0,2025-04-12
HGM,Giá vốn hàng bán,2021,70237854.0,2025-04-12
HGM,Giá vốn hàng bán,2022,75991801.0,2025-04-12
HGM,Giá vốn hàng bán,2023,93532231.0,2025-04-12
HGM,Giá vốn hàng bán,2024,130800613.0,2025-04-12
HGM,Lợi nhuận gộp về BH và CCDV,2021,83882527.0,2025-04-12
HGM,Lợi nhuận gộp về BH và CCDV,2022,124987714.0,2025-04-12
HGM,Lợi nhuận gộp về BH và CCDV,2023,82149576.0,2025-04-12
HGM,Lợi nhuận gộp về BH và CCDV,2024,239648252.0,2025-04-12
HGM,Lợi nhuận tài chính,2021,23809633.0,2025-04-12
HGM,Lợi nhuận tài chính,2022,-36511000.0,2025-04-12
HGM,Lợi nhuận tài chính,2023,5885719.0,2025-04-12
HGM,Lợi nhuận tài chính,2024,22058263.0,2025-04-12
HGM,Lợi nhuận khác,2021,-2820468.0,2025-04-12
HGM,Lợi nhuận khác,2022,-1731029.0,2025-04-12
HGM,Lợi nhuận khác,2023,-1613878.0,2025-04-12
HGM,Lợi nhuận khác,2024,-4352114.0,2025-04-12
HGM,Tổng lợi nhuận trước thuế,2021,88774643.0,2025-04-12
HGM,Tổng lợi nhuận trước thuế,2022,68072511.0,2025-04-12
HGM,Tổng lợi nhuận trước thuế,2023,69346435.0,2025-04-12
HGM,Tổng lợi nhuận trước thuế,2024,229785214.0,2025-04-12
HGM,Lợi nhuận sau thuế,2021,70419134.0,2025-04-12
HGM,Lợi nhuận sau thuế,2022,53936976.0,2025-04-12
HGM,Lợi nhuận sau thuế,2023,54851766.0,2025-04-12
HGM,Lợi nhuận sau thuế,2024,183155715.0,2025-04-12
HGM,Lợi nhuận sau thuế của công ty mẹ,2021,70419134.0,2025-04-12
HGM,Lợi nhuận sau thuế của công ty mẹ,2022,53936976.0,2025-04-12
HGM,Lợi nhuận sau thuế của công ty mẹ,2023,54851766.0,2025-04-12
HGM,Lợi nhuận sau thuế của công ty mẹ,2024,183155715.0,2025-04-12
HGM,Tổng tài sản lưu động ngắn hạn,2021,128093494.0,2025-04-12
HGM,Tổng tài sản lưu động ngắn hạn,2022,143675631.0,2025-04-12
HGM,Tổng tài sản lưu động ngắn hạn,2023,168955703.0,2025-04-12
HGM,Tổng tài sản lưu động ngắn hạn,2024,343844061.0,2025-04-12
HGM,Tổng tài sản,2021,227039517.0,2025-04-12
HGM,Tổng tài sản,2022,215508759.0,2025-04-12
HGM,Tổng tài sản,2023,238841294.0,2025-04-12
HGM,Tổng tài sản,2024,424860966.0,2025-04-12
HGM,Nợ ngắn hạn,2021,20095163.0,2025-04-12
HGM,Nợ ngắn hạn,2022,20514790.0,2025-04-12
HGM,Nợ ngắn hạn,2023,28377183.0,2025-04-12
HGM,Nợ ngắn hạn,2024,68870256.0,2025-04-12
HGM,Tổng nợ,2021,33292503.0,2025-04-12
HGM,Tổng nợ,2022,33482362.0,2025-04-12
HGM,Tổng nợ,2023,41310671.0,2025-04-12
HGM,Tổng nợ,2024,81700126.0,2025-04-12
HGM,Vốn chủ sở hữu,2021,193747014.0,2025-04-12
HGM,Vốn chủ sở hữu,2022,182026397.0,2025-04-12
HGM,Vốn chủ sở hữu,2023,197530623.0,2025-04-12
HGM,Vốn chủ sở hữu,2024,343160840.0,2025-04-12
