symbol,metric,year,value,crawled_date
HPD,Doanh thu bán hàng và CCDV,2022,49673011.0,2025-04-12
HPD,Doanh thu bán hàng và CCDV,2023,51317823.0,2025-04-12
HPD,Doanh thu bán hàng và CCDV,2023,51317823.0,2025-04-12
HPD,Doanh thu bán hàng và CCDV,2024,43637112.0,2025-04-12
HPD,Giá vốn hàng bán,2022,18537904.0,2025-04-12
HPD,Giá vốn hàng bán,2023,20472620.0,2025-04-12
HPD,Giá vốn hàng bán,2023,20472620.0,2025-04-12
HPD,Giá vốn hàng bán,2024,21425368.0,2025-04-12
HPD,Lợi nhuận gộp về BH và CCDV,2022,31135108.0,2025-04-12
HPD,Lợi nhuận gộp về BH và CCDV,2023,30845204.0,2025-04-12
HPD,Lợi nhuận gộp về BH và CCDV,2023,30845204.0,2025-04-12
HPD,Lợi nhuận gộp về BH và CCDV,2024,22211743.0,2025-04-12
HPD,Lợi nhuận tài chính,2022,4054699.0,2025-04-12
HPD,Lợi nhuận tài chính,2023,-3045298.0,2025-04-12
HPD,Lợi nhuận tài chính,2023,-3045298.0,2025-04-12
HPD,Lợi nhuận tài chính,2024,-780075.0,2025-04-12
HPD,Lợi nhuận khác,2022,-3870008.0,2025-04-12
HPD,Lợi nhuận khác,2023,-351421.0,2025-04-12
HPD,Lợi nhuận khác,2023,-351421.0,2025-04-12
HPD,Lợi nhuận khác,2024,351718.0,2025-04-12
HPD,Tổng lợi nhuận trước thuế,2022,24751492.0,2025-04-12
HPD,Tổng lợi nhuận trước thuế,2023,25047638.0,2025-04-12
HPD,Tổng lợi nhuận trước thuế,2023,25047638.0,2025-04-12
HPD,Tổng lợi nhuận trước thuế,2024,22441819.0,2025-04-12
HPD,Lợi nhuận sau thuế,2022,22421420.0,2025-04-12
HPD,Lợi nhuận sau thuế,2023,23771971.0,2025-04-12
HPD,Lợi nhuận sau thuế,2023,23771971.0,2025-04-12
HPD,Lợi nhuận sau thuế,2024,20150882.0,2025-04-12
HPD,Lợi nhuận sau thuế của công ty mẹ,2022,22421420.0,2025-04-12
HPD,Lợi nhuận sau thuế của công ty mẹ,2023,23771971.0,2025-04-12
HPD,Lợi nhuận sau thuế của công ty mẹ,2023,23771971.0,2025-04-12
HPD,Lợi nhuận sau thuế của công ty mẹ,2024,20150882.0,2025-04-12
HPD,Tổng tài sản lưu động ngắn hạn,2022,18096076.0,2025-04-12
HPD,Tổng tài sản lưu động ngắn hạn,2023,56935968.0,2025-04-12
HPD,Tổng tài sản lưu động ngắn hạn,2023,56935968.0,2025-04-12
HPD,Tổng tài sản lưu động ngắn hạn,2024,26941265.0,2025-04-12
HPD,Tổng tài sản,2022,159387403.0,2025-04-12
HPD,Tổng tài sản,2023,166842940.0,2025-04-12
HPD,Tổng tài sản,2023,166842940.0,2025-04-12
HPD,Tổng tài sản,2024,169609975.0,2025-04-12
HPD,Nợ ngắn hạn,2022,12942444.0,2025-04-12
HPD,Nợ ngắn hạn,2023,14330899.0,2025-04-12
HPD,Nợ ngắn hạn,2023,14330899.0,2025-04-12
HPD,Nợ ngắn hạn,2024,30010232.0,2025-04-12
HPD,Tổng nợ,2022,48942444.0,2025-04-12
HPD,Tổng nợ,2023,45330899.0,2025-04-12
HPD,Tổng nợ,2023,45330899.0,2025-04-12
HPD,Tổng nợ,2024,45010232.0,2025-04-12
HPD,Vốn chủ sở hữu,2022,110444959.0,2025-04-12
HPD,Vốn chủ sở hữu,2023,121512041.0,2025-04-12
HPD,Vốn chủ sở hữu,2023,121512041.0,2025-04-12
HPD,Vốn chủ sở hữu,2024,124599743.0,2025-04-12
