symbol,metric,year,value,crawled_date
HPW,Doanh thu bán hàng và CCDV,2021,1023384339.0,2025-04-12
HPW,Doanh thu bán hàng và CCDV,2022,1073035345.0,2025-04-12
HPW,Doanh thu bán hàng và CCDV,2023,1131127207.0,2025-04-12
HPW,Doanh thu bán hàng và CCDV,2024,1287784458.0,2025-04-12
HPW,Giá vốn hàng bán,2021,657458802.0,2025-04-12
HPW,Giá vốn hàng bán,2022,646126983.0,2025-04-12
HPW,Giá vốn hàng bán,2023,680968776.0,2025-04-12
HPW,Giá vốn hàng bán,2024,804259428.0,2025-04-12
HPW,Lợi nhuận gộp về BH và CCDV,2021,365925537.0,2025-04-12
HPW,Lợi nhuận gộp về BH và CCDV,2022,426908362.0,2025-04-12
HPW,Lợi nhuận gộp về BH và CCDV,2023,450158430.0,2025-04-12
HPW,Lợi nhuận gộp về BH và CCDV,2024,483525030.0,2025-04-12
HPW,Lợi nhuận tài chính,2021,-6210842.0,2025-04-12
HPW,Lợi nhuận tài chính,2022,-50485151.0,2025-04-12
HPW,Lợi nhuận tài chính,2023,-61010863.0,2025-04-12
HPW,Lợi nhuận tài chính,2024,-73015242.0,2025-04-12
HPW,Lợi nhuận khác,2021,292604.0,2025-04-12
HPW,Lợi nhuận khác,2022,2500547.0,2025-04-12
HPW,Lợi nhuận khác,2023,455865.0,2025-04-12
HPW,Lợi nhuận khác,2024,1124228.0,2025-04-12
HPW,Tổng lợi nhuận trước thuế,2021,121273578.0,2025-04-12
HPW,Tổng lợi nhuận trước thuế,2022,123538836.0,2025-04-12
HPW,Tổng lợi nhuận trước thuế,2023,127944259.0,2025-04-12
HPW,Tổng lợi nhuận trước thuế,2024,138348082.0,2025-04-12
HPW,Lợi nhuận sau thuế,2021,97005677.0,2025-04-12
HPW,Lợi nhuận sau thuế,2022,98831069.0,2025-04-12
HPW,Lợi nhuận sau thuế,2023,102125432.0,2025-04-12
HPW,Lợi nhuận sau thuế,2024,110677574.0,2025-04-12
HPW,Lợi nhuận sau thuế của công ty mẹ,2021,89459671.0,2025-04-12
HPW,Lợi nhuận sau thuế của công ty mẹ,2022,91101576.0,2025-04-12
HPW,Lợi nhuận sau thuế của công ty mẹ,2023,94343303.0,2025-04-12
HPW,Lợi nhuận sau thuế của công ty mẹ,2024,102480867.0,2025-04-12
HPW,Tổng tài sản lưu động ngắn hạn,2021,470974384.0,2025-04-12
HPW,Tổng tài sản lưu động ngắn hạn,2022,497857715.0,2025-04-12
HPW,Tổng tài sản lưu động ngắn hạn,2023,570276917.0,2025-04-12
HPW,Tổng tài sản lưu động ngắn hạn,2024,673141739.0,2025-04-12
HPW,Tổng tài sản,2021,2357880388.0,2025-04-12
HPW,Tổng tài sản,2022,2205102240.0,2025-04-12
HPW,Tổng tài sản,2023,2086812381.0,2025-04-12
HPW,Tổng tài sản,2024,2075727865.0,2025-04-12
HPW,Nợ ngắn hạn,2021,253969400.0,2025-04-12
HPW,Nợ ngắn hạn,2022,222371113.0,2025-04-12
HPW,Nợ ngắn hạn,2023,184499733.0,2025-04-12
HPW,Nợ ngắn hạn,2024,199504868.0,2025-04-12
HPW,Tổng nợ,2021,1305633202.0,2025-04-12
HPW,Tổng nợ,2022,1142337163.0,2025-04-12
HPW,Tổng nợ,2023,1015149325.0,2025-04-12
HPW,Tổng nợ,2024,987340954.0,2025-04-12
HPW,Vốn chủ sở hữu,2021,1052247187.0,2025-04-12
HPW,Vốn chủ sở hữu,2022,1062765077.0,2025-04-12
HPW,Vốn chủ sở hữu,2023,1071663056.0,2025-04-12
HPW,Vốn chủ sở hữu,2024,1088386911.0,2025-04-12
