symbol,metric,year,value,crawled_date
HSG,Doanh thu bán hàng và CCDV,2021,48987333712.0,2025-04-12
HSG,Doanh thu bán hàng và CCDV,2022,50090135319.0,2025-04-12
HSG,Doanh thu bán hàng và CCDV,2023,32084297693.0,2025-04-12
HSG,Doanh thu bán hàng và CCDV,2024,39882804917.0,2025-04-12
HSG,Giá vốn hàng bán,2021,39853124053.0,2025-04-12
HSG,Giá vốn hàng bán,2022,44771944790.0,2025-04-12
HSG,Giá vốn hàng bán,2023,28590018867.0,2025-04-12
HSG,Giá vốn hàng bán,2024,35008227342.0,2025-04-12
HSG,Lợi nhuận gộp về BH và CCDV,2021,8873398181.0,2025-04-12
HSG,Lợi nhuận gộp về BH và CCDV,2022,4938691162.0,2025-04-12
HSG,Lợi nhuận gộp về BH và CCDV,2023,3060642090.0,2025-04-12
HSG,Lợi nhuận gộp về BH và CCDV,2024,4263666396.0,2025-04-12
HSG,Lợi nhuận tài chính,2021,-185712188.0,2025-04-12
HSG,Lợi nhuận tài chính,2022,-254066493.0,2025-04-12
HSG,Lợi nhuận tài chính,2023,-80679826.0,2025-04-12
HSG,Lợi nhuận tài chính,2024,87217811.0,2025-04-12
HSG,Lợi nhuận khác,2021,-1899321.0,2025-04-12
HSG,Lợi nhuận khác,2022,51374655.0,2025-04-12
HSG,Lợi nhuận khác,2023,49892363.0,2025-04-12
HSG,Lợi nhuận khác,2024,40589404.0,2025-04-12
HSG,Tổng lợi nhuận trước thuế,2021,4915483071.0,2025-04-12
HSG,Tổng lợi nhuận trước thuế,2022,381129461.0,2025-04-12
HSG,Tổng lợi nhuận trước thuế,2023,146022560.0,2025-04-12
HSG,Tổng lợi nhuận trước thuế,2024,551203257.0,2025-04-12
HSG,Lợi nhuận sau thuế,2021,4313494062.0,2025-04-12
HSG,Lợi nhuận sau thuế,2022,251320306.0,2025-04-12
HSG,Lợi nhuận sau thuế,2023,30062344.0,2025-04-12
HSG,Lợi nhuận sau thuế,2024,514673976.0,2025-04-12
HSG,Lợi nhuận sau thuế của công ty mẹ,2021,4313507234.0,2025-04-12
HSG,Lợi nhuận sau thuế của công ty mẹ,2022,251341330.0,2025-04-12
HSG,Lợi nhuận sau thuế của công ty mẹ,2023,30008236.0,2025-04-12
HSG,Lợi nhuận sau thuế của công ty mẹ,2024,514634808.0,2025-04-12
HSG,Tổng tài sản lưu động ngắn hạn,2021,18655160350.0,2025-04-12
HSG,Tổng tài sản lưu động ngắn hạn,2022,9834993231.0,2025-04-12
HSG,Tổng tài sản lưu động ngắn hạn,2023,11274839905.0,2025-04-12
HSG,Tổng tài sản lưu động ngắn hạn,2024,14174354520.0,2025-04-12
HSG,Tổng tài sản,2021,26618030003.0,2025-04-12
HSG,Tổng tài sản,2022,17025411188.0,2025-04-12
HSG,Tổng tài sản,2023,17365305646.0,2025-04-12
HSG,Tổng tài sản,2024,19800192676.0,2025-04-12
HSG,Nợ ngắn hạn,2021,14372246601.0,2025-04-12
HSG,Nợ ngắn hạn,2022,6009187396.0,2025-04-12
HSG,Nợ ngắn hạn,2023,6568894350.0,2025-04-12
HSG,Nợ ngắn hạn,2024,8632413967.0,2025-04-12
HSG,Tổng nợ,2021,15786236174.0,2025-04-12
HSG,Tổng nợ,2022,6141841220.0,2025-04-12
HSG,Tổng nợ,2023,6585139273.0,2025-04-12
HSG,Tổng nợ,2024,8648683880.0,2025-04-12
HSG,Vốn chủ sở hữu,2021,10831793829.0,2025-04-12
HSG,Vốn chủ sở hữu,2022,10883569968.0,2025-04-12
HSG,Vốn chủ sở hữu,2023,10780166372.0,2025-04-12
HSG,Vốn chủ sở hữu,2024,10916937056.0,2025-04-12
