symbol,metric,year,value,crawled_date
HTP,Doanh thu bán hàng và CCDV,2019,8211118.0,2025-04-12
HTP,Doanh thu bán hàng và CCDV,2020,7965383.0,2025-04-12
HTP,Doanh thu bán hàng và CCDV,2021,23819834.0,2025-04-12
HTP,Doanh thu bán hàng và CCDV,2022,83797050.0,2025-04-12
HTP,Giá vốn hàng bán,2019,7415864.0,2025-04-12
HTP,Giá vốn hàng bán,2020,7106833.0,2025-04-12
HTP,Giá vốn hàng bán,2021,7670585.0,2025-04-12
HTP,Giá vốn hàng bán,2022,20902625.0,2025-04-12
HTP,Lợi nhuận gộp về BH và CCDV,2019,795255.0,2025-04-12
HTP,Lợi nhuận gộp về BH và CCDV,2020,858549.0,2025-04-12
HTP,Lợi nhuận gộp về BH và CCDV,2021,16149248.0,2025-04-12
HTP,Lợi nhuận gộp về BH và CCDV,2022,62894424.0,2025-04-12
HTP,Lợi nhuận tài chính,2019,1044645.0,2025-04-12
HTP,Lợi nhuận tài chính,2020,1104542.0,2025-04-12
HTP,Lợi nhuận tài chính,2021,-8325052.0,2025-04-12
HTP,Lợi nhuận tài chính,2022,-39160169.0,2025-04-12
HTP,Lợi nhuận khác,2019,71076.0,2025-04-12
HTP,Lợi nhuận khác,2020,38563.0,2025-04-12
HTP,Lợi nhuận khác,2021,56194757.0,2025-04-12
HTP,Lợi nhuận khác,2022,-1657919.0,2025-04-12
HTP,Tổng lợi nhuận trước thuế,2019,397280.0,2025-04-12
HTP,Tổng lợi nhuận trước thuế,2020,197226.0,2025-04-12
HTP,Tổng lợi nhuận trước thuế,2021,57426660.0,2025-04-12
HTP,Tổng lợi nhuận trước thuế,2022,7898427.0,2025-04-12
HTP,Lợi nhuận sau thuế,2019,324554.0,2025-04-12
HTP,Lợi nhuận sau thuế,2020,164558.0,2025-04-12
HTP,Lợi nhuận sau thuế,2021,55675197.0,2025-04-12
HTP,Lợi nhuận sau thuế,2022,1166248.0,2025-04-12
HTP,Lợi nhuận sau thuế của công ty mẹ,2019,324554.0,2025-04-12
HTP,Lợi nhuận sau thuế của công ty mẹ,2020,164558.0,2025-04-12
HTP,Lợi nhuận sau thuế của công ty mẹ,2021,55694505.0,2025-04-12
HTP,Lợi nhuận sau thuế của công ty mẹ,2022,-1597392.0,2025-04-12
HTP,Tổng tài sản lưu động ngắn hạn,2019,16959667.0,2025-04-12
HTP,Tổng tài sản lưu động ngắn hạn,2020,17916884.0,2025-04-12
HTP,Tổng tài sản lưu động ngắn hạn,2021,1201623242.0,2025-04-12
HTP,Tổng tài sản lưu động ngắn hạn,2022,1837334672.0,2025-04-12
HTP,Tổng tài sản,2019,20194212.0,2025-04-12
HTP,Tổng tài sản,2020,20733026.0,2025-04-12
HTP,Tổng tài sản,2021,5439007805.0,2025-04-12
HTP,Tổng tài sản,2022,6178609235.0,2025-04-12
HTP,Nợ ngắn hạn,2019,578533.0,2025-04-12
HTP,Nợ ngắn hạn,2020,952789.0,2025-04-12
HTP,Nợ ngắn hạn,2021,349099382.0,2025-04-12
HTP,Nợ ngắn hạn,2022,1235176216.0,2025-04-12
HTP,Tổng nợ,2019,578533.0,2025-04-12
HTP,Tổng nợ,2020,952789.0,2025-04-12
HTP,Tổng nợ,2021,3103813825.0,2025-04-12
HTP,Tổng nợ,2022,3842249008.0,2025-04-12
HTP,Vốn chủ sở hữu,2019,19615679.0,2025-04-12
HTP,Vốn chủ sở hữu,2020,19780237.0,2025-04-12
HTP,Vốn chủ sở hữu,2021,2335193980.0,2025-04-12
HTP,Vốn chủ sở hữu,2022,2336360227.0,2025-04-12
