symbol,metric,year,value,crawled_date
HU6,Doanh thu bán hàng và CCDV,2022,1378581.0,2025-04-12
HU6,Doanh thu bán hàng và CCDV,2023,2865763.0,2025-04-12
HU6,Doanh thu bán hàng và CCDV,2023,2865763.0,2025-04-12
HU6,Doanh thu bán hàng và CCDV,2024,2338484.0,2025-04-12
HU6,Giá vốn hàng bán,2022,1170502.0,2025-04-12
HU6,Giá vốn hàng bán,2023,759717.0,2025-04-12
HU6,Giá vốn hàng bán,2023,759717.0,2025-04-12
HU6,Giá vốn hàng bán,2024,486971.0,2025-04-12
HU6,Lợi nhuận gộp về BH và CCDV,2022,208079.0,2025-04-12
HU6,Lợi nhuận gộp về BH và CCDV,2023,2106046.0,2025-04-12
HU6,Lợi nhuận gộp về BH và CCDV,2023,2106046.0,2025-04-12
HU6,Lợi nhuận gộp về BH và CCDV,2024,1851513.0,2025-04-12
HU6,Lợi nhuận tài chính,2022,1562758.0,2025-04-12
HU6,Lợi nhuận tài chính,2023,1973649.0,2025-04-12
HU6,Lợi nhuận tài chính,2023,1973649.0,2025-04-12
HU6,Lợi nhuận tài chính,2024,1080099.0,2025-04-12
HU6,Lợi nhuận khác,2022,298441.0,2025-04-12
HU6,Lợi nhuận khác,2023,730013.0,2025-04-12
HU6,Lợi nhuận khác,2023,730013.0,2025-04-12
HU6,Lợi nhuận khác,2024,100000.0,2025-04-12
HU6,Tổng lợi nhuận trước thuế,2022,43362.0,2025-04-12
HU6,Tổng lợi nhuận trước thuế,2023,91215.0,2025-04-12
HU6,Tổng lợi nhuận trước thuế,2023,91215.0,2025-04-12
HU6,Tổng lợi nhuận trước thuế,2024,40572.0,2025-04-12
HU6,Lợi nhuận sau thuế,2022,31233.0,2025-04-12
HU6,Lợi nhuận sau thuế,2023,61581.0,2025-04-12
HU6,Lợi nhuận sau thuế,2023,61581.0,2025-04-12
HU6,Lợi nhuận sau thuế,2024,29854.0,2025-04-12
HU6,Lợi nhuận sau thuế của công ty mẹ,2022,31233.0,2025-04-12
HU6,Lợi nhuận sau thuế của công ty mẹ,2023,61581.0,2025-04-12
HU6,Lợi nhuận sau thuế của công ty mẹ,2023,61581.0,2025-04-12
HU6,Lợi nhuận sau thuế của công ty mẹ,2024,29854.0,2025-04-12
HU6,Tổng tài sản lưu động ngắn hạn,2022,73483342.0,2025-04-12
HU6,Tổng tài sản lưu động ngắn hạn,2023,75633515.0,2025-04-12
HU6,Tổng tài sản lưu động ngắn hạn,2023,75633515.0,2025-04-12
HU6,Tổng tài sản lưu động ngắn hạn,2024,77866496.0,2025-04-12
HU6,Tổng tài sản,2022,99748227.0,2025-04-12
HU6,Tổng tài sản,2023,100697696.0,2025-04-12
HU6,Tổng tài sản,2023,100697696.0,2025-04-12
HU6,Tổng tài sản,2024,101729972.0,2025-04-12
HU6,Nợ ngắn hạn,2022,18260291.0,2025-04-12
HU6,Nợ ngắn hạn,2023,18702938.0,2025-04-12
HU6,Nợ ngắn hạn,2023,18702938.0,2025-04-12
HU6,Nợ ngắn hạn,2024,19536851.0,2025-04-12
HU6,Tổng nợ,2022,22381672.0,2025-04-12
HU6,Tổng nợ,2023,23269559.0,2025-04-12
HU6,Tổng nợ,2023,23269559.0,2025-04-12
HU6,Tổng nợ,2024,24271981.0,2025-04-12
HU6,Vốn chủ sở hữu,2022,77366556.0,2025-04-12
HU6,Vốn chủ sở hữu,2023,77428137.0,2025-04-12
HU6,Vốn chủ sở hữu,2023,77428137.0,2025-04-12
HU6,Vốn chủ sở hữu,2024,77457991.0,2025-04-12
