symbol,metric,year,value,crawled_date
HUB,Doanh thu bán hàng và CCDV,2021,445487535.0,2025-04-12
HUB,Doanh thu bán hàng và CCDV,2022,426074618.0,2025-04-12
HUB,Doanh thu bán hàng và CCDV,2023,355314755.0,2025-04-12
HUB,Doanh thu bán hàng và CCDV,2024,308584765.0,2025-04-12
HUB,Giá vốn hàng bán,2021,338987943.0,2025-04-12
HUB,Giá vốn hàng bán,2022,312061880.0,2025-04-12
HUB,Giá vốn hàng bán,2023,260347677.0,2025-04-12
HUB,Giá vốn hàng bán,2024,229264226.0,2025-04-12
HUB,Lợi nhuận gộp về BH và CCDV,2021,106450754.0,2025-04-12
HUB,Lợi nhuận gộp về BH và CCDV,2022,113070160.0,2025-04-12
HUB,Lợi nhuận gộp về BH và CCDV,2023,94774287.0,2025-04-12
HUB,Lợi nhuận gộp về BH và CCDV,2024,79281673.0,2025-04-12
HUB,Lợi nhuận tài chính,2021,6680359.0,2025-04-12
HUB,Lợi nhuận tài chính,2022,7030338.0,2025-04-12
HUB,Lợi nhuận tài chính,2023,14935305.0,2025-04-12
HUB,Lợi nhuận tài chính,2024,9821426.0,2025-04-12
HUB,Lợi nhuận khác,2021,3533952.0,2025-04-12
HUB,Lợi nhuận khác,2022,1424038.0,2025-04-12
HUB,Lợi nhuận khác,2023,5851036.0,2025-04-12
HUB,Lợi nhuận khác,2024,606323.0,2025-04-12
HUB,Tổng lợi nhuận trước thuế,2021,73859749.0,2025-04-12
HUB,Tổng lợi nhuận trước thuế,2022,80291766.0,2025-04-12
HUB,Tổng lợi nhuận trước thuế,2023,78674385.0,2025-04-12
HUB,Tổng lợi nhuận trước thuế,2024,83215930.0,2025-04-12
HUB,Lợi nhuận sau thuế,2021,63142497.0,2025-04-12
HUB,Lợi nhuận sau thuế,2022,66783347.0,2025-04-12
HUB,Lợi nhuận sau thuế,2023,67238793.0,2025-04-12
HUB,Lợi nhuận sau thuế,2024,71202908.0,2025-04-12
HUB,Lợi nhuận sau thuế của công ty mẹ,2021,53855903.0,2025-04-12
HUB,Lợi nhuận sau thuế của công ty mẹ,2022,58189620.0,2025-04-12
HUB,Lợi nhuận sau thuế của công ty mẹ,2023,62769955.0,2025-04-12
HUB,Lợi nhuận sau thuế của công ty mẹ,2024,67868025.0,2025-04-12
HUB,Tổng tài sản lưu động ngắn hạn,2021,430370617.0,2025-04-12
HUB,Tổng tài sản lưu động ngắn hạn,2022,465277679.0,2025-04-12
HUB,Tổng tài sản lưu động ngắn hạn,2023,514460924.0,2025-04-12
HUB,Tổng tài sản lưu động ngắn hạn,2024,525725958.0,2025-04-12
HUB,Tổng tài sản,2021,791873198.0,2025-04-12
HUB,Tổng tài sản,2022,846633644.0,2025-04-12
HUB,Tổng tài sản,2023,934257054.0,2025-04-12
HUB,Tổng tài sản,2024,961051200.0,2025-04-12
HUB,Nợ ngắn hạn,2021,230684291.0,2025-04-12
HUB,Nợ ngắn hạn,2022,202749232.0,2025-04-12
HUB,Nợ ngắn hạn,2023,200979605.0,2025-04-12
HUB,Nợ ngắn hạn,2024,171351675.0,2025-04-12
HUB,Tổng nợ,2021,309671039.0,2025-04-12
HUB,Tổng nợ,2022,308068128.0,2025-04-12
HUB,Tổng nợ,2023,341063367.0,2025-04-12
HUB,Tổng nợ,2024,346432188.0,2025-04-12
HUB,Vốn chủ sở hữu,2021,482202159.0,2025-04-12
HUB,Vốn chủ sở hữu,2022,538565516.0,2025-04-12
HUB,Vốn chủ sở hữu,2023,593193687.0,2025-04-12
HUB,Vốn chủ sở hữu,2024,614619012.0,2025-04-12
