symbol,metric,year,value,crawled_date
HVH,Doanh thu bán hàng và CCDV,2021,308345519.0,2025-04-12
HVH,Doanh thu bán hàng và CCDV,2022,443648800.0,2025-04-12
HVH,Doanh thu bán hàng và CCDV,2023,250811434.0,2025-04-12
HVH,Doanh thu bán hàng và CCDV,2024,393590488.0,2025-04-12
HVH,Giá vốn hàng bán,2021,258633971.0,2025-04-12
HVH,Giá vốn hàng bán,2022,366729865.0,2025-04-12
HVH,Giá vốn hàng bán,2023,207672254.0,2025-04-12
HVH,Giá vốn hàng bán,2024,329528957.0,2025-04-12
HVH,Lợi nhuận gộp về BH và CCDV,2021,49711547.0,2025-04-12
HVH,Lợi nhuận gộp về BH và CCDV,2022,76918935.0,2025-04-12
HVH,Lợi nhuận gộp về BH và CCDV,2023,43139180.0,2025-04-12
HVH,Lợi nhuận gộp về BH và CCDV,2024,64061531.0,2025-04-12
HVH,Lợi nhuận tài chính,2021,-76005.0,2025-04-12
HVH,Lợi nhuận tài chính,2022,477403.0,2025-04-12
HVH,Lợi nhuận tài chính,2023,2419212.0,2025-04-12
HVH,Lợi nhuận tài chính,2024,1132262.0,2025-04-12
HVH,Lợi nhuận khác,2021,-1346212.0,2025-04-12
HVH,Lợi nhuận khác,2022,-8085252.0,2025-04-12
HVH,Lợi nhuận khác,2023,703118.0,2025-04-12
HVH,Lợi nhuận khác,2024,167121.0,2025-04-12
HVH,Tổng lợi nhuận trước thuế,2021,13865060.0,2025-04-12
HVH,Tổng lợi nhuận trước thuế,2022,28496951.0,2025-04-12
HVH,Tổng lợi nhuận trước thuế,2023,14144119.0,2025-04-12
HVH,Tổng lợi nhuận trước thuế,2024,38361747.0,2025-04-12
HVH,Lợi nhuận sau thuế,2021,11482480.0,2025-04-12
HVH,Lợi nhuận sau thuế,2022,22470536.0,2025-04-12
HVH,Lợi nhuận sau thuế,2023,11092518.0,2025-04-12
HVH,Lợi nhuận sau thuế,2024,30562420.0,2025-04-12
HVH,Lợi nhuận sau thuế của công ty mẹ,2021,10532905.0,2025-04-12
HVH,Lợi nhuận sau thuế của công ty mẹ,2022,22167028.0,2025-04-12
HVH,Lợi nhuận sau thuế của công ty mẹ,2023,10939110.0,2025-04-12
HVH,Lợi nhuận sau thuế của công ty mẹ,2024,30206428.0,2025-04-12
HVH,Tổng tài sản lưu động ngắn hạn,2021,447918256.0,2025-04-12
HVH,Tổng tài sản lưu động ngắn hạn,2022,385354359.0,2025-04-12
HVH,Tổng tài sản lưu động ngắn hạn,2023,365632445.0,2025-04-12
HVH,Tổng tài sản lưu động ngắn hạn,2024,342962433.0,2025-04-12
HVH,Tổng tài sản,2021,717761711.0,2025-04-12
HVH,Tổng tài sản,2022,680255115.0,2025-04-12
HVH,Tổng tài sản,2023,661158608.0,2025-04-12
HVH,Tổng tài sản,2024,693955654.0,2025-04-12
HVH,Nợ ngắn hạn,2021,257484290.0,2025-04-12
HVH,Nợ ngắn hạn,2022,203462092.0,2025-04-12
HVH,Nợ ngắn hạn,2023,173163067.0,2025-04-12
HVH,Nợ ngắn hạn,2024,142593622.0,2025-04-12
HVH,Tổng nợ,2021,257484290.0,2025-04-12
HVH,Tổng nợ,2022,203462092.0,2025-04-12
HVH,Tổng nợ,2023,173163067.0,2025-04-12
HVH,Tổng nợ,2024,142593622.0,2025-04-12
HVH,Vốn chủ sở hữu,2021,460277420.0,2025-04-12
HVH,Vốn chủ sở hữu,2022,476793023.0,2025-04-12
HVH,Vốn chủ sở hữu,2023,487995541.0,2025-04-12
HVH,Vốn chủ sở hữu,2024,551362033.0,2025-04-12
