symbol,metric,year,value,crawled_date
HVT,Doanh thu bán hàng và CCDV,2021,880045877.0,2025-04-12
HVT,Doanh thu bán hàng và CCDV,2022,1470522794.0,2025-04-12
HVT,Doanh thu bán hàng và CCDV,2023,1357690315.0,2025-04-12
HVT,Doanh thu bán hàng và CCDV,2024,1611696910.0,2025-04-12
HVT,Giá vốn hàng bán,2021,637398856.0,2025-04-12
HVT,Giá vốn hàng bán,2022,1010790542.0,2025-04-12
HVT,Giá vốn hàng bán,2023,1027412805.0,2025-04-12
HVT,Giá vốn hàng bán,2024,1159033087.0,2025-04-12
HVT,Lợi nhuận gộp về BH và CCDV,2021,181375147.0,2025-04-12
HVT,Lợi nhuận gộp về BH và CCDV,2022,365403930.0,2025-04-12
HVT,Lợi nhuận gộp về BH và CCDV,2023,231331443.0,2025-04-12
HVT,Lợi nhuận gộp về BH và CCDV,2024,291898948.0,2025-04-12
HVT,Lợi nhuận tài chính,2021,-9547564.0,2025-04-12
HVT,Lợi nhuận tài chính,2022,-10299916.0,2025-04-12
HVT,Lợi nhuận tài chính,2023,-7681242.0,2025-04-12
HVT,Lợi nhuận tài chính,2024,-19065394.0,2025-04-12
HVT,Lợi nhuận khác,2021,7235659.0,2025-04-12
HVT,Lợi nhuận khác,2022,3407005.0,2025-04-12
HVT,Lợi nhuận khác,2023,1778873.0,2025-04-12
HVT,Lợi nhuận khác,2024,-466352.0,2025-04-12
HVT,Tổng lợi nhuận trước thuế,2021,85514581.0,2025-04-12
HVT,Tổng lợi nhuận trước thuế,2022,221354977.0,2025-04-12
HVT,Tổng lợi nhuận trước thuế,2023,85801952.0,2025-04-12
HVT,Tổng lợi nhuận trước thuế,2024,106018966.0,2025-04-12
HVT,Lợi nhuận sau thuế,2021,68386989.0,2025-04-12
HVT,Lợi nhuận sau thuế,2022,177008674.0,2025-04-12
HVT,Lợi nhuận sau thuế,2023,67657102.0,2025-04-12
HVT,Lợi nhuận sau thuế,2024,84743665.0,2025-04-12
HVT,Lợi nhuận sau thuế của công ty mẹ,2021,68386989.0,2025-04-12
HVT,Lợi nhuận sau thuế của công ty mẹ,2022,177008674.0,2025-04-12
HVT,Lợi nhuận sau thuế của công ty mẹ,2023,67657102.0,2025-04-12
HVT,Lợi nhuận sau thuế của công ty mẹ,2024,84743665.0,2025-04-12
HVT,Tổng tài sản lưu động ngắn hạn,2021,302535476.0,2025-04-12
HVT,Tổng tài sản lưu động ngắn hạn,2022,459477881.0,2025-04-12
HVT,Tổng tài sản lưu động ngắn hạn,2023,400133799.0,2025-04-12
HVT,Tổng tài sản lưu động ngắn hạn,2024,389404648.0,2025-04-12
HVT,Tổng tài sản,2021,516049129.0,2025-04-12
HVT,Tổng tài sản,2022,688403793.0,2025-04-12
HVT,Tổng tài sản,2023,754638727.0,2025-04-12
HVT,Tổng tài sản,2024,844727538.0,2025-04-12
HVT,Nợ ngắn hạn,2021,208159165.0,2025-04-12
HVT,Nợ ngắn hạn,2022,250412712.0,2025-04-12
HVT,Nợ ngắn hạn,2023,312672154.0,2025-04-12
HVT,Nợ ngắn hạn,2024,353512830.0,2025-04-12
HVT,Tổng nợ,2021,232339379.0,2025-04-12
HVT,Tổng nợ,2022,251222156.0,2025-04-12
HVT,Tổng nợ,2023,355713078.0,2025-04-12
HVT,Tổng nợ,2024,388617910.0,2025-04-12
HVT,Vốn chủ sở hữu,2021,283709750.0,2025-04-12
HVT,Vốn chủ sở hữu,2022,437181637.0,2025-04-12
HVT,Vốn chủ sở hữu,2023,398925649.0,2025-04-12
HVT,Vốn chủ sở hữu,2024,456109628.0,2025-04-12
