symbol,metric,year,value,crawled_date
HVX,Doanh thu bán hàng và CCDV,2022,756312648.0,2025-04-12
HVX,Doanh thu bán hàng và CCDV,2023,521853086.0,2025-04-12
HVX,Doanh thu bán hàng và CCDV,2023,521853086.0,2025-04-12
HVX,Doanh thu bán hàng và CCDV,2024,353924031.0,2025-04-12
HVX,Giá vốn hàng bán,2022,711037433.0,2025-04-12
HVX,Giá vốn hàng bán,2023,537515617.0,2025-04-12
HVX,Giá vốn hàng bán,2023,537515617.0,2025-04-12
HVX,Giá vốn hàng bán,2024,315291950.0,2025-04-12
HVX,Lợi nhuận gộp về BH và CCDV,2022,39748800.0,2025-04-12
HVX,Lợi nhuận gộp về BH và CCDV,2023,-25551853.0,2025-04-12
HVX,Lợi nhuận gộp về BH và CCDV,2023,-25551853.0,2025-04-12
HVX,Lợi nhuận gộp về BH và CCDV,2024,32517244.0,2025-04-12
HVX,Lợi nhuận tài chính,2022,-7921919.0,2025-04-12
HVX,Lợi nhuận tài chính,2023,-6065606.0,2025-04-12
HVX,Lợi nhuận tài chính,2023,-6065606.0,2025-04-12
HVX,Lợi nhuận tài chính,2024,-4102905.0,2025-04-12
HVX,Lợi nhuận khác,2022,-629921.0,2025-04-12
HVX,Lợi nhuận khác,2023,-1329111.0,2025-04-12
HVX,Lợi nhuận khác,2023,-1329111.0,2025-04-12
HVX,Lợi nhuận khác,2024,-42882338.0,2025-04-12
HVX,Tổng lợi nhuận trước thuế,2022,2603951.0,2025-04-12
HVX,Tổng lợi nhuận trước thuế,2023,-63978230.0,2025-04-12
HVX,Tổng lợi nhuận trước thuế,2023,-63978230.0,2025-04-12
HVX,Tổng lợi nhuận trước thuế,2024,-43816287.0,2025-04-12
HVX,Lợi nhuận sau thuế,2022,1852416.0,2025-04-12
HVX,Lợi nhuận sau thuế,2023,-64121425.0,2025-04-12
HVX,Lợi nhuận sau thuế,2023,-64121425.0,2025-04-12
HVX,Lợi nhuận sau thuế,2024,-43833789.0,2025-04-12
HVX,Lợi nhuận sau thuế của công ty mẹ,2022,1852416.0,2025-04-12
HVX,Lợi nhuận sau thuế của công ty mẹ,2023,-64121425.0,2025-04-12
HVX,Lợi nhuận sau thuế của công ty mẹ,2023,-64121425.0,2025-04-12
HVX,Lợi nhuận sau thuế của công ty mẹ,2024,-43833789.0,2025-04-12
HVX,Tổng tài sản lưu động ngắn hạn,2022,194110651.0,2025-04-12
HVX,Tổng tài sản lưu động ngắn hạn,2023,155040251.0,2025-04-12
HVX,Tổng tài sản lưu động ngắn hạn,2023,155040251.0,2025-04-12
HVX,Tổng tài sản lưu động ngắn hạn,2024,119635063.0,2025-04-12
HVX,Tổng tài sản,2022,771668344.0,2025-04-12
HVX,Tổng tài sản,2023,686002311.0,2025-04-12
HVX,Tổng tài sản,2023,686002311.0,2025-04-12
HVX,Tổng tài sản,2024,602268826.0,2025-04-12
HVX,Nợ ngắn hạn,2022,327653680.0,2025-04-12
HVX,Nợ ngắn hạn,2023,315858807.0,2025-04-12
HVX,Nợ ngắn hạn,2023,315858807.0,2025-04-12
HVX,Nợ ngắn hạn,2024,267598746.0,2025-04-12
HVX,Tổng nợ,2022,328166148.0,2025-04-12
HVX,Tổng nợ,2023,316426589.0,2025-04-12
HVX,Tổng nợ,2023,316426589.0,2025-04-12
HVX,Tổng nợ,2024,268221843.0,2025-04-12
HVX,Vốn chủ sở hữu,2022,443502197.0,2025-04-12
HVX,Vốn chủ sở hữu,2023,369575722.0,2025-04-12
HVX,Vốn chủ sở hữu,2023,369575722.0,2025-04-12
HVX,Vốn chủ sở hữu,2024,334046983.0,2025-04-12
