symbol,metric,year,value,crawled_date
IBD,Doanh thu bán hàng và CCDV,2021,84624990.0,2025-04-12
IBD,Doanh thu bán hàng và CCDV,2022,95558272.0,2025-04-12
IBD,Doanh thu bán hàng và CCDV,2023,84348048.0,2025-04-12
IBD,Doanh thu bán hàng và CCDV,2024,81909647.0,2025-04-12
IBD,Giá vốn hàng bán,2021,62160837.0,2025-04-12
IBD,Giá vốn hàng bán,2022,80055648.0,2025-04-12
IBD,Giá vốn hàng bán,2023,66729130.0,2025-04-12
IBD,Giá vốn hàng bán,2024,58347776.0,2025-04-12
IBD,Lợi nhuận gộp về BH và CCDV,2021,20909684.0,2025-04-12
IBD,Lợi nhuận gộp về BH và CCDV,2022,13790974.0,2025-04-12
IBD,Lợi nhuận gộp về BH và CCDV,2023,17508775.0,2025-04-12
IBD,Lợi nhuận gộp về BH và CCDV,2024,23349217.0,2025-04-12
IBD,Lợi nhuận tài chính,2021,3300484.0,2025-04-12
IBD,Lợi nhuận tài chính,2022,3663559.0,2025-04-12
IBD,Lợi nhuận tài chính,2023,4537266.0,2025-04-12
IBD,Lợi nhuận tài chính,2024,3549458.0,2025-04-12
IBD,Lợi nhuận khác,2021,162365.0,2025-04-12
IBD,Lợi nhuận khác,2022,-85751.0,2025-04-12
IBD,Lợi nhuận khác,2023,422322.0,2025-04-12
IBD,Lợi nhuận khác,2024,1521149.0,2025-04-12
IBD,Tổng lợi nhuận trước thuế,2021,11826935.0,2025-04-12
IBD,Tổng lợi nhuận trước thuế,2022,4798824.0,2025-04-12
IBD,Tổng lợi nhuận trước thuế,2023,12784473.0,2025-04-12
IBD,Tổng lợi nhuận trước thuế,2024,21008907.0,2025-04-12
IBD,Lợi nhuận sau thuế,2021,10179673.0,2025-04-12
IBD,Lợi nhuận sau thuế,2022,3811546.0,2025-04-12
IBD,Lợi nhuận sau thuế,2023,10185731.0,2025-04-12
IBD,Lợi nhuận sau thuế,2024,16770814.0,2025-04-12
IBD,Lợi nhuận sau thuế của công ty mẹ,2021,10179673.0,2025-04-12
IBD,Lợi nhuận sau thuế của công ty mẹ,2022,3811546.0,2025-04-12
IBD,Lợi nhuận sau thuế của công ty mẹ,2023,10185731.0,2025-04-12
IBD,Lợi nhuận sau thuế của công ty mẹ,2024,16770814.0,2025-04-12
IBD,Tổng tài sản lưu động ngắn hạn,2021,100747268.0,2025-04-12
IBD,Tổng tài sản lưu động ngắn hạn,2022,97268749.0,2025-04-12
IBD,Tổng tài sản lưu động ngắn hạn,2023,104099268.0,2025-04-12
IBD,Tổng tài sản lưu động ngắn hạn,2024,113358299.0,2025-04-12
IBD,Tổng tài sản,2021,106133802.0,2025-04-12
IBD,Tổng tài sản,2022,102630117.0,2025-04-12
IBD,Tổng tài sản,2023,109214781.0,2025-04-12
IBD,Tổng tài sản,2024,120022735.0,2025-04-12
IBD,Nợ ngắn hạn,2021,5495736.0,2025-04-12
IBD,Nợ ngắn hạn,2022,6997789.0,2025-04-12
IBD,Nợ ngắn hạn,2023,8036162.0,2025-04-12
IBD,Nợ ngắn hạn,2024,8421201.0,2025-04-12
IBD,Tổng nợ,2021,5495736.0,2025-04-12
IBD,Tổng nợ,2022,6997789.0,2025-04-12
IBD,Tổng nợ,2023,8036162.0,2025-04-12
IBD,Tổng nợ,2024,8421201.0,2025-04-12
IBD,Vốn chủ sở hữu,2021,100638066.0,2025-04-12
IBD,Vốn chủ sở hữu,2022,95632329.0,2025-04-12
IBD,Vốn chủ sở hữu,2023,101178619.0,2025-04-12
IBD,Vốn chủ sở hữu,2024,111601533.0,2025-04-12
