symbol,metric,year,value,crawled_date
ICI,Doanh thu bán hàng và CCDV,2021,10140738.0,2025-04-12
ICI,Doanh thu bán hàng và CCDV,2022,27006373.0,2025-04-12
ICI,Doanh thu bán hàng và CCDV,2023,78413823.0,2025-04-12
ICI,Doanh thu bán hàng và CCDV,2024,113410102.0,2025-04-12
ICI,Giá vốn hàng bán,2021,8001339.0,2025-04-12
ICI,Giá vốn hàng bán,2022,24148025.0,2025-04-12
ICI,Giá vốn hàng bán,2023,74789266.0,2025-04-12
ICI,Giá vốn hàng bán,2024,108589947.0,2025-04-12
ICI,Lợi nhuận gộp về BH và CCDV,2021,2139399.0,2025-04-12
ICI,Lợi nhuận gộp về BH và CCDV,2022,2858348.0,2025-04-12
ICI,Lợi nhuận gộp về BH và CCDV,2023,3624556.0,2025-04-12
ICI,Lợi nhuận gộp về BH và CCDV,2024,4820155.0,2025-04-12
ICI,Lợi nhuận tài chính,2021,486888.0,2025-04-12
ICI,Lợi nhuận tài chính,2022,671835.0,2025-04-12
ICI,Lợi nhuận tài chính,2023,465039.0,2025-04-12
ICI,Lợi nhuận tài chính,2024,301665.0,2025-04-12
ICI,Lợi nhuận khác,2021,700399.0,2025-04-12
ICI,Lợi nhuận khác,2022,115812.0,2025-04-12
ICI,Lợi nhuận khác,2023,-2576.0,2025-04-12
ICI,Lợi nhuận khác,2024,235476.0,2025-04-12
ICI,Tổng lợi nhuận trước thuế,2021,65836.0,2025-04-12
ICI,Tổng lợi nhuận trước thuế,2022,119125.0,2025-04-12
ICI,Tổng lợi nhuận trước thuế,2023,442513.0,2025-04-12
ICI,Tổng lợi nhuận trước thuế,2024,787896.0,2025-04-12
ICI,Lợi nhuận sau thuế,2021,34779.0,2025-04-12
ICI,Lợi nhuận sau thuế,2022,75023.0,2025-04-12
ICI,Lợi nhuận sau thuế,2023,330410.0,2025-04-12
ICI,Lợi nhuận sau thuế,2024,538890.0,2025-04-12
ICI,Lợi nhuận sau thuế của công ty mẹ,2021,34779.0,2025-04-12
ICI,Lợi nhuận sau thuế của công ty mẹ,2022,75023.0,2025-04-12
ICI,Lợi nhuận sau thuế của công ty mẹ,2023,330410.0,2025-04-12
ICI,Lợi nhuận sau thuế của công ty mẹ,2024,538890.0,2025-04-12
ICI,Tổng tài sản lưu động ngắn hạn,2021,122349633.0,2025-04-12
ICI,Tổng tài sản lưu động ngắn hạn,2022,153509758.0,2025-04-12
ICI,Tổng tài sản lưu động ngắn hạn,2023,189186907.0,2025-04-12
ICI,Tổng tài sản lưu động ngắn hạn,2024,166333613.0,2025-04-12
ICI,Tổng tài sản,2021,140993603.0,2025-04-12
ICI,Tổng tài sản,2022,173337014.0,2025-04-12
ICI,Tổng tài sản,2023,208705508.0,2025-04-12
ICI,Tổng tài sản,2024,183690379.0,2025-04-12
ICI,Nợ ngắn hạn,2021,91110625.0,2025-04-12
ICI,Nợ ngắn hạn,2022,123382780.0,2025-04-12
ICI,Nợ ngắn hạn,2023,158424741.0,2025-04-12
ICI,Nợ ngắn hạn,2024,133672951.0,2025-04-12
ICI,Tổng nợ,2021,91110625.0,2025-04-12
ICI,Tổng nợ,2022,123382780.0,2025-04-12
ICI,Tổng nợ,2023,158424741.0,2025-04-12
ICI,Tổng nợ,2024,133672951.0,2025-04-12
ICI,Vốn chủ sở hữu,2021,49882978.0,2025-04-12
ICI,Vốn chủ sở hữu,2022,49954234.0,2025-04-12
ICI,Vốn chủ sở hữu,2023,50280768.0,2025-04-12
ICI,Vốn chủ sở hữu,2024,50017427.0,2025-04-12
