symbol,metric,year,value,crawled_date
IDJ,Doanh thu bán hàng và CCDV,2021,893402744.0,2025-04-12
IDJ,Doanh thu bán hàng và CCDV,2022,816873484.0,2025-04-12
IDJ,Doanh thu bán hàng và CCDV,2023,862043544.0,2025-04-12
IDJ,Doanh thu bán hàng và CCDV,2024,717532138.0,2025-04-12
IDJ,Giá vốn hàng bán,2021,593597103.0,2025-04-12
IDJ,Giá vốn hàng bán,2022,558613139.0,2025-04-12
IDJ,Giá vốn hàng bán,2023,578888003.0,2025-04-12
IDJ,Giá vốn hàng bán,2024,466325773.0,2025-04-12
IDJ,Lợi nhuận gộp về BH và CCDV,2021,299805640.0,2025-04-12
IDJ,Lợi nhuận gộp về BH và CCDV,2022,258260345.0,2025-04-12
IDJ,Lợi nhuận gộp về BH và CCDV,2023,283155541.0,2025-04-12
IDJ,Lợi nhuận gộp về BH và CCDV,2024,251206365.0,2025-04-12
IDJ,Lợi nhuận tài chính,2021,7794632.0,2025-04-12
IDJ,Lợi nhuận tài chính,2022,38351316.0,2025-04-12
IDJ,Lợi nhuận tài chính,2023,7580346.0,2025-04-12
IDJ,Lợi nhuận tài chính,2024,-27564315.0,2025-04-12
IDJ,Lợi nhuận khác,2021,27304770.0,2025-04-12
IDJ,Lợi nhuận khác,2022,23292622.0,2025-04-12
IDJ,Lợi nhuận khác,2023,35528501.0,2025-04-12
IDJ,Lợi nhuận khác,2024,32739753.0,2025-04-12
IDJ,Tổng lợi nhuận trước thuế,2021,253909551.0,2025-04-12
IDJ,Tổng lợi nhuận trước thuế,2022,180889258.0,2025-04-12
IDJ,Tổng lợi nhuận trước thuế,2023,141470525.0,2025-04-12
IDJ,Tổng lợi nhuận trước thuế,2024,120878698.0,2025-04-12
IDJ,Lợi nhuận sau thuế,2021,202885726.0,2025-04-12
IDJ,Lợi nhuận sau thuế,2022,147512945.0,2025-04-12
IDJ,Lợi nhuận sau thuế,2023,109408912.0,2025-04-12
IDJ,Lợi nhuận sau thuế,2024,95594301.0,2025-04-12
IDJ,Lợi nhuận sau thuế của công ty mẹ,2021,202807006.0,2025-04-12
IDJ,Lợi nhuận sau thuế của công ty mẹ,2022,147495131.0,2025-04-12
IDJ,Lợi nhuận sau thuế của công ty mẹ,2023,109395364.0,2025-04-12
IDJ,Lợi nhuận sau thuế của công ty mẹ,2024,95604723.0,2025-04-12
IDJ,Tổng tài sản lưu động ngắn hạn,2021,2248030494.0,2025-04-12
IDJ,Tổng tài sản lưu động ngắn hạn,2022,3303068861.0,2025-04-12
IDJ,Tổng tài sản lưu động ngắn hạn,2023,3235200595.0,2025-04-12
IDJ,Tổng tài sản lưu động ngắn hạn,2024,2860753184.0,2025-04-12
IDJ,Tổng tài sản,2021,3455629115.0,2025-04-12
IDJ,Tổng tài sản,2022,4729213685.0,2025-04-12
IDJ,Tổng tài sản,2023,4684043953.0,2025-04-12
IDJ,Tổng tài sản,2024,4210442126.0,2025-04-12
IDJ,Nợ ngắn hạn,2021,2133713755.0,2025-04-12
IDJ,Nợ ngắn hạn,2022,2600019865.0,2025-04-12
IDJ,Nợ ngắn hạn,2023,2544451410.0,2025-04-12
IDJ,Nợ ngắn hạn,2024,2024733140.0,2025-04-12
IDJ,Tổng nợ,2021,2467475549.0,2025-04-12
IDJ,Tổng nợ,2022,2784904514.0,2025-04-12
IDJ,Tổng nợ,2023,2630325871.0,2025-04-12
IDJ,Tổng nợ,2024,2113176799.0,2025-04-12
IDJ,Vốn chủ sở hữu,2021,988153565.0,2025-04-12
IDJ,Vốn chủ sở hữu,2022,1944309171.0,2025-04-12
IDJ,Vốn chủ sở hữu,2023,2053718083.0,2025-04-12
IDJ,Vốn chủ sở hữu,2024,2097265326.0,2025-04-12
