symbol,metric,year,value,crawled_date
ILB,Doanh thu bán hàng và CCDV,2021,529893732.0,2025-04-12
ILB,Doanh thu bán hàng và CCDV,2022,582987386.0,2025-04-12
ILB,Doanh thu bán hàng và CCDV,2023,531536474.0,2025-04-12
ILB,Doanh thu bán hàng và CCDV,2024,7196050482.0,2025-04-12
ILB,Giá vốn hàng bán,2021,362441174.0,2025-04-12
ILB,Giá vốn hàng bán,2022,380785826.0,2025-04-12
ILB,Giá vốn hàng bán,2023,321116543.0,2025-04-12
ILB,Giá vốn hàng bán,2024,4138682328.0,2025-04-12
ILB,Lợi nhuận gộp về BH và CCDV,2021,167452558.0,2025-04-12
ILB,Lợi nhuận gộp về BH và CCDV,2022,202201559.0,2025-04-12
ILB,Lợi nhuận gộp về BH và CCDV,2023,210419931.0,2025-04-12
ILB,Lợi nhuận gộp về BH và CCDV,2024,3057368154.0,2025-04-12
ILB,Lợi nhuận tài chính,2021,-23984470.0,2025-04-12
ILB,Lợi nhuận tài chính,2022,-19198530.0,2025-04-12
ILB,Lợi nhuận tài chính,2023,-18468821.0,2025-04-12
ILB,Lợi nhuận tài chính,2024,5375422.0,2025-04-12
ILB,Lợi nhuận khác,2021,-1114942.0,2025-04-12
ILB,Lợi nhuận khác,2022,-372727.0,2025-04-12
ILB,Lợi nhuận khác,2023,-491597.0,2025-04-12
ILB,Lợi nhuận khác,2024,55945050.0,2025-04-12
ILB,Tổng lợi nhuận trước thuế,2021,95648079.0,2025-04-12
ILB,Tổng lợi nhuận trước thuế,2022,123073696.0,2025-04-12
ILB,Tổng lợi nhuận trước thuế,2023,129797862.0,2025-04-12
ILB,Tổng lợi nhuận trước thuế,2024,1824791702.0,2025-04-12
ILB,Lợi nhuận sau thuế,2021,76916917.0,2025-04-12
ILB,Lợi nhuận sau thuế,2022,96673096.0,2025-04-12
ILB,Lợi nhuận sau thuế,2023,103880096.0,2025-04-12
ILB,Lợi nhuận sau thuế,2024,1387388525.0,2025-04-12
ILB,Lợi nhuận sau thuế của công ty mẹ,2021,71721384.0,2025-04-12
ILB,Lợi nhuận sau thuế của công ty mẹ,2022,90374305.0,2025-04-12
ILB,Lợi nhuận sau thuế của công ty mẹ,2023,98530619.0,2025-04-12
ILB,Lợi nhuận sau thuế của công ty mẹ,2024,517894709.0,2025-04-12
ILB,Tổng tài sản lưu động ngắn hạn,2021,317065094.0,2025-04-12
ILB,Tổng tài sản lưu động ngắn hạn,2022,277157490.0,2025-04-12
ILB,Tổng tài sản lưu động ngắn hạn,2023,333214235.0,2025-04-12
ILB,Tổng tài sản lưu động ngắn hạn,2024,27549227406.0,2025-04-12
ILB,Tổng tài sản,2021,1418278728.0,2025-04-12
ILB,Tổng tài sản,2022,1560772469.0,2025-04-12
ILB,Tổng tài sản,2023,1586187068.0,2025-04-12
ILB,Tổng tài sản,2024,30318114011.0,2025-04-12
ILB,Nợ ngắn hạn,2021,292989695.0,2025-04-12
ILB,Nợ ngắn hạn,2022,372855257.0,2025-04-12
ILB,Nợ ngắn hạn,2023,429677925.0,2025-04-12
ILB,Nợ ngắn hạn,2024,10226506290.0,2025-04-12
ILB,Tổng nợ,2021,946066620.0,2025-04-12
ILB,Tổng nợ,2022,1045948659.0,2025-04-12
ILB,Tổng nợ,2023,1033107923.0,2025-04-12
ILB,Tổng nợ,2024,15749187726.0,2025-04-12
ILB,Vốn chủ sở hữu,2021,472212108.0,2025-04-12
ILB,Vốn chủ sở hữu,2022,514823810.0,2025-04-12
ILB,Vốn chủ sở hữu,2023,553079145.0,2025-04-12
ILB,Vốn chủ sở hữu,2024,14568926285.0,2025-04-12
