symbol,metric,year,value,crawled_date
ING,Doanh thu bán hàng và CCDV,2010,1044522941.0,2025-04-12
ING,Doanh thu bán hàng và CCDV,2011,1003684120.0,2025-04-12
ING,Doanh thu bán hàng và CCDV,2012,888557951.0,2025-04-12
ING,Giá vốn hàng bán,2010,930385060.0,2025-04-12
ING,Giá vốn hàng bán,2011,935417576.0,2025-04-12
ING,Giá vốn hàng bán,2012,943132190.0,2025-04-12
ING,Lợi nhuận gộp về BH và CCDV,2010,112943444.0,2025-04-12
ING,Lợi nhuận gộp về BH và CCDV,2011,68266544.0,2025-04-12
ING,Lợi nhuận gộp về BH và CCDV,2012,-54582342.0,2025-04-12
ING,Lợi nhuận tài chính,2010,-6876643.0,2025-04-12
ING,Lợi nhuận tài chính,2011,-29229693.0,2025-04-12
ING,Lợi nhuận tài chính,2012,-32566580.0,2025-04-12
ING,Lợi nhuận tài chính,2024,-30925483.0,2025-04-12
ING,Lợi nhuận khác,2010,1555192.0,2025-04-12
ING,Lợi nhuận khác,2011,828261.0,2025-04-12
ING,Lợi nhuận khác,2012,9686991.0,2025-04-12
ING,Lợi nhuận khác,2024,-528184.0,2025-04-12
ING,Tổng lợi nhuận trước thuế,2010,73866585.0,2025-04-12
ING,Tổng lợi nhuận trước thuế,2011,9654121.0,2025-04-12
ING,Tổng lợi nhuận trước thuế,2012,-99896563.0,2025-04-12
ING,Tổng lợi nhuận trước thuế,2024,-35911290.0,2025-04-12
ING,Lợi nhuận sau thuế,2010,55571094.0,2025-04-12
ING,Lợi nhuận sau thuế,2011,2134882.0,2025-04-12
ING,Lợi nhuận sau thuế,2012,-100910962.0,2025-04-12
ING,Lợi nhuận sau thuế,2024,-35911290.0,2025-04-12
ING,Lợi nhuận sau thuế của công ty mẹ,2010,51290887.0,2025-04-12
ING,Lợi nhuận sau thuế của công ty mẹ,2011,388096.0,2025-04-12
ING,Lợi nhuận sau thuế của công ty mẹ,2012,-101333361.0,2025-04-12
ING,Lợi nhuận sau thuế của công ty mẹ,2024,-35911290.0,2025-04-12
ING,Tổng tài sản lưu động ngắn hạn,2010,1150944615.0,2025-04-12
ING,Tổng tài sản lưu động ngắn hạn,2011,1258295819.0,2025-04-12
ING,Tổng tài sản lưu động ngắn hạn,2012,1294830686.0,2025-04-12
ING,Tổng tài sản lưu động ngắn hạn,2024,36400777.0,2025-04-12
ING,Tổng tài sản,2010,1307728237.0,2025-04-12
ING,Tổng tài sản,2011,1392699556.0,2025-04-12
ING,Tổng tài sản,2012,1361790538.0,2025-04-12
ING,Tổng tài sản,2024,2737900792.0,2025-04-12
ING,Nợ ngắn hạn,2010,756274167.0,2025-04-12
ING,Nợ ngắn hạn,2011,832661993.0,2025-04-12
ING,Nợ ngắn hạn,2012,1031713310.0,2025-04-12
ING,Nợ ngắn hạn,2024,92281629.0,2025-04-12
ING,Tổng nợ,2010,1014769948.0,2025-04-12
ING,Tổng nợ,2011,1101344326.0,2025-04-12
ING,Tổng nợ,2012,1191070875.0,2025-04-12
ING,Tổng nợ,2024,2795447663.0,2025-04-12
ING,Vốn chủ sở hữu,2010,261850722.0,2025-04-12
ING,Vốn chủ sở hữu,2011,263309090.0,2025-04-12
ING,Vốn chủ sở hữu,2012,162476103.0,2025-04-12
ING,Vốn chủ sở hữu,2024,-57546872.0,2025-04-12
