symbol,metric,year,value,crawled_date
ITS,Doanh thu bán hàng và CCDV,2021,1460350808.0,2025-04-12
ITS,Doanh thu bán hàng và CCDV,2022,1698149155.0,2025-04-12
ITS,Doanh thu bán hàng và CCDV,2023,1587069576.0,2025-04-12
ITS,Doanh thu bán hàng và CCDV,2024,1954930511.0,2025-04-12
ITS,Giá vốn hàng bán,2021,1420255848.0,2025-04-12
ITS,Giá vốn hàng bán,2022,1636410936.0,2025-04-12
ITS,Giá vốn hàng bán,2023,1510330644.0,2025-04-12
ITS,Giá vốn hàng bán,2024,1886939657.0,2025-04-12
ITS,Lợi nhuận gộp về BH và CCDV,2021,40094961.0,2025-04-12
ITS,Lợi nhuận gộp về BH và CCDV,2022,61738218.0,2025-04-12
ITS,Lợi nhuận gộp về BH và CCDV,2023,76738932.0,2025-04-12
ITS,Lợi nhuận gộp về BH và CCDV,2024,67990854.0,2025-04-12
ITS,Lợi nhuận tài chính,2021,4700602.0,2025-04-12
ITS,Lợi nhuận tài chính,2022,-22829422.0,2025-04-12
ITS,Lợi nhuận tài chính,2023,-44316621.0,2025-04-12
ITS,Lợi nhuận tài chính,2024,-28869696.0,2025-04-12
ITS,Lợi nhuận khác,2021,1140537.0,2025-04-12
ITS,Lợi nhuận khác,2022,-4826358.0,2025-04-12
ITS,Lợi nhuận khác,2023,3817760.0,2025-04-12
ITS,Lợi nhuận khác,2024,-4682569.0,2025-04-12
ITS,Tổng lợi nhuận trước thuế,2021,19589591.0,2025-04-12
ITS,Tổng lợi nhuận trước thuế,2022,13244672.0,2025-04-12
ITS,Tổng lợi nhuận trước thuế,2023,14680295.0,2025-04-12
ITS,Tổng lợi nhuận trước thuế,2024,10342261.0,2025-04-12
ITS,Lợi nhuận sau thuế,2021,11644749.0,2025-04-12
ITS,Lợi nhuận sau thuế,2022,7094619.0,2025-04-12
ITS,Lợi nhuận sau thuế,2023,4415276.0,2025-04-12
ITS,Lợi nhuận sau thuế,2024,3603488.0,2025-04-12
ITS,Lợi nhuận sau thuế của công ty mẹ,2021,11654913.0,2025-04-12
ITS,Lợi nhuận sau thuế của công ty mẹ,2022,7003852.0,2025-04-12
ITS,Lợi nhuận sau thuế của công ty mẹ,2023,4232330.0,2025-04-12
ITS,Lợi nhuận sau thuế của công ty mẹ,2024,3688190.0,2025-04-12
ITS,Tổng tài sản lưu động ngắn hạn,2021,853462328.0,2025-04-12
ITS,Tổng tài sản lưu động ngắn hạn,2022,1402281061.0,2025-04-12
ITS,Tổng tài sản lưu động ngắn hạn,2023,1703806824.0,2025-04-12
ITS,Tổng tài sản lưu động ngắn hạn,2024,1981569107.0,2025-04-12
ITS,Tổng tài sản,2021,1190852203.0,2025-04-12
ITS,Tổng tài sản,2022,1629606922.0,2025-04-12
ITS,Tổng tài sản,2023,1926804576.0,2025-04-12
ITS,Tổng tài sản,2024,2297952571.0,2025-04-12
ITS,Nợ ngắn hạn,2021,912859600.0,2025-04-12
ITS,Nợ ngắn hạn,2022,1344607355.0,2025-04-12
ITS,Nợ ngắn hạn,2023,1640636637.0,2025-04-12
ITS,Nợ ngắn hạn,2024,2011278858.0,2025-04-12
ITS,Tổng nợ,2021,913856993.0,2025-04-12
ITS,Tổng nợ,2022,1345292968.0,2025-04-12
ITS,Tổng nợ,2023,1641015027.0,2025-04-12
ITS,Tổng nợ,2024,2011390008.0,2025-04-12
ITS,Vốn chủ sở hữu,2021,276995211.0,2025-04-12
ITS,Vốn chủ sở hữu,2022,284313954.0,2025-04-12
ITS,Vốn chủ sở hữu,2023,285789549.0,2025-04-12
ITS,Vốn chủ sở hữu,2024,286562562.0,2025-04-12
