symbol,metric,year,value,crawled_date
KAL,Doanh thu thuần về BH và cung cấp DV,2012,115106221.0,2025-04-12
KAL,Doanh thu thuần về BH và cung cấp DV,2013,167152799.0,2025-04-12
KAL,Doanh thu thuần về BH và cung cấp DV,2014,201509060.0,2025-04-12
KAL,Doanh thu thuần về BH và cung cấp DV,2015,211193300.0,2025-04-12
KAL,Giá vốn hàng bán,2012,108248374.0,2025-04-12
KAL,Giá vốn hàng bán,2013,159805949.0,2025-04-12
KAL,Giá vốn hàng bán,2014,193324963.0,2025-04-12
KAL,Giá vốn hàng bán,2015,194086347.0,2025-04-12
KAL,Lợi nhuận gộp về BH và cung cấp DV,2012,6832634.0,2025-04-12
KAL,Lợi nhuận gộp về BH và cung cấp DV,2013,7334296.0,2025-04-12
KAL,Lợi nhuận gộp về BH và cung cấp DV,2014,8184097.0,2025-04-12
KAL,Lợi nhuận gộp về BH và cung cấp DV,2015,17106953.0,2025-04-12
KAL,Lợi nhuận tài chính,2012,-2014300.0,2025-04-12
KAL,Lợi nhuận tài chính,2013,-1865789.0,2025-04-12
KAL,Lợi nhuận tài chính,2014,-1907617.0,2025-04-12
KAL,Lợi nhuận tài chính,2015,-3776281.0,2025-04-12
KAL,Lợi nhuận khác,2012,78417.0,2025-04-12
KAL,Lợi nhuận khác,2013,-10147.0,2025-04-12
KAL,Lợi nhuận khác,2014,-100358.0,2025-04-12
KAL,Lợi nhuận khác,2015,-68474.0,2025-04-12
KAL,Tổng lợi nhuận trước thuế,2012,247092.0,2025-04-12
KAL,Tổng lợi nhuận trước thuế,2013,621052.0,2025-04-12
KAL,Tổng lợi nhuận trước thuế,2014,736340.0,2025-04-12
KAL,Tổng lợi nhuận trước thuế,2015,5813598.0,2025-04-12
KAL,Lợi nhuận sau thuế,2012,247092.0,2025-04-12
KAL,Lợi nhuận sau thuế,2013,621052.0,2025-04-12
KAL,Lợi nhuận sau thuế,2014,736340.0,2025-04-12
KAL,Lợi nhuận sau thuế,2015,5561167.0,2025-04-12
KAL,Lợi nhuận sau thuế của công ty mẹ,2012,247092.0,2025-04-12
KAL,Lợi nhuận sau thuế của công ty mẹ,2013,621052.0,2025-04-12
KAL,Lợi nhuận sau thuế của công ty mẹ,2014,736340.0,2025-04-12
KAL,Lợi nhuận sau thuế của công ty mẹ,2015,5561167.0,2025-04-12
KAL,Tổng tài sản lưu động ngắn hạn,2012,53066771.0,2025-04-12
KAL,Tổng tài sản lưu động ngắn hạn,2013,61435271.0,2025-04-12
KAL,Tổng tài sản lưu động ngắn hạn,2014,85144790.0,2025-04-12
KAL,Tổng tài sản lưu động ngắn hạn,2015,90912880.0,2025-04-12
KAL,Tổng tài sản,2012,102305513.0,2025-04-12
KAL,Tổng tài sản,2013,114972732.0,2025-04-12
KAL,Tổng tài sản,2014,143526159.0,2025-04-12
KAL,Tổng tài sản,2015,141748671.0,2025-04-12
KAL,Nợ ngắn hạn,2012,83967376.0,2025-04-12
KAL,Nợ ngắn hạn,2013,96013543.0,2025-04-12
KAL,Nợ ngắn hạn,2014,123482298.0,2025-04-12
KAL,Nợ ngắn hạn,2015,113490135.0,2025-04-12
KAL,Tổng nợ,2012,98027394.0,2025-04-12
KAL,Tổng nợ,2013,110073560.0,2025-04-12
KAL,Tổng nợ,2014,137890648.0,2025-04-12
KAL,Tổng nợ,2015,135248169.0,2025-04-12
KAL,Vốn chủ sở hữu,2012,4278119.0,2025-04-12
KAL,Vốn chủ sở hữu,2013,4899171.0,2025-04-12
KAL,Vốn chủ sở hữu,2014,5635511.0,2025-04-12
KAL,Vốn chủ sở hữu,2015,6500502.0,2025-04-12
