symbol,metric,year,value,crawled_date
KSF,Doanh thu bán hàng và CCDV,2021,1241489753.0,2025-04-12
KSF,Doanh thu bán hàng và CCDV,2022,1212591655.0,2025-04-12
KSF,Doanh thu bán hàng và CCDV,2023,554618871.0,2025-04-12
KSF,Doanh thu bán hàng và CCDV,2024,2469680760.0,2025-04-12
KSF,Giá vốn hàng bán,2021,783277887.0,2025-04-12
KSF,Giá vốn hàng bán,2022,453194157.0,2025-04-12
KSF,Giá vốn hàng bán,2023,259859389.0,2025-04-12
KSF,Giá vốn hàng bán,2024,1234656902.0,2025-04-12
KSF,Lợi nhuận gộp về BH và CCDV,2021,458211866.0,2025-04-12
KSF,Lợi nhuận gộp về BH và CCDV,2022,759397498.0,2025-04-12
KSF,Lợi nhuận gộp về BH và CCDV,2023,294759482.0,2025-04-12
KSF,Lợi nhuận gộp về BH và CCDV,2024,1234811658.0,2025-04-12
KSF,Lợi nhuận tài chính,2021,336412368.0,2025-04-12
KSF,Lợi nhuận tài chính,2022,268624681.0,2025-04-12
KSF,Lợi nhuận tài chính,2023,161819965.0,2025-04-12
KSF,Lợi nhuận tài chính,2024,63560520.0,2025-04-12
KSF,Lợi nhuận khác,2021,-377424.0,2025-04-12
KSF,Lợi nhuận khác,2022,-7385445.0,2025-04-12
KSF,Lợi nhuận khác,2023,-1712650.0,2025-04-12
KSF,Lợi nhuận khác,2024,727803.0,2025-04-12
KSF,Tổng lợi nhuận trước thuế,2021,590973480.0,2025-04-12
KSF,Tổng lợi nhuận trước thuế,2022,780700540.0,2025-04-12
KSF,Tổng lợi nhuận trước thuế,2023,259161374.0,2025-04-12
KSF,Tổng lợi nhuận trước thuế,2024,974408565.0,2025-04-12
KSF,Lợi nhuận sau thuế,2021,415495657.0,2025-04-12
KSF,Lợi nhuận sau thuế,2022,619768174.0,2025-04-12
KSF,Lợi nhuận sau thuế,2023,204156563.0,2025-04-12
KSF,Lợi nhuận sau thuế,2024,773848688.0,2025-04-12
KSF,Lợi nhuận sau thuế của công ty mẹ,2021,367719512.0,2025-04-12
KSF,Lợi nhuận sau thuế của công ty mẹ,2022,367109143.0,2025-04-12
KSF,Lợi nhuận sau thuế của công ty mẹ,2023,138888466.0,2025-04-12
KSF,Lợi nhuận sau thuế của công ty mẹ,2024,679170213.0,2025-04-12
KSF,Tổng tài sản lưu động ngắn hạn,2021,6873926496.0,2025-04-12
KSF,Tổng tài sản lưu động ngắn hạn,2022,9123688836.0,2025-04-12
KSF,Tổng tài sản lưu động ngắn hạn,2023,13032869123.0,2025-04-12
KSF,Tổng tài sản lưu động ngắn hạn,2024,13425276158.0,2025-04-12
KSF,Tổng tài sản,2021,10278663279.0,2025-04-12
KSF,Tổng tài sản,2022,12601062630.0,2025-04-12
KSF,Tổng tài sản,2023,18245785023.0,2025-04-12
KSF,Tổng tài sản,2024,20558336800.0,2025-04-12
KSF,Nợ ngắn hạn,2021,3067326027.0,2025-04-12
KSF,Nợ ngắn hạn,2022,3136206066.0,2025-04-12
KSF,Nợ ngắn hạn,2023,7235381175.0,2025-04-12
KSF,Nợ ngắn hạn,2024,8570717075.0,2025-04-12
KSF,Tổng nợ,2021,4033159228.0,2025-04-12
KSF,Tổng nợ,2022,5838702316.0,2025-04-12
KSF,Tổng nợ,2023,10966670159.0,2025-04-12
KSF,Tổng nợ,2024,13679093265.0,2025-04-12
KSF,Vốn chủ sở hữu,2021,6245504051.0,2025-04-12
KSF,Vốn chủ sở hữu,2022,6762360314.0,2025-04-12
KSF,Vốn chủ sở hữu,2023,7279114865.0,2025-04-12
KSF,Vốn chủ sở hữu,2024,6879243535.0,2025-04-12
