symbol,metric,year,value,crawled_date
L14,Doanh thu bán hàng và CCDV,2021,166677481.0,2025-04-12
L14,Doanh thu bán hàng và CCDV,2022,173462586.0,2025-04-12
L14,Doanh thu bán hàng và CCDV,2023,134602078.0,2025-04-12
L14,Doanh thu bán hàng và CCDV,2024,136087301.0,2025-04-12
L14,Giá vốn hàng bán,2021,91772784.0,2025-04-12
L14,Giá vốn hàng bán,2022,75458466.0,2025-04-12
L14,Giá vốn hàng bán,2023,117069653.0,2025-04-12
L14,Giá vốn hàng bán,2024,78063438.0,2025-04-12
L14,Lợi nhuận gộp về BH và CCDV,2021,74904697.0,2025-04-12
L14,Lợi nhuận gộp về BH và CCDV,2022,98004119.0,2025-04-12
L14,Lợi nhuận gộp về BH và CCDV,2023,17532425.0,2025-04-12
L14,Lợi nhuận gộp về BH và CCDV,2024,57963136.0,2025-04-12
L14,Lợi nhuận tài chính,2021,386906481.0,2025-04-12
L14,Lợi nhuận tài chính,2022,-33518348.0,2025-04-12
L14,Lợi nhuận tài chính,2023,23500733.0,2025-04-12
L14,Lợi nhuận tài chính,2024,-13657362.0,2025-04-12
L14,Lợi nhuận khác,2021,-391009.0,2025-04-12
L14,Lợi nhuận khác,2022,794759.0,2025-04-12
L14,Lợi nhuận khác,2023,-374963.0,2025-04-12
L14,Lợi nhuận khác,2024,1774352.0,2025-04-12
L14,Tổng lợi nhuận trước thuế,2021,432657405.0,2025-04-12
L14,Tổng lợi nhuận trước thuế,2022,31650428.0,2025-04-12
L14,Tổng lợi nhuận trước thuế,2023,30486722.0,2025-04-12
L14,Tổng lợi nhuận trước thuế,2024,23094630.0,2025-04-12
L14,Lợi nhuận sau thuế,2021,371947876.0,2025-04-12
L14,Lợi nhuận sau thuế,2022,18988701.0,2025-04-12
L14,Lợi nhuận sau thuế,2023,24220354.0,2025-04-12
L14,Lợi nhuận sau thuế,2024,17166937.0,2025-04-12
L14,Lợi nhuận sau thuế của công ty mẹ,2021,214681945.0,2025-04-12
L14,Lợi nhuận sau thuế của công ty mẹ,2022,18988701.0,2025-04-12
L14,Lợi nhuận sau thuế của công ty mẹ,2023,24220354.0,2025-04-12
L14,Lợi nhuận sau thuế của công ty mẹ,2024,17166937.0,2025-04-12
L14,Tổng tài sản lưu động ngắn hạn,2021,1098091763.0,2025-04-12
L14,Tổng tài sản lưu động ngắn hạn,2022,451281862.0,2025-04-12
L14,Tổng tài sản lưu động ngắn hạn,2023,540889481.0,2025-04-12
L14,Tổng tài sản lưu động ngắn hạn,2024,501871726.0,2025-04-12
L14,Tổng tài sản,2021,1162741269.0,2025-04-12
L14,Tổng tài sản,2022,566832279.0,2025-04-12
L14,Tổng tài sản,2023,665999996.0,2025-04-12
L14,Tổng tài sản,2024,623008090.0,2025-04-12
L14,Nợ ngắn hạn,2021,401865470.0,2025-04-12
L14,Nợ ngắn hạn,2022,152011479.0,2025-04-12
L14,Nợ ngắn hạn,2023,225120962.0,2025-04-12
L14,Nợ ngắn hạn,2024,189959914.0,2025-04-12
L14,Tổng nợ,2021,409589550.0,2025-04-12
L14,Tổng nợ,2022,162653439.0,2025-04-12
L14,Tổng nợ,2023,237600802.0,2025-04-12
L14,Tổng nợ,2024,197082634.0,2025-04-12
L14,Vốn chủ sở hữu,2021,753151718.0,2025-04-12
L14,Vốn chủ sở hữu,2022,404178840.0,2025-04-12
L14,Vốn chủ sở hữu,2023,428399194.0,2025-04-12
L14,Vốn chủ sở hữu,2024,425925456.0,2025-04-12
