symbol,metric,year,value,crawled_date
LAW,Doanh thu bán hàng và CCDV,2022,247196058.0,2025-04-12
LAW,Doanh thu bán hàng và CCDV,2023,277784766.0,2025-04-12
LAW,Doanh thu bán hàng và CCDV,2023,277784766.0,2025-04-12
LAW,Doanh thu bán hàng và CCDV,2024,325379262.0,2025-04-12
LAW,Giá vốn hàng bán,2022,192621194.0,2025-04-12
LAW,Giá vốn hàng bán,2023,217597497.0,2025-04-12
LAW,Giá vốn hàng bán,2023,217597497.0,2025-04-12
LAW,Giá vốn hàng bán,2024,242654420.0,2025-04-12
LAW,Lợi nhuận gộp về BH và CCDV,2022,52513295.0,2025-04-12
LAW,Lợi nhuận gộp về BH và CCDV,2023,60187269.0,2025-04-12
LAW,Lợi nhuận gộp về BH và CCDV,2023,60187269.0,2025-04-12
LAW,Lợi nhuận gộp về BH và CCDV,2024,82724843.0,2025-04-12
LAW,Lợi nhuận tài chính,2022,-5279576.0,2025-04-12
LAW,Lợi nhuận tài chính,2023,-5846965.0,2025-04-12
LAW,Lợi nhuận tài chính,2023,-5846965.0,2025-04-12
LAW,Lợi nhuận tài chính,2024,-3815099.0,2025-04-12
LAW,Lợi nhuận khác,2022,-47443.0,2025-04-12
LAW,Lợi nhuận khác,2023,3022358.0,2025-04-12
LAW,Lợi nhuận khác,2023,3022358.0,2025-04-12
LAW,Lợi nhuận khác,2024,37292.0,2025-04-12
LAW,Tổng lợi nhuận trước thuế,2022,15355288.0,2025-04-12
LAW,Tổng lợi nhuận trước thuế,2023,17560647.0,2025-04-12
LAW,Tổng lợi nhuận trước thuế,2023,17560647.0,2025-04-12
LAW,Tổng lợi nhuận trước thuế,2024,23268086.0,2025-04-12
LAW,Lợi nhuận sau thuế,2022,13794685.0,2025-04-12
LAW,Lợi nhuận sau thuế,2023,14828073.0,2025-04-12
LAW,Lợi nhuận sau thuế,2023,14828073.0,2025-04-12
LAW,Lợi nhuận sau thuế,2024,20254691.0,2025-04-12
LAW,Lợi nhuận sau thuế của công ty mẹ,2022,13794685.0,2025-04-12
LAW,Lợi nhuận sau thuế của công ty mẹ,2023,14828073.0,2025-04-12
LAW,Lợi nhuận sau thuế của công ty mẹ,2023,14828073.0,2025-04-12
LAW,Lợi nhuận sau thuế của công ty mẹ,2024,20254691.0,2025-04-12
LAW,Tổng tài sản lưu động ngắn hạn,2022,40789769.0,2025-04-12
LAW,Tổng tài sản lưu động ngắn hạn,2023,33188106.0,2025-04-12
LAW,Tổng tài sản lưu động ngắn hạn,2023,33188106.0,2025-04-12
LAW,Tổng tài sản lưu động ngắn hạn,2024,37819942.0,2025-04-12
LAW,Tổng tài sản,2022,327159139.0,2025-04-12
LAW,Tổng tài sản,2023,314118988.0,2025-04-12
LAW,Tổng tài sản,2023,314118988.0,2025-04-12
LAW,Tổng tài sản,2024,342278646.0,2025-04-12
LAW,Nợ ngắn hạn,2022,98872929.0,2025-04-12
LAW,Nợ ngắn hạn,2023,70992418.0,2025-04-12
LAW,Nợ ngắn hạn,2023,70992418.0,2025-04-12
LAW,Nợ ngắn hạn,2024,84231141.0,2025-04-12
LAW,Tổng nợ,2022,158768617.0,2025-04-12
LAW,Tổng nợ,2023,141280045.0,2025-04-12
LAW,Tổng nợ,2023,141280045.0,2025-04-12
LAW,Tổng nợ,2024,155240190.0,2025-04-12
LAW,Vốn chủ sở hữu,2022,168390521.0,2025-04-12
LAW,Vốn chủ sở hữu,2023,172838943.0,2025-04-12
LAW,Vốn chủ sở hữu,2023,172838943.0,2025-04-12
LAW,Vốn chủ sở hữu,2024,187038457.0,2025-04-12
