symbol,metric,year,value,crawled_date
LBE,Doanh thu bán hàng và CCDV,2021,73707662.0,2025-04-12
LBE,Doanh thu bán hàng và CCDV,2022,100172599.0,2025-04-12
LBE,Doanh thu bán hàng và CCDV,2023,90913713.0,2025-04-12
LBE,Doanh thu bán hàng và CCDV,2024,106990160.0,2025-04-12
LBE,Giá vốn hàng bán,2021,64970796.0,2025-04-12
LBE,Giá vốn hàng bán,2022,86850402.0,2025-04-12
LBE,Giá vốn hàng bán,2023,80676602.0,2025-04-12
LBE,Giá vốn hàng bán,2024,93856641.0,2025-04-12
LBE,Lợi nhuận gộp về BH và CCDV,2021,8213170.0,2025-04-12
LBE,Lợi nhuận gộp về BH và CCDV,2022,11777180.0,2025-04-12
LBE,Lợi nhuận gộp về BH và CCDV,2023,10017258.0,2025-04-12
LBE,Lợi nhuận gộp về BH và CCDV,2024,12327355.0,2025-04-12
LBE,Lợi nhuận tài chính,2021,424584.0,2025-04-12
LBE,Lợi nhuận tài chính,2022,628557.0,2025-04-12
LBE,Lợi nhuận tài chính,2023,966517.0,2025-04-12
LBE,Lợi nhuận tài chính,2024,1455613.0,2025-04-12
LBE,Lợi nhuận khác,2021,14554.0,2025-04-12
LBE,Lợi nhuận khác,2022,-12972.0,2025-04-12
LBE,Lợi nhuận khác,2023,-76472.0,2025-04-12
LBE,Lợi nhuận khác,2024,-159519.0,2025-04-12
LBE,Tổng lợi nhuận trước thuế,2021,1857288.0,2025-04-12
LBE,Tổng lợi nhuận trước thuế,2022,2703139.0,2025-04-12
LBE,Tổng lợi nhuận trước thuế,2023,2021193.0,2025-04-12
LBE,Tổng lợi nhuận trước thuế,2024,3881541.0,2025-04-12
LBE,Lợi nhuận sau thuế,2021,1453730.0,2025-04-12
LBE,Lợi nhuận sau thuế,2022,2144844.0,2025-04-12
LBE,Lợi nhuận sau thuế,2023,1564530.0,2025-04-12
LBE,Lợi nhuận sau thuế,2024,2895924.0,2025-04-12
LBE,Lợi nhuận sau thuế của công ty mẹ,2021,1453730.0,2025-04-12
LBE,Lợi nhuận sau thuế của công ty mẹ,2022,2144844.0,2025-04-12
LBE,Lợi nhuận sau thuế của công ty mẹ,2023,1564530.0,2025-04-12
LBE,Lợi nhuận sau thuế của công ty mẹ,2024,2894073.0,2025-04-12
LBE,Tổng tài sản lưu động ngắn hạn,2021,24884337.0,2025-04-12
LBE,Tổng tài sản lưu động ngắn hạn,2022,20122004.0,2025-04-12
LBE,Tổng tài sản lưu động ngắn hạn,2023,21629347.0,2025-04-12
LBE,Tổng tài sản lưu động ngắn hạn,2024,36406026.0,2025-04-12
LBE,Tổng tài sản,2021,30095124.0,2025-04-12
LBE,Tổng tài sản,2022,25024159.0,2025-04-12
LBE,Tổng tài sản,2023,26381520.0,2025-04-12
LBE,Tổng tài sản,2024,41696268.0,2025-04-12
LBE,Nợ ngắn hạn,2021,9675377.0,2025-04-12
LBE,Nợ ngắn hạn,2022,2548384.0,2025-04-12
LBE,Nợ ngắn hạn,2023,2531354.0,2025-04-12
LBE,Nợ ngắn hạn,2024,15009769.0,2025-04-12
LBE,Tổng nợ,2021,9799352.0,2025-04-12
LBE,Tổng nợ,2022,2578384.0,2025-04-12
LBE,Tổng nợ,2023,2561354.0,2025-04-12
LBE,Tổng nợ,2024,15039769.0,2025-04-12
LBE,Vốn chủ sở hữu,2021,20295772.0,2025-04-12
LBE,Vốn chủ sở hữu,2022,22445775.0,2025-04-12
LBE,Vốn chủ sở hữu,2023,23820166.0,2025-04-12
LBE,Vốn chủ sở hữu,2024,26656499.0,2025-04-12
