symbol,metric,year,value,crawled_date
LBM,Doanh thu bán hàng và CCDV,2021,788120043.0,2025-04-12
LBM,Doanh thu bán hàng và CCDV,2022,1113267981.0,2025-04-12
LBM,Doanh thu bán hàng và CCDV,2023,901723777.0,2025-04-12
LBM,Doanh thu bán hàng và CCDV,2024,873041190.0,2025-04-12
LBM,Giá vốn hàng bán,2021,607303578.0,2025-04-12
LBM,Giá vốn hàng bán,2022,852321476.0,2025-04-12
LBM,Giá vốn hàng bán,2023,638276848.0,2025-04-12
LBM,Giá vốn hàng bán,2024,680599542.0,2025-04-12
LBM,Lợi nhuận gộp về BH và CCDV,2021,180521138.0,2025-04-12
LBM,Lợi nhuận gộp về BH và CCDV,2022,260946505.0,2025-04-12
LBM,Lợi nhuận gộp về BH và CCDV,2023,263446930.0,2025-04-12
LBM,Lợi nhuận gộp về BH và CCDV,2024,192441647.0,2025-04-12
LBM,Lợi nhuận tài chính,2021,598617.0,2025-04-12
LBM,Lợi nhuận tài chính,2022,386344.0,2025-04-12
LBM,Lợi nhuận tài chính,2023,-3595858.0,2025-04-12
LBM,Lợi nhuận tài chính,2024,-3602939.0,2025-04-12
LBM,Lợi nhuận khác,2021,789416.0,2025-04-12
LBM,Lợi nhuận khác,2022,1076591.0,2025-04-12
LBM,Lợi nhuận khác,2023,599135.0,2025-04-12
LBM,Lợi nhuận khác,2024,-415482.0,2025-04-12
LBM,Tổng lợi nhuận trước thuế,2021,100622588.0,2025-04-12
LBM,Tổng lợi nhuận trước thuế,2022,151631542.0,2025-04-12
LBM,Tổng lợi nhuận trước thuế,2023,159876527.0,2025-04-12
LBM,Tổng lợi nhuận trước thuế,2024,104122681.0,2025-04-12
LBM,Lợi nhuận sau thuế,2021,82155914.0,2025-04-12
LBM,Lợi nhuận sau thuế,2022,121439056.0,2025-04-12
LBM,Lợi nhuận sau thuế,2023,125240867.0,2025-04-12
LBM,Lợi nhuận sau thuế,2024,82616221.0,2025-04-12
LBM,Lợi nhuận sau thuế của công ty mẹ,2021,81754670.0,2025-04-12
LBM,Lợi nhuận sau thuế của công ty mẹ,2022,121158170.0,2025-04-12
LBM,Lợi nhuận sau thuế của công ty mẹ,2023,125083352.0,2025-04-12
LBM,Lợi nhuận sau thuế của công ty mẹ,2024,82456063.0,2025-04-12
LBM,Tổng tài sản lưu động ngắn hạn,2021,217666051.0,2025-04-12
LBM,Tổng tài sản lưu động ngắn hạn,2022,314974859.0,2025-04-12
LBM,Tổng tài sản lưu động ngắn hạn,2023,403101143.0,2025-04-12
LBM,Tổng tài sản lưu động ngắn hạn,2024,273250330.0,2025-04-12
LBM,Tổng tài sản,2021,544077560.0,2025-04-12
LBM,Tổng tài sản,2022,713007176.0,2025-04-12
LBM,Tổng tài sản,2023,769875715.0,2025-04-12
LBM,Tổng tài sản,2024,813952620.0,2025-04-12
LBM,Nợ ngắn hạn,2021,108510354.0,2025-04-12
LBM,Nợ ngắn hạn,2022,178517614.0,2025-04-12
LBM,Nợ ngắn hạn,2023,129321986.0,2025-04-12
LBM,Nợ ngắn hạn,2024,172959371.0,2025-04-12
LBM,Tổng nợ,2021,109496854.0,2025-04-12
LBM,Tổng nợ,2022,179504114.0,2025-04-12
LBM,Tổng nợ,2023,169308486.0,2025-04-12
LBM,Tổng nợ,2024,200945871.0,2025-04-12
LBM,Vốn chủ sở hữu,2021,434580706.0,2025-04-12
LBM,Vốn chủ sở hữu,2022,533503062.0,2025-04-12
LBM,Vốn chủ sở hữu,2023,600567229.0,2025-04-12
LBM,Vốn chủ sở hữu,2024,613006750.0,2025-04-12
