symbol,metric,year,value,crawled_date
LG9,Doanh thu bán hàng và CCDV,2021,172914968.0,2025-04-12
LG9,Doanh thu bán hàng và CCDV,2022,120335253.0,2025-04-12
LG9,Doanh thu bán hàng và CCDV,2023,290599181.0,2025-04-12
LG9,Doanh thu bán hàng và CCDV,2024,299595685.0,2025-04-12
LG9,Giá vốn hàng bán,2021,154085634.0,2025-04-12
LG9,Giá vốn hàng bán,2022,103183071.0,2025-04-12
LG9,Giá vốn hàng bán,2023,265458493.0,2025-04-12
LG9,Giá vốn hàng bán,2024,275825878.0,2025-04-12
LG9,Lợi nhuận gộp về BH và CCDV,2021,18829334.0,2025-04-12
LG9,Lợi nhuận gộp về BH và CCDV,2022,17152182.0,2025-04-12
LG9,Lợi nhuận gộp về BH và CCDV,2023,25140687.0,2025-04-12
LG9,Lợi nhuận gộp về BH và CCDV,2024,23769807.0,2025-04-12
LG9,Lợi nhuận tài chính,2021,-3117615.0,2025-04-12
LG9,Lợi nhuận tài chính,2022,-3374280.0,2025-04-12
LG9,Lợi nhuận tài chính,2023,-9714858.0,2025-04-12
LG9,Lợi nhuận tài chính,2024,-9617815.0,2025-04-12
LG9,Lợi nhuận khác,2021,-4190591.0,2025-04-12
LG9,Lợi nhuận khác,2022,-1482677.0,2025-04-12
LG9,Lợi nhuận khác,2023,-33702.0,2025-04-12
LG9,Lợi nhuận khác,2024,-432774.0,2025-04-12
LG9,Tổng lợi nhuận trước thuế,2021,2287690.0,2025-04-12
LG9,Tổng lợi nhuận trước thuế,2022,2906910.0,2025-04-12
LG9,Tổng lợi nhuận trước thuế,2023,2111299.0,2025-04-12
LG9,Tổng lợi nhuận trước thuế,2024,1850621.0,2025-04-12
LG9,Lợi nhuận sau thuế,2021,1765065.0,2025-04-12
LG9,Lợi nhuận sau thuế,2022,847354.0,2025-04-12
LG9,Lợi nhuận sau thuế,2023,739430.0,2025-04-12
LG9,Lợi nhuận sau thuế,2024,624220.0,2025-04-12
LG9,Lợi nhuận sau thuế của công ty mẹ,2021,1599159.0,2025-04-12
LG9,Lợi nhuận sau thuế của công ty mẹ,2022,837860.0,2025-04-12
LG9,Lợi nhuận sau thuế của công ty mẹ,2023,734357.0,2025-04-12
LG9,Lợi nhuận sau thuế của công ty mẹ,2024,621449.0,2025-04-12
LG9,Tổng tài sản lưu động ngắn hạn,2021,354713635.0,2025-04-12
LG9,Tổng tài sản lưu động ngắn hạn,2022,323265993.0,2025-04-12
LG9,Tổng tài sản lưu động ngắn hạn,2023,343663939.0,2025-04-12
LG9,Tổng tài sản lưu động ngắn hạn,2024,366214289.0,2025-04-12
LG9,Tổng tài sản,2021,408027966.0,2025-04-12
LG9,Tổng tài sản,2022,374097191.0,2025-04-12
LG9,Tổng tài sản,2023,399659936.0,2025-04-12
LG9,Tổng tài sản,2024,430374072.0,2025-04-12
LG9,Nợ ngắn hạn,2021,327925591.0,2025-04-12
LG9,Nợ ngắn hạn,2022,296186051.0,2025-04-12
LG9,Nợ ngắn hạn,2023,318667926.0,2025-04-12
LG9,Nợ ngắn hạn,2024,350587851.0,2025-04-12
LG9,Tổng nợ,2021,331422558.0,2025-04-12
LG9,Tổng nợ,2022,299607225.0,2025-04-12
LG9,Tổng nợ,2023,325268401.0,2025-04-12
LG9,Tổng nợ,2024,356092673.0,2025-04-12
LG9,Vốn chủ sở hữu,2021,76605408.0,2025-04-12
LG9,Vốn chủ sở hữu,2022,74489966.0,2025-04-12
LG9,Vốn chủ sở hữu,2023,74391536.0,2025-04-12
LG9,Vốn chủ sở hữu,2024,74281399.0,2025-04-12
