symbol,metric,year,value,crawled_date
LPT,Doanh thu bán hàng và CCDV,2022,235417546.0,2025-04-12
LPT,Doanh thu bán hàng và CCDV,2023,346752453.0,2025-04-12
LPT,Doanh thu bán hàng và CCDV,2023,346752453.0,2025-04-12
LPT,Doanh thu bán hàng và CCDV,2024,372057657.0,2025-04-12
LPT,Giá vốn hàng bán,2022,214163484.0,2025-04-12
LPT,Giá vốn hàng bán,2023,336088701.0,2025-04-12
LPT,Giá vốn hàng bán,2023,336088701.0,2025-04-12
LPT,Giá vốn hàng bán,2024,343269919.0,2025-04-12
LPT,Lợi nhuận gộp về BH và CCDV,2022,21254063.0,2025-04-12
LPT,Lợi nhuận gộp về BH và CCDV,2023,10663751.0,2025-04-12
LPT,Lợi nhuận gộp về BH và CCDV,2023,10663751.0,2025-04-12
LPT,Lợi nhuận gộp về BH và CCDV,2024,28787738.0,2025-04-12
LPT,Lợi nhuận tài chính,2022,-539329.0,2025-04-12
LPT,Lợi nhuận tài chính,2023,57629.0,2025-04-12
LPT,Lợi nhuận tài chính,2023,57629.0,2025-04-12
LPT,Lợi nhuận tài chính,2024,-213411.0,2025-04-12
LPT,Lợi nhuận khác,2022,35043.0,2025-04-12
LPT,Lợi nhuận khác,2023,428489.0,2025-04-12
LPT,Lợi nhuận khác,2023,428489.0,2025-04-12
LPT,Lợi nhuận khác,2024,-1453670.0,2025-04-12
LPT,Tổng lợi nhuận trước thuế,2022,10902991.0,2025-04-12
LPT,Tổng lợi nhuận trước thuế,2023,3909856.0,2025-04-12
LPT,Tổng lợi nhuận trước thuế,2023,3909856.0,2025-04-12
LPT,Tổng lợi nhuận trước thuế,2024,17783713.0,2025-04-12
LPT,Lợi nhuận sau thuế,2022,9579476.0,2025-04-12
LPT,Lợi nhuận sau thuế,2023,3110024.0,2025-04-12
LPT,Lợi nhuận sau thuế,2023,3110024.0,2025-04-12
LPT,Lợi nhuận sau thuế,2024,14163706.0,2025-04-12
LPT,Lợi nhuận sau thuế của công ty mẹ,2022,9579476.0,2025-04-12
LPT,Lợi nhuận sau thuế của công ty mẹ,2023,3110024.0,2025-04-12
LPT,Lợi nhuận sau thuế của công ty mẹ,2023,3110024.0,2025-04-12
LPT,Lợi nhuận sau thuế của công ty mẹ,2024,14163706.0,2025-04-12
LPT,Tổng tài sản lưu động ngắn hạn,2022,127264252.0,2025-04-12
LPT,Tổng tài sản lưu động ngắn hạn,2023,254001401.0,2025-04-12
LPT,Tổng tài sản lưu động ngắn hạn,2023,254001401.0,2025-04-12
LPT,Tổng tài sản lưu động ngắn hạn,2024,154657393.0,2025-04-12
LPT,Tổng tài sản,2022,166489602.0,2025-04-12
LPT,Tổng tài sản,2023,283171367.0,2025-04-12
LPT,Tổng tài sản,2023,283171367.0,2025-04-12
LPT,Tổng tài sản,2024,182878757.0,2025-04-12
LPT,Nợ ngắn hạn,2022,17120197.0,2025-04-12
LPT,Nợ ngắn hạn,2023,139012738.0,2025-04-12
LPT,Nợ ngắn hạn,2023,139012738.0,2025-04-12
LPT,Nợ ngắn hạn,2024,26214622.0,2025-04-12
LPT,Tổng nợ,2022,20784197.0,2025-04-12
LPT,Tổng nợ,2023,140475938.0,2025-04-12
LPT,Tổng nợ,2023,140475938.0,2025-04-12
LPT,Tổng nợ,2024,26214622.0,2025-04-12
LPT,Vốn chủ sở hữu,2022,145705405.0,2025-04-12
LPT,Vốn chủ sở hữu,2023,142695429.0,2025-04-12
LPT,Vốn chủ sở hữu,2023,142695429.0,2025-04-12
LPT,Vốn chủ sở hữu,2024,156664135.0,2025-04-12
