symbol,metric,year,value,crawled_date
LQN,Doanh thu bán hàng và CCDV,2021,17583729.0,2025-04-12
LQN,Doanh thu bán hàng và CCDV,2022,15670987.0,2025-04-12
LQN,Doanh thu bán hàng và CCDV,2023,11529410.0,2025-04-12
LQN,Doanh thu bán hàng và CCDV,2023,11529410.0,2025-04-12
LQN,Giá vốn hàng bán,2021,15583049.0,2025-04-12
LQN,Giá vốn hàng bán,2022,16342127.0,2025-04-12
LQN,Giá vốn hàng bán,2023,11466697.0,2025-04-12
LQN,Giá vốn hàng bán,2023,11466697.0,2025-04-12
LQN,Lợi nhuận gộp về BH và CCDV,2021,2000680.0,2025-04-12
LQN,Lợi nhuận gộp về BH và CCDV,2022,-671140.0,2025-04-12
LQN,Lợi nhuận gộp về BH và CCDV,2023,62713.0,2025-04-12
LQN,Lợi nhuận gộp về BH và CCDV,2023,62713.0,2025-04-12
LQN,Lợi nhuận tài chính,2021,-2101847.0,2025-04-12
LQN,Lợi nhuận tài chính,2022,-3115674.0,2025-04-12
LQN,Lợi nhuận tài chính,2023,-2370794.0,2025-04-12
LQN,Lợi nhuận tài chính,2023,-2370794.0,2025-04-12
LQN,Lợi nhuận khác,2021,-673427.0,2025-04-12
LQN,Lợi nhuận khác,2022,-1687142.0,2025-04-12
LQN,Lợi nhuận khác,2023,-1127255.0,2025-04-12
LQN,Lợi nhuận khác,2023,-1127255.0,2025-04-12
LQN,Tổng lợi nhuận trước thuế,2021,-6695682.0,2025-04-12
LQN,Tổng lợi nhuận trước thuế,2022,-12446436.0,2025-04-12
LQN,Tổng lợi nhuận trước thuế,2023,-7495028.0,2025-04-12
LQN,Tổng lợi nhuận trước thuế,2023,-7495028.0,2025-04-12
LQN,Lợi nhuận sau thuế,2021,-6695682.0,2025-04-12
LQN,Lợi nhuận sau thuế,2022,-12446436.0,2025-04-12
LQN,Lợi nhuận sau thuế,2023,-7495028.0,2025-04-12
LQN,Lợi nhuận sau thuế,2023,-7495028.0,2025-04-12
LQN,Lợi nhuận sau thuế của công ty mẹ,2021,-6695682.0,2025-04-12
LQN,Lợi nhuận sau thuế của công ty mẹ,2022,-12446436.0,2025-04-12
LQN,Lợi nhuận sau thuế của công ty mẹ,2023,-7495028.0,2025-04-12
LQN,Lợi nhuận sau thuế của công ty mẹ,2023,-7495028.0,2025-04-12
LQN,Tổng tài sản lưu động ngắn hạn,2021,104740369.0,2025-04-12
LQN,Tổng tài sản lưu động ngắn hạn,2022,98596282.0,2025-04-12
LQN,Tổng tài sản lưu động ngắn hạn,2023,90642721.0,2025-04-12
LQN,Tổng tài sản lưu động ngắn hạn,2023,90642721.0,2025-04-12
LQN,Tổng tài sản,2021,140519765.0,2025-04-12
LQN,Tổng tài sản,2022,127999900.0,2025-04-12
LQN,Tổng tài sản,2023,116642657.0,2025-04-12
LQN,Tổng tài sản,2023,116642657.0,2025-04-12
LQN,Nợ ngắn hạn,2021,134779900.0,2025-04-12
LQN,Nợ ngắn hạn,2022,135410065.0,2025-04-12
LQN,Nợ ngắn hạn,2023,131547849.0,2025-04-12
LQN,Nợ ngắn hạn,2023,131547849.0,2025-04-12
LQN,Tổng nợ,2021,135493493.0,2025-04-12
LQN,Tổng nợ,2022,135420065.0,2025-04-12
LQN,Tổng nợ,2023,131557849.0,2025-04-12
LQN,Tổng nợ,2023,131557849.0,2025-04-12
LQN,Vốn chủ sở hữu,2021,5026272.0,2025-04-12
LQN,Vốn chủ sở hữu,2022,-7420164.0,2025-04-12
LQN,Vốn chủ sở hữu,2023,-14915192.0,2025-04-12
LQN,Vốn chủ sở hữu,2023,-14915192.0,2025-04-12
