symbol,metric,year,value,crawled_date
LSG,Doanh thu bán hàng và CCDV,2023,950000.0,2025-04-12
LSG,Doanh thu bán hàng và CCDV,2024,3425000.0,2025-04-12
LSG,Giá vốn hàng bán,2023,585766.0,2025-04-12
LSG,Giá vốn hàng bán,2024,1045821.0,2025-04-12
LSG,Lợi nhuận gộp về BH và CCDV,2023,364234.0,2025-04-12
LSG,Lợi nhuận gộp về BH và CCDV,2024,2379179.0,2025-04-12
LSG,Lợi nhuận tài chính,2021,27248171.0,2025-04-12
LSG,Lợi nhuận tài chính,2022,16608294.0,2025-04-12
LSG,Lợi nhuận tài chính,2023,18857683.0,2025-04-12
LSG,Lợi nhuận tài chính,2024,-56846736.0,2025-04-12
LSG,Lợi nhuận khác,2021,-113327.0,2025-04-12
LSG,Lợi nhuận khác,2022,-439755.0,2025-04-12
LSG,Lợi nhuận khác,2023,310797.0,2025-04-12
LSG,Lợi nhuận khác,2024,69957410.0,2025-04-12
LSG,Tổng lợi nhuận trước thuế,2021,14879018.0,2025-04-12
LSG,Tổng lợi nhuận trước thuế,2022,3590326.0,2025-04-12
LSG,Tổng lợi nhuận trước thuế,2023,7628268.0,2025-04-12
LSG,Tổng lợi nhuận trước thuế,2024,3615026.0,2025-04-12
LSG,Lợi nhuận sau thuế,2021,11710947.0,2025-04-12
LSG,Lợi nhuận sau thuế,2022,2600024.0,2025-04-12
LSG,Lợi nhuận sau thuế,2023,5980777.0,2025-04-12
LSG,Lợi nhuận sau thuế,2024,2731913.0,2025-04-12
LSG,Lợi nhuận sau thuế của công ty mẹ,2021,11710947.0,2025-04-12
LSG,Lợi nhuận sau thuế của công ty mẹ,2022,2600024.0,2025-04-12
LSG,Lợi nhuận sau thuế của công ty mẹ,2023,5980777.0,2025-04-12
LSG,Lợi nhuận sau thuế của công ty mẹ,2024,2731913.0,2025-04-12
LSG,Tổng tài sản lưu động ngắn hạn,2021,2682058850.0,2025-04-12
LSG,Tổng tài sản lưu động ngắn hạn,2022,2079208316.0,2025-04-12
LSG,Tổng tài sản lưu động ngắn hạn,2023,945837933.0,2025-04-12
LSG,Tổng tài sản lưu động ngắn hạn,2024,486415572.0,2025-04-12
LSG,Tổng tài sản,2021,2900074837.0,2025-04-12
LSG,Tổng tài sản,2022,2302831946.0,2025-04-12
LSG,Tổng tài sản,2023,2328589348.0,2025-04-12
LSG,Tổng tài sản,2024,2355418090.0,2025-04-12
LSG,Nợ ngắn hạn,2021,1184467984.0,2025-04-12
LSG,Nợ ngắn hạn,2022,736477069.0,2025-04-12
LSG,Nợ ngắn hạn,2023,757153694.0,2025-04-12
LSG,Nợ ngắn hạn,2024,368150524.0,2025-04-12
LSG,Tổng nợ,2021,1864159984.0,2025-04-12
LSG,Tổng nợ,2022,1266717069.0,2025-04-12
LSG,Tổng nợ,2023,1287393694.0,2025-04-12
LSG,Tổng nợ,2024,1312390524.0,2025-04-12
LSG,Vốn chủ sở hữu,2021,1035914853.0,2025-04-12
LSG,Vốn chủ sở hữu,2022,1036114877.0,2025-04-12
LSG,Vốn chủ sở hữu,2023,1041195654.0,2025-04-12
LSG,Vốn chủ sở hữu,2024,1043027567.0,2025-04-12
