symbol,metric,year,value,crawled_date
MBG,Doanh thu bán hàng và CCDV,2022,1218963709.0,2025-04-12
MBG,Doanh thu bán hàng và CCDV,2023,508437482.0,2025-04-12
MBG,Doanh thu bán hàng và CCDV,2023,508437482.0,2025-04-12
MBG,Doanh thu bán hàng và CCDV,2024,311186580.0,2025-04-12
MBG,Giá vốn hàng bán,2022,1091653033.0,2025-04-12
MBG,Giá vốn hàng bán,2023,537186669.0,2025-04-12
MBG,Giá vốn hàng bán,2023,537186669.0,2025-04-12
MBG,Giá vốn hàng bán,2024,268512338.0,2025-04-12
MBG,Lợi nhuận gộp về BH và CCDV,2022,127310675.0,2025-04-12
MBG,Lợi nhuận gộp về BH và CCDV,2023,-28749187.0,2025-04-12
MBG,Lợi nhuận gộp về BH và CCDV,2023,-28749187.0,2025-04-12
MBG,Lợi nhuận gộp về BH và CCDV,2024,42674242.0,2025-04-12
MBG,Lợi nhuận tài chính,2022,10413128.0,2025-04-12
MBG,Lợi nhuận tài chính,2023,3096912.0,2025-04-12
MBG,Lợi nhuận tài chính,2023,3096912.0,2025-04-12
MBG,Lợi nhuận tài chính,2024,-2511332.0,2025-04-12
MBG,Lợi nhuận khác,2022,-135743.0,2025-04-12
MBG,Lợi nhuận khác,2023,444057.0,2025-04-12
MBG,Lợi nhuận khác,2023,444057.0,2025-04-12
MBG,Lợi nhuận khác,2024,57086.0,2025-04-12
MBG,Tổng lợi nhuận trước thuế,2022,125654033.0,2025-04-12
MBG,Tổng lợi nhuận trước thuế,2023,-56067107.0,2025-04-12
MBG,Tổng lợi nhuận trước thuế,2023,-56067107.0,2025-04-12
MBG,Tổng lợi nhuận trước thuế,2024,29610246.0,2025-04-12
MBG,Lợi nhuận sau thuế,2022,100427879.0,2025-04-12
MBG,Lợi nhuận sau thuế,2023,-56068476.0,2025-04-12
MBG,Lợi nhuận sau thuế,2023,-56068476.0,2025-04-12
MBG,Lợi nhuận sau thuế,2024,27389260.0,2025-04-12
MBG,Lợi nhuận sau thuế của công ty mẹ,2022,100426614.0,2025-04-12
MBG,Lợi nhuận sau thuế của công ty mẹ,2023,-56069560.0,2025-04-12
MBG,Lợi nhuận sau thuế của công ty mẹ,2023,-56069560.0,2025-04-12
MBG,Lợi nhuận sau thuế của công ty mẹ,2024,27388597.0,2025-04-12
MBG,Tổng tài sản lưu động ngắn hạn,2022,1114935843.0,2025-04-12
MBG,Tổng tài sản lưu động ngắn hạn,2023,963248070.0,2025-04-12
MBG,Tổng tài sản lưu động ngắn hạn,2023,963248070.0,2025-04-12
MBG,Tổng tài sản lưu động ngắn hạn,2024,961610332.0,2025-04-12
MBG,Tổng tài sản,2022,1455389215.0,2025-04-12
MBG,Tổng tài sản,2023,1308849721.0,2025-04-12
MBG,Tổng tài sản,2023,1308849721.0,2025-04-12
MBG,Tổng tài sản,2024,1379122279.0,2025-04-12
MBG,Nợ ngắn hạn,2022,135797341.0,2025-04-12
MBG,Nợ ngắn hạn,2023,46899977.0,2025-04-12
MBG,Nợ ngắn hạn,2023,46899977.0,2025-04-12
MBG,Nợ ngắn hạn,2024,87508802.0,2025-04-12
MBG,Tổng nợ,2022,136766716.0,2025-04-12
MBG,Tổng nợ,2023,47299977.0,2025-04-12
MBG,Tổng nợ,2023,47299977.0,2025-04-12
MBG,Tổng nợ,2024,89474602.0,2025-04-12
MBG,Vốn chủ sở hữu,2022,1318622499.0,2025-04-12
MBG,Vốn chủ sở hữu,2023,1261549744.0,2025-04-12
MBG,Vốn chủ sở hữu,2023,1261549744.0,2025-04-12
MBG,Vốn chủ sở hữu,2024,1289647678.0,2025-04-12
