symbol,metric,year,value,crawled_date
MBN,Doanh thu bán hàng và CCDV,2021,182447994.0,2025-04-12
MBN,Doanh thu bán hàng và CCDV,2022,149380072.0,2025-04-12
MBN,Doanh thu bán hàng và CCDV,2023,144413967.0,2025-04-12
MBN,Doanh thu bán hàng và CCDV,2024,76522949.0,2025-04-12
MBN,Giá vốn hàng bán,2021,167905750.0,2025-04-12
MBN,Giá vốn hàng bán,2022,141177466.0,2025-04-12
MBN,Giá vốn hàng bán,2023,133826543.0,2025-04-12
MBN,Giá vốn hàng bán,2024,68220810.0,2025-04-12
MBN,Lợi nhuận gộp về BH và CCDV,2021,14542244.0,2025-04-12
MBN,Lợi nhuận gộp về BH và CCDV,2022,8202607.0,2025-04-12
MBN,Lợi nhuận gộp về BH và CCDV,2023,10587424.0,2025-04-12
MBN,Lợi nhuận gộp về BH và CCDV,2024,8302139.0,2025-04-12
MBN,Lợi nhuận tài chính,2021,739594.0,2025-04-12
MBN,Lợi nhuận tài chính,2022,-13785.0,2025-04-12
MBN,Lợi nhuận tài chính,2023,621999.0,2025-04-12
MBN,Lợi nhuận tài chính,2024,290631.0,2025-04-12
MBN,Lợi nhuận khác,2021,102610.0,2025-04-12
MBN,Lợi nhuận khác,2022,40735.0,2025-04-12
MBN,Lợi nhuận khác,2023,-451050.0,2025-04-12
MBN,Lợi nhuận khác,2024,-105210.0,2025-04-12
MBN,Tổng lợi nhuận trước thuế,2021,5882475.0,2025-04-12
MBN,Tổng lợi nhuận trước thuế,2022,381374.0,2025-04-12
MBN,Tổng lợi nhuận trước thuế,2023,1805936.0,2025-04-12
MBN,Tổng lợi nhuận trước thuế,2024,-4480788.0,2025-04-12
MBN,Lợi nhuận sau thuế,2021,4684402.0,2025-04-12
MBN,Lợi nhuận sau thuế,2022,267269.0,2025-04-12
MBN,Lợi nhuận sau thuế,2023,1332473.0,2025-04-12
MBN,Lợi nhuận sau thuế,2024,-4480788.0,2025-04-12
MBN,Lợi nhuận sau thuế của công ty mẹ,2021,4684402.0,2025-04-12
MBN,Lợi nhuận sau thuế của công ty mẹ,2022,267269.0,2025-04-12
MBN,Lợi nhuận sau thuế của công ty mẹ,2023,1332473.0,2025-04-12
MBN,Lợi nhuận sau thuế của công ty mẹ,2024,-4480788.0,2025-04-12
MBN,Tổng tài sản lưu động ngắn hạn,2021,70943881.0,2025-04-12
MBN,Tổng tài sản lưu động ngắn hạn,2022,66508330.0,2025-04-12
MBN,Tổng tài sản lưu động ngắn hạn,2023,72257487.0,2025-04-12
MBN,Tổng tài sản lưu động ngắn hạn,2024,58800426.0,2025-04-12
MBN,Tổng tài sản,2021,182135418.0,2025-04-12
MBN,Tổng tài sản,2022,171599710.0,2025-04-12
MBN,Tổng tài sản,2023,172907714.0,2025-04-12
MBN,Tổng tài sản,2024,154259406.0,2025-04-12
MBN,Nợ ngắn hạn,2021,38770051.0,2025-04-12
MBN,Nợ ngắn hạn,2022,31959375.0,2025-04-12
MBN,Nợ ngắn hạn,2023,32159436.0,2025-04-12
MBN,Nợ ngắn hạn,2024,19199588.0,2025-04-12
MBN,Tổng nợ,2021,38770051.0,2025-04-12
MBN,Tổng nợ,2022,31959375.0,2025-04-12
MBN,Tổng nợ,2023,32159436.0,2025-04-12
MBN,Tổng nợ,2024,19199588.0,2025-04-12
MBN,Vốn chủ sở hữu,2021,143365367.0,2025-04-12
MBN,Vốn chủ sở hữu,2022,139640335.0,2025-04-12
MBN,Vốn chủ sở hữu,2023,140748279.0,2025-04-12
MBN,Vốn chủ sở hữu,2024,135059818.0,2025-04-12
