symbol,metric,year,value,crawled_date
MCM,Doanh thu bán hàng và CCDV,2022,3134478948.0,2025-04-12
MCM,Doanh thu bán hàng và CCDV,2023,3137467591.0,2025-04-12
MCM,Doanh thu bán hàng và CCDV,2023,3137467591.0,2025-04-12
MCM,Doanh thu bán hàng và CCDV,2024,2919366679.0,2025-04-12
MCM,Giá vốn hàng bán,2022,2115310690.0,2025-04-12
MCM,Giá vốn hàng bán,2023,2126805253.0,2025-04-12
MCM,Giá vốn hàng bán,2023,2126805253.0,2025-04-12
MCM,Giá vốn hàng bán,2024,2068412738.0,2025-04-12
MCM,Lợi nhuận gộp về BH và CCDV,2022,1017788768.0,2025-04-12
MCM,Lợi nhuận gộp về BH và CCDV,2023,1008617893.0,2025-04-12
MCM,Lợi nhuận gộp về BH và CCDV,2023,1008617893.0,2025-04-12
MCM,Lợi nhuận gộp về BH và CCDV,2024,848545366.0,2025-04-12
MCM,Lợi nhuận tài chính,2022,102160147.0,2025-04-12
MCM,Lợi nhuận tài chính,2023,161434096.0,2025-04-12
MCM,Lợi nhuận tài chính,2023,161434096.0,2025-04-12
MCM,Lợi nhuận tài chính,2024,99354167.0,2025-04-12
MCM,Lợi nhuận khác,2022,-10916824.0,2025-04-12
MCM,Lợi nhuận khác,2023,304517.0,2025-04-12
MCM,Lợi nhuận khác,2023,304517.0,2025-04-12
MCM,Lợi nhuận khác,2024,-1651740.0,2025-04-12
MCM,Tổng lợi nhuận trước thuế,2022,380686923.0,2025-04-12
MCM,Tổng lợi nhuận trước thuế,2023,423579789.0,2025-04-12
MCM,Tổng lợi nhuận trước thuế,2023,423579789.0,2025-04-12
MCM,Tổng lợi nhuận trước thuế,2024,252056847.0,2025-04-12
MCM,Lợi nhuận sau thuế,2022,346549194.0,2025-04-12
MCM,Lợi nhuận sau thuế,2023,374417494.0,2025-04-12
MCM,Lợi nhuận sau thuế,2023,374417494.0,2025-04-12
MCM,Lợi nhuận sau thuế,2024,219920772.0,2025-04-12
MCM,Lợi nhuận sau thuế của công ty mẹ,2022,346549194.0,2025-04-12
MCM,Lợi nhuận sau thuế của công ty mẹ,2023,374417494.0,2025-04-12
MCM,Lợi nhuận sau thuế của công ty mẹ,2023,374417494.0,2025-04-12
MCM,Lợi nhuận sau thuế của công ty mẹ,2024,219920772.0,2025-04-12
MCM,Tổng tài sản lưu động ngắn hạn,2022,2123220312.0,2025-04-12
MCM,Tổng tài sản lưu động ngắn hạn,2023,2077665095.0,2025-04-12
MCM,Tổng tài sản lưu động ngắn hạn,2023,2077665095.0,2025-04-12
MCM,Tổng tài sản lưu động ngắn hạn,2024,2114926082.0,2025-04-12
MCM,Tổng tài sản,2022,2455246090.0,2025-04-12
MCM,Tổng tài sản,2023,2606062838.0,2025-04-12
MCM,Tổng tài sản,2023,2606062838.0,2025-04-12
MCM,Tổng tài sản,2024,2686673184.0,2025-04-12
MCM,Nợ ngắn hạn,2022,237996795.0,2025-04-12
MCM,Nợ ngắn hạn,2023,274455833.0,2025-04-12
MCM,Nợ ngắn hạn,2023,274455833.0,2025-04-12
MCM,Nợ ngắn hạn,2024,377611943.0,2025-04-12
MCM,Tổng nợ,2022,244966907.0,2025-04-12
MCM,Tổng nợ,2023,278807910.0,2025-04-12
MCM,Tổng nợ,2023,278807910.0,2025-04-12
MCM,Tổng nợ,2024,381489561.0,2025-04-12
MCM,Vốn chủ sở hữu,2022,2210279184.0,2025-04-12
MCM,Vốn chủ sở hữu,2023,2327254928.0,2025-04-12
MCM,Vốn chủ sở hữu,2023,2327254928.0,2025-04-12
MCM,Vốn chủ sở hữu,2024,2305183623.0,2025-04-12
