symbol,metric,year,value,crawled_date
MFS,Doanh thu bán hàng và CCDV,2021,459100384.0,2025-04-12
MFS,Doanh thu bán hàng và CCDV,2022,413248441.0,2025-04-12
MFS,Doanh thu bán hàng và CCDV,2023,396918609.0,2025-04-12
MFS,Doanh thu bán hàng và CCDV,2024,372177473.0,2025-04-12
MFS,Giá vốn hàng bán,2021,413710254.0,2025-04-12
MFS,Giá vốn hàng bán,2022,375432943.0,2025-04-12
MFS,Giá vốn hàng bán,2023,365173207.0,2025-04-12
MFS,Giá vốn hàng bán,2024,344574049.0,2025-04-12
MFS,Lợi nhuận gộp về BH và CCDV,2021,45390129.0,2025-04-12
MFS,Lợi nhuận gộp về BH và CCDV,2022,37815498.0,2025-04-12
MFS,Lợi nhuận gộp về BH và CCDV,2023,31745402.0,2025-04-12
MFS,Lợi nhuận gộp về BH và CCDV,2024,27603424.0,2025-04-12
MFS,Lợi nhuận tài chính,2021,3727941.0,2025-04-12
MFS,Lợi nhuận tài chính,2022,5173585.0,2025-04-12
MFS,Lợi nhuận tài chính,2023,9158391.0,2025-04-12
MFS,Lợi nhuận tài chính,2024,5661244.0,2025-04-12
MFS,Lợi nhuận khác,2021,949476.0,2025-04-12
MFS,Lợi nhuận khác,2022,-220173.0,2025-04-12
MFS,Lợi nhuận khác,2023,69744.0,2025-04-12
MFS,Lợi nhuận khác,2024,-3681.0,2025-04-12
MFS,Tổng lợi nhuận trước thuế,2021,34133874.0,2025-04-12
MFS,Tổng lợi nhuận trước thuế,2022,27044235.0,2025-04-12
MFS,Tổng lợi nhuận trước thuế,2023,25437214.0,2025-04-12
MFS,Tổng lợi nhuận trước thuế,2024,16928662.0,2025-04-12
MFS,Lợi nhuận sau thuế,2021,27462903.0,2025-04-12
MFS,Lợi nhuận sau thuế,2022,21518158.0,2025-04-12
MFS,Lợi nhuận sau thuế,2023,20300999.0,2025-04-12
MFS,Lợi nhuận sau thuế,2024,13527542.0,2025-04-12
MFS,Lợi nhuận sau thuế của công ty mẹ,2021,27462903.0,2025-04-12
MFS,Lợi nhuận sau thuế của công ty mẹ,2022,21518158.0,2025-04-12
MFS,Lợi nhuận sau thuế của công ty mẹ,2023,20300999.0,2025-04-12
MFS,Lợi nhuận sau thuế của công ty mẹ,2024,13527542.0,2025-04-12
MFS,Tổng tài sản lưu động ngắn hạn,2021,286671029.0,2025-04-12
MFS,Tổng tài sản lưu động ngắn hạn,2022,272909404.0,2025-04-12
MFS,Tổng tài sản lưu động ngắn hạn,2023,249659597.0,2025-04-12
MFS,Tổng tài sản lưu động ngắn hạn,2024,236309839.0,2025-04-12
MFS,Tổng tài sản,2021,293656244.0,2025-04-12
MFS,Tổng tài sản,2022,281182887.0,2025-04-12
MFS,Tổng tài sản,2023,256567533.0,2025-04-12
MFS,Tổng tài sản,2024,243819830.0,2025-04-12
MFS,Nợ ngắn hạn,2021,103232519.0,2025-04-12
MFS,Nợ ngắn hạn,2022,92746742.0,2025-04-12
MFS,Nợ ngắn hạn,2023,74844114.0,2025-04-12
MFS,Nợ ngắn hạn,2024,72121325.0,2025-04-12
MFS,Tổng nợ,2021,103232519.0,2025-04-12
MFS,Tổng nợ,2022,92746742.0,2025-04-12
MFS,Tổng nợ,2023,74844114.0,2025-04-12
MFS,Tổng nợ,2024,72121325.0,2025-04-12
MFS,Vốn chủ sở hữu,2021,190423725.0,2025-04-12
MFS,Vốn chủ sở hữu,2022,188436146.0,2025-04-12
MFS,Vốn chủ sở hữu,2023,181723419.0,2025-04-12
MFS,Vốn chủ sở hữu,2024,171698504.0,2025-04-12
