symbol,metric,year,value,crawled_date
MGR,Doanh thu bán hàng và CCDV,2021,68554808.0,2025-04-12
MGR,Doanh thu bán hàng và CCDV,2022,32220851.0,2025-04-12
MGR,Doanh thu bán hàng và CCDV,2023,8628903.0,2025-04-12
MGR,Doanh thu bán hàng và CCDV,2024,1875818.0,2025-04-12
MGR,Giá vốn hàng bán,2021,57162033.0,2025-04-12
MGR,Giá vốn hàng bán,2022,24460258.0,2025-04-12
MGR,Giá vốn hàng bán,2023,7746496.0,2025-04-12
MGR,Giá vốn hàng bán,2024,1821273.0,2025-04-12
MGR,Lợi nhuận gộp về BH và CCDV,2021,11125358.0,2025-04-12
MGR,Lợi nhuận gộp về BH và CCDV,2022,7679033.0,2025-04-12
MGR,Lợi nhuận gộp về BH và CCDV,2023,882407.0,2025-04-12
MGR,Lợi nhuận gộp về BH và CCDV,2024,54545.0,2025-04-12
MGR,Lợi nhuận tài chính,2021,83632.0,2025-04-12
MGR,Lợi nhuận tài chính,2022,-39038.0,2025-04-12
MGR,Lợi nhuận tài chính,2023,-42587.0,2025-04-12
MGR,Lợi nhuận tài chính,2024,3947.0,2025-04-12
MGR,Lợi nhuận khác,2021,423346.0,2025-04-12
MGR,Lợi nhuận khác,2022,-5765635.0,2025-04-12
MGR,Lợi nhuận khác,2023,881465.0,2025-04-12
MGR,Lợi nhuận khác,2024,-909277.0,2025-04-12
MGR,Tổng lợi nhuận trước thuế,2021,-13749943.0,2025-04-12
MGR,Tổng lợi nhuận trước thuế,2022,-22797174.0,2025-04-12
MGR,Tổng lợi nhuận trước thuế,2023,-16946968.0,2025-04-12
MGR,Tổng lợi nhuận trước thuế,2024,-17631725.0,2025-04-12
MGR,Lợi nhuận sau thuế,2021,-13749943.0,2025-04-12
MGR,Lợi nhuận sau thuế,2022,-22797174.0,2025-04-12
MGR,Lợi nhuận sau thuế,2023,-16946968.0,2025-04-12
MGR,Lợi nhuận sau thuế,2024,-17631725.0,2025-04-12
MGR,Lợi nhuận sau thuế của công ty mẹ,2021,-13522106.0,2025-04-12
MGR,Lợi nhuận sau thuế của công ty mẹ,2022,-22515771.0,2025-04-12
MGR,Lợi nhuận sau thuế của công ty mẹ,2023,-16631789.0,2025-04-12
MGR,Lợi nhuận sau thuế của công ty mẹ,2024,-17047950.0,2025-04-12
MGR,Tổng tài sản lưu động ngắn hạn,2021,94807540.0,2025-04-12
MGR,Tổng tài sản lưu động ngắn hạn,2022,75772995.0,2025-04-12
MGR,Tổng tài sản lưu động ngắn hạn,2023,70038859.0,2025-04-12
MGR,Tổng tài sản lưu động ngắn hạn,2024,63752040.0,2025-04-12
MGR,Tổng tài sản,2021,249100461.0,2025-04-12
MGR,Tổng tài sản,2022,221319103.0,2025-04-12
MGR,Tổng tài sản,2023,203484214.0,2025-04-12
MGR,Tổng tài sản,2024,183750649.0,2025-04-12
MGR,Nợ ngắn hạn,2021,18028489.0,2025-04-12
MGR,Nợ ngắn hạn,2022,13204633.0,2025-04-12
MGR,Nợ ngắn hạn,2023,12624007.0,2025-04-12
MGR,Nợ ngắn hạn,2024,10522168.0,2025-04-12
MGR,Tổng nợ,2021,25936112.0,2025-04-12
MGR,Tổng nợ,2022,20951928.0,2025-04-12
MGR,Tổng nợ,2023,20064007.0,2025-04-12
MGR,Tổng nợ,2024,17962168.0,2025-04-12
MGR,Vốn chủ sở hữu,2021,223164349.0,2025-04-12
MGR,Vốn chủ sở hữu,2022,200367175.0,2025-04-12
MGR,Vốn chủ sở hữu,2023,183420207.0,2025-04-12
MGR,Vốn chủ sở hữu,2024,165788481.0,2025-04-12
