symbol,metric,year,value,crawled_date
MH3,Doanh thu bán hàng và CCDV,2021,72608093.0,2025-04-12
MH3,Doanh thu bán hàng và CCDV,2022,82320751.0,2025-04-12
MH3,Doanh thu bán hàng và CCDV,2023,154475719.0,2025-04-12
MH3,Doanh thu bán hàng và CCDV,2023,154475719.0,2025-04-12
MH3,Giá vốn hàng bán,2021,42068594.0,2025-04-12
MH3,Giá vốn hàng bán,2022,46144908.0,2025-04-12
MH3,Giá vốn hàng bán,2023,117648409.0,2025-04-12
MH3,Giá vốn hàng bán,2023,117648409.0,2025-04-12
MH3,Lợi nhuận gộp về BH và CCDV,2021,30539500.0,2025-04-12
MH3,Lợi nhuận gộp về BH và CCDV,2022,36175844.0,2025-04-12
MH3,Lợi nhuận gộp về BH và CCDV,2023,36827310.0,2025-04-12
MH3,Lợi nhuận gộp về BH và CCDV,2023,36827310.0,2025-04-12
MH3,Lợi nhuận tài chính,2021,29590902.0,2025-04-12
MH3,Lợi nhuận tài chính,2022,30823942.0,2025-04-12
MH3,Lợi nhuận tài chính,2023,41064604.0,2025-04-12
MH3,Lợi nhuận tài chính,2023,41064604.0,2025-04-12
MH3,Lợi nhuận khác,2021,-64946.0,2025-04-12
MH3,Lợi nhuận khác,2022,317806.0,2025-04-12
MH3,Lợi nhuận khác,2023,917797.0,2025-04-12
MH3,Lợi nhuận khác,2023,917797.0,2025-04-12
MH3,Tổng lợi nhuận trước thuế,2021,48954150.0,2025-04-12
MH3,Tổng lợi nhuận trước thuế,2022,58329472.0,2025-04-12
MH3,Tổng lợi nhuận trước thuế,2023,56222214.0,2025-04-12
MH3,Tổng lợi nhuận trước thuế,2023,56222214.0,2025-04-12
MH3,Lợi nhuận sau thuế,2021,41467523.0,2025-04-12
MH3,Lợi nhuận sau thuế,2022,48851378.0,2025-04-12
MH3,Lợi nhuận sau thuế,2023,45191627.0,2025-04-12
MH3,Lợi nhuận sau thuế,2023,45191627.0,2025-04-12
MH3,Lợi nhuận sau thuế của công ty mẹ,2021,41467523.0,2025-04-12
MH3,Lợi nhuận sau thuế của công ty mẹ,2022,48851378.0,2025-04-12
MH3,Lợi nhuận sau thuế của công ty mẹ,2023,45191627.0,2025-04-12
MH3,Lợi nhuận sau thuế của công ty mẹ,2023,45191627.0,2025-04-12
MH3,Tổng tài sản lưu động ngắn hạn,2021,581800735.0,2025-04-12
MH3,Tổng tài sản lưu động ngắn hạn,2022,612627529.0,2025-04-12
MH3,Tổng tài sản lưu động ngắn hạn,2023,908998502.0,2025-04-12
MH3,Tổng tài sản lưu động ngắn hạn,2023,908998502.0,2025-04-12
MH3,Tổng tài sản,2021,946068747.0,2025-04-12
MH3,Tổng tài sản,2022,992551827.0,2025-04-12
MH3,Tổng tài sản,2023,1291098438.0,2025-04-12
MH3,Tổng tài sản,2023,1291098438.0,2025-04-12
MH3,Nợ ngắn hạn,2021,82284899.0,2025-04-12
MH3,Nợ ngắn hạn,2022,52368176.0,2025-04-12
MH3,Nợ ngắn hạn,2023,96226306.0,2025-04-12
MH3,Nợ ngắn hạn,2023,96226306.0,2025-04-12
MH3,Tổng nợ,2021,729550256.0,2025-04-12
MH3,Tổng nợ,2022,733562619.0,2025-04-12
MH3,Tổng nợ,2023,702148240.0,2025-04-12
MH3,Tổng nợ,2023,702148240.0,2025-04-12
MH3,Vốn chủ sở hữu,2021,216518491.0,2025-04-12
MH3,Vốn chủ sở hữu,2022,258989208.0,2025-04-12
MH3,Vốn chủ sở hữu,2023,588950198.0,2025-04-12
MH3,Vốn chủ sở hữu,2023,588950198.0,2025-04-12
