symbol,metric,year,value,crawled_date
MKP,Doanh thu bán hàng và CCDV,2021,1130312364.0,2025-04-12
MKP,Doanh thu bán hàng và CCDV,2022,1193242313.0,2025-04-12
MKP,Doanh thu bán hàng và CCDV,2023,904838743.0,2025-04-12
MKP,Doanh thu bán hàng và CCDV,2024,919583349.0,2025-04-12
MKP,Giá vốn hàng bán,2021,920124782.0,2025-04-12
MKP,Giá vốn hàng bán,2022,843394340.0,2025-04-12
MKP,Giá vốn hàng bán,2023,637368901.0,2025-04-12
MKP,Giá vốn hàng bán,2024,671520898.0,2025-04-12
MKP,Lợi nhuận gộp về BH và CCDV,2021,209721785.0,2025-04-12
MKP,Lợi nhuận gộp về BH và CCDV,2022,348751343.0,2025-04-12
MKP,Lợi nhuận gộp về BH và CCDV,2023,267377671.0,2025-04-12
MKP,Lợi nhuận gộp về BH và CCDV,2024,248056556.0,2025-04-12
MKP,Lợi nhuận tài chính,2021,11907758.0,2025-04-12
MKP,Lợi nhuận tài chính,2022,-394475.0,2025-04-12
MKP,Lợi nhuận tài chính,2023,20015621.0,2025-04-12
MKP,Lợi nhuận tài chính,2024,62009396.0,2025-04-12
MKP,Lợi nhuận khác,2021,7238268.0,2025-04-12
MKP,Lợi nhuận khác,2022,-1951589.0,2025-04-12
MKP,Lợi nhuận khác,2023,16253193.0,2025-04-12
MKP,Lợi nhuận khác,2024,-291885.0,2025-04-12
MKP,Tổng lợi nhuận trước thuế,2021,24268961.0,2025-04-12
MKP,Tổng lợi nhuận trước thuế,2022,64787344.0,2025-04-12
MKP,Tổng lợi nhuận trước thuế,2023,43314332.0,2025-04-12
MKP,Tổng lợi nhuận trước thuế,2024,53134786.0,2025-04-12
MKP,Lợi nhuận sau thuế,2021,15860794.0,2025-04-12
MKP,Lợi nhuận sau thuế,2022,41690925.0,2025-04-12
MKP,Lợi nhuận sau thuế,2023,25114128.0,2025-04-12
MKP,Lợi nhuận sau thuế,2024,40785250.0,2025-04-12
MKP,Lợi nhuận sau thuế của công ty mẹ,2021,15860794.0,2025-04-12
MKP,Lợi nhuận sau thuế của công ty mẹ,2022,41690925.0,2025-04-12
MKP,Lợi nhuận sau thuế của công ty mẹ,2023,25114128.0,2025-04-12
MKP,Lợi nhuận sau thuế của công ty mẹ,2024,40785250.0,2025-04-12
MKP,Tổng tài sản lưu động ngắn hạn,2021,852901530.0,2025-04-12
MKP,Tổng tài sản lưu động ngắn hạn,2022,879002636.0,2025-04-12
MKP,Tổng tài sản lưu động ngắn hạn,2023,833961238.0,2025-04-12
MKP,Tổng tài sản lưu động ngắn hạn,2024,961166627.0,2025-04-12
MKP,Tổng tài sản,2021,1628313182.0,2025-04-12
MKP,Tổng tài sản,2022,1620433955.0,2025-04-12
MKP,Tổng tài sản,2023,1548934213.0,2025-04-12
MKP,Tổng tài sản,2024,1631595008.0,2025-04-12
MKP,Nợ ngắn hạn,2021,231698845.0,2025-04-12
MKP,Nợ ngắn hạn,2022,199825109.0,2025-04-12
MKP,Nợ ngắn hạn,2023,122557324.0,2025-04-12
MKP,Nợ ngắn hạn,2024,160062623.0,2025-04-12
MKP,Tổng nợ,2021,379260703.0,2025-04-12
MKP,Tổng nợ,2022,352785575.0,2025-04-12
MKP,Tổng nợ,2023,288040366.0,2025-04-12
MKP,Tổng nợ,2024,346911001.0,2025-04-12
MKP,Vốn chủ sở hữu,2021,1249052479.0,2025-04-12
MKP,Vốn chủ sở hữu,2022,1267648380.0,2025-04-12
MKP,Vốn chủ sở hữu,2023,1260893848.0,2025-04-12
MKP,Vốn chủ sở hữu,2024,1284684007.0,2025-04-12
