symbol,metric,year,value,crawled_date
MND,Doanh thu bán hàng và CCDV,2021,74973088.0,2025-04-12
MND,Doanh thu bán hàng và CCDV,2022,77386613.0,2025-04-12
MND,Doanh thu bán hàng và CCDV,2023,79687759.0,2025-04-12
MND,Doanh thu bán hàng và CCDV,2024,83506008.0,2025-04-12
MND,Giá vốn hàng bán,2021,60397774.0,2025-04-12
MND,Giá vốn hàng bán,2022,62556698.0,2025-04-12
MND,Giá vốn hàng bán,2023,63999383.0,2025-04-12
MND,Giá vốn hàng bán,2024,67855899.0,2025-04-12
MND,Lợi nhuận gộp về BH và CCDV,2021,14575314.0,2025-04-12
MND,Lợi nhuận gộp về BH và CCDV,2022,14829916.0,2025-04-12
MND,Lợi nhuận gộp về BH và CCDV,2023,15688376.0,2025-04-12
MND,Lợi nhuận gộp về BH và CCDV,2024,15650109.0,2025-04-12
MND,Lợi nhuận tài chính,2021,1144062.0,2025-04-12
MND,Lợi nhuận tài chính,2022,1072578.0,2025-04-12
MND,Lợi nhuận tài chính,2023,1780724.0,2025-04-12
MND,Lợi nhuận tài chính,2024,763635.0,2025-04-12
MND,Lợi nhuận khác,2021,342684.0,2025-04-12
MND,Lợi nhuận khác,2022,236338.0,2025-04-12
MND,Lợi nhuận khác,2023,26443.0,2025-04-12
MND,Lợi nhuận khác,2024,-44757.0,2025-04-12
MND,Tổng lợi nhuận trước thuế,2021,2745968.0,2025-04-12
MND,Tổng lợi nhuận trước thuế,2022,2939640.0,2025-04-12
MND,Tổng lợi nhuận trước thuế,2023,3307276.0,2025-04-12
MND,Tổng lợi nhuận trước thuế,2024,3663890.0,2025-04-12
MND,Lợi nhuận sau thuế,2021,2160967.0,2025-04-12
MND,Lợi nhuận sau thuế,2022,2350002.0,2025-04-12
MND,Lợi nhuận sau thuế,2023,2351093.0,2025-04-12
MND,Lợi nhuận sau thuế,2024,2915627.0,2025-04-12
MND,Lợi nhuận sau thuế của công ty mẹ,2021,2160967.0,2025-04-12
MND,Lợi nhuận sau thuế của công ty mẹ,2022,2350002.0,2025-04-12
MND,Lợi nhuận sau thuế của công ty mẹ,2023,2351093.0,2025-04-12
MND,Lợi nhuận sau thuế của công ty mẹ,2024,2915627.0,2025-04-12
MND,Tổng tài sản lưu động ngắn hạn,2021,32718789.0,2025-04-12
MND,Tổng tài sản lưu động ngắn hạn,2022,30797861.0,2025-04-12
MND,Tổng tài sản lưu động ngắn hạn,2023,33343439.0,2025-04-12
MND,Tổng tài sản lưu động ngắn hạn,2024,29292565.0,2025-04-12
MND,Tổng tài sản,2021,45929594.0,2025-04-12
MND,Tổng tài sản,2022,43610692.0,2025-04-12
MND,Tổng tài sản,2023,44779453.0,2025-04-12
MND,Tổng tài sản,2024,42109698.0,2025-04-12
MND,Nợ ngắn hạn,2021,20018839.0,2025-04-12
MND,Nợ ngắn hạn,2022,18021613.0,2025-04-12
MND,Nợ ngắn hạn,2023,19588444.0,2025-04-12
MND,Nợ ngắn hạn,2024,16656022.0,2025-04-12
MND,Tổng nợ,2021,20018839.0,2025-04-12
MND,Tổng nợ,2022,18021613.0,2025-04-12
MND,Tổng nợ,2023,19588444.0,2025-04-12
MND,Tổng nợ,2024,16656022.0,2025-04-12
MND,Vốn chủ sở hữu,2021,25910756.0,2025-04-12
MND,Vốn chủ sở hữu,2022,25589080.0,2025-04-12
MND,Vốn chủ sở hữu,2023,25191008.0,2025-04-12
MND,Vốn chủ sở hữu,2024,25453676.0,2025-04-12
