symbol,metric,year,value,crawled_date
MTA,Doanh thu bán hàng và CCDV,2021,1577929283.0,2025-04-12
MTA,Doanh thu bán hàng và CCDV,2022,1347781523.0,2025-04-12
MTA,Doanh thu bán hàng và CCDV,2023,1316762853.0,2025-04-12
MTA,Doanh thu bán hàng và CCDV,2024,1463311871.0,2025-04-12
MTA,Giá vốn hàng bán,2021,1429970977.0,2025-04-12
MTA,Giá vốn hàng bán,2022,1275059104.0,2025-04-12
MTA,Giá vốn hàng bán,2023,1261593685.0,2025-04-12
MTA,Giá vốn hàng bán,2024,1251261148.0,2025-04-12
MTA,Lợi nhuận gộp về BH và CCDV,2021,145407612.0,2025-04-12
MTA,Lợi nhuận gộp về BH và CCDV,2022,71856575.0,2025-04-12
MTA,Lợi nhuận gộp về BH và CCDV,2023,53528671.0,2025-04-12
MTA,Lợi nhuận gộp về BH và CCDV,2024,209292883.0,2025-04-12
MTA,Lợi nhuận tài chính,2021,-4042929.0,2025-04-12
MTA,Lợi nhuận tài chính,2022,5967893.0,2025-04-12
MTA,Lợi nhuận tài chính,2023,4199934.0,2025-04-12
MTA,Lợi nhuận tài chính,2024,10176605.0,2025-04-12
MTA,Lợi nhuận khác,2021,1560055.0,2025-04-12
MTA,Lợi nhuận khác,2022,5642359.0,2025-04-12
MTA,Lợi nhuận khác,2023,5688982.0,2025-04-12
MTA,Lợi nhuận khác,2024,5778152.0,2025-04-12
MTA,Tổng lợi nhuận trước thuế,2021,14642004.0,2025-04-12
MTA,Tổng lợi nhuận trước thuế,2022,-19184209.0,2025-04-12
MTA,Tổng lợi nhuận trước thuế,2023,-31931198.0,2025-04-12
MTA,Tổng lợi nhuận trước thuế,2024,98016124.0,2025-04-12
MTA,Lợi nhuận sau thuế,2021,741019.0,2025-04-12
MTA,Lợi nhuận sau thuế,2022,-30713429.0,2025-04-12
MTA,Lợi nhuận sau thuế,2023,-43870592.0,2025-04-12
MTA,Lợi nhuận sau thuế,2024,88544838.0,2025-04-12
MTA,Lợi nhuận sau thuế của công ty mẹ,2021,-5050088.0,2025-04-12
MTA,Lợi nhuận sau thuế của công ty mẹ,2022,-11148042.0,2025-04-12
MTA,Lợi nhuận sau thuế của công ty mẹ,2023,-25827612.0,2025-04-12
MTA,Lợi nhuận sau thuế của công ty mẹ,2024,47886044.0,2025-04-12
MTA,Tổng tài sản lưu động ngắn hạn,2021,620029419.0,2025-04-12
MTA,Tổng tài sản lưu động ngắn hạn,2022,631364308.0,2025-04-12
MTA,Tổng tài sản lưu động ngắn hạn,2023,626795180.0,2025-04-12
MTA,Tổng tài sản lưu động ngắn hạn,2024,712539737.0,2025-04-12
MTA,Tổng tài sản,2021,2014342557.0,2025-04-12
MTA,Tổng tài sản,2022,2049959476.0,2025-04-12
MTA,Tổng tài sản,2023,2046942942.0,2025-04-12
MTA,Tổng tài sản,2024,2106815722.0,2025-04-12
MTA,Nợ ngắn hạn,2021,487576024.0,2025-04-12
MTA,Nợ ngắn hạn,2022,580571751.0,2025-04-12
MTA,Nợ ngắn hạn,2023,561537293.0,2025-04-12
MTA,Nợ ngắn hạn,2024,552880643.0,2025-04-12
MTA,Tổng nợ,2021,737345958.0,2025-04-12
MTA,Tổng nợ,2022,822708644.0,2025-04-12
MTA,Tổng nợ,2023,879593183.0,2025-04-12
MTA,Tổng nợ,2024,866368093.0,2025-04-12
MTA,Vốn chủ sở hữu,2021,1276996599.0,2025-04-12
MTA,Vốn chủ sở hữu,2022,1227250832.0,2025-04-12
MTA,Vốn chủ sở hữu,2023,1167349758.0,2025-04-12
MTA,Vốn chủ sở hữu,2024,1240447629.0,2025-04-12
