symbol,metric,year,value,crawled_date
MTL,Doanh thu bán hàng và CCDV,2021,22553803.0,2025-04-12
MTL,Doanh thu bán hàng và CCDV,2022,26905205.0,2025-04-12
MTL,Doanh thu bán hàng và CCDV,2023,24645429.0,2025-04-12
MTL,Doanh thu bán hàng và CCDV,2024,25944207.0,2025-04-12
MTL,Giá vốn hàng bán,2021,20936032.0,2025-04-12
MTL,Giá vốn hàng bán,2022,25535210.0,2025-04-12
MTL,Giá vốn hàng bán,2023,22788854.0,2025-04-12
MTL,Giá vốn hàng bán,2024,24000976.0,2025-04-12
MTL,Lợi nhuận gộp về BH và CCDV,2021,1617771.0,2025-04-12
MTL,Lợi nhuận gộp về BH và CCDV,2022,1369996.0,2025-04-12
MTL,Lợi nhuận gộp về BH và CCDV,2023,1856575.0,2025-04-12
MTL,Lợi nhuận gộp về BH và CCDV,2024,1943231.0,2025-04-12
MTL,Lợi nhuận tài chính,2021,1637295.0,2025-04-12
MTL,Lợi nhuận tài chính,2022,1784915.0,2025-04-12
MTL,Lợi nhuận tài chính,2023,2462539.0,2025-04-12
MTL,Lợi nhuận tài chính,2024,2195762.0,2025-04-12
MTL,Lợi nhuận khác,2021,-18000.0,2025-04-12
MTL,Lợi nhuận khác,2022,-3000.0,2025-04-12
MTL,Lợi nhuận khác,2023,141608.0,2025-04-12
MTL,Lợi nhuận khác,2024,166486.0,2025-04-12
MTL,Tổng lợi nhuận trước thuế,2021,166935.0,2025-04-12
MTL,Tổng lợi nhuận trước thuế,2022,302225.0,2025-04-12
MTL,Tổng lợi nhuận trước thuế,2023,1045200.0,2025-04-12
MTL,Tổng lợi nhuận trước thuế,2024,1033794.0,2025-04-12
MTL,Lợi nhuận sau thuế,2021,155783.0,2025-04-12
MTL,Lợi nhuận sau thuế,2022,241180.0,2025-04-12
MTL,Lợi nhuận sau thuế,2023,834549.0,2025-04-12
MTL,Lợi nhuận sau thuế,2024,816494.0,2025-04-12
MTL,Lợi nhuận sau thuế của công ty mẹ,2021,155783.0,2025-04-12
MTL,Lợi nhuận sau thuế của công ty mẹ,2022,241180.0,2025-04-12
MTL,Lợi nhuận sau thuế của công ty mẹ,2023,834549.0,2025-04-12
MTL,Lợi nhuận sau thuế của công ty mẹ,2024,816494.0,2025-04-12
MTL,Tổng tài sản lưu động ngắn hạn,2021,48998826.0,2025-04-12
MTL,Tổng tài sản lưu động ngắn hạn,2022,41606006.0,2025-04-12
MTL,Tổng tài sản lưu động ngắn hạn,2023,36031773.0,2025-04-12
MTL,Tổng tài sản lưu động ngắn hạn,2024,45194049.0,2025-04-12
MTL,Tổng tài sản,2021,61973496.0,2025-04-12
MTL,Tổng tài sản,2022,65589280.0,2025-04-12
MTL,Tổng tài sản,2023,64978351.0,2025-04-12
MTL,Tổng tài sản,2024,65771179.0,2025-04-12
MTL,Nợ ngắn hạn,2021,3247299.0,2025-04-12
MTL,Nợ ngắn hạn,2022,6621903.0,2025-04-12
MTL,Nợ ngắn hạn,2023,3155175.0,2025-04-12
MTL,Nợ ngắn hạn,2024,3516509.0,2025-04-12
MTL,Tổng nợ,2021,3247299.0,2025-04-12
MTL,Tổng nợ,2022,6621903.0,2025-04-12
MTL,Tổng nợ,2023,5176425.0,2025-04-12
MTL,Tổng nợ,2024,5152759.0,2025-04-12
MTL,Vốn chủ sở hữu,2021,58726197.0,2025-04-12
MTL,Vốn chủ sở hữu,2022,58967377.0,2025-04-12
MTL,Vốn chủ sở hữu,2023,59801926.0,2025-04-12
MTL,Vốn chủ sở hữu,2024,60618420.0,2025-04-12
