symbol,metric,year,value,crawled_date
MTV,Doanh thu bán hàng và CCDV,2021,107326517.0,2025-04-12
MTV,Doanh thu bán hàng và CCDV,2022,106677724.0,2025-04-12
MTV,Doanh thu bán hàng và CCDV,2023,117079833.0,2025-04-12
MTV,Doanh thu bán hàng và CCDV,2024,110003321.0,2025-04-12
MTV,Giá vốn hàng bán,2021,82771741.0,2025-04-12
MTV,Giá vốn hàng bán,2022,85161114.0,2025-04-12
MTV,Giá vốn hàng bán,2023,94569524.0,2025-04-12
MTV,Giá vốn hàng bán,2024,89920423.0,2025-04-12
MTV,Lợi nhuận gộp về BH và CCDV,2021,24554776.0,2025-04-12
MTV,Lợi nhuận gộp về BH và CCDV,2022,21516611.0,2025-04-12
MTV,Lợi nhuận gộp về BH và CCDV,2023,22510309.0,2025-04-12
MTV,Lợi nhuận gộp về BH và CCDV,2024,20082899.0,2025-04-12
MTV,Lợi nhuận tài chính,2021,974609.0,2025-04-12
MTV,Lợi nhuận tài chính,2022,1597098.0,2025-04-12
MTV,Lợi nhuận tài chính,2023,2133924.0,2025-04-12
MTV,Lợi nhuận tài chính,2024,1555522.0,2025-04-12
MTV,Lợi nhuận khác,2021,-936761.0,2025-04-12
MTV,Lợi nhuận khác,2022,-803754.0,2025-04-12
MTV,Lợi nhuận khác,2023,5571.0,2025-04-12
MTV,Lợi nhuận khác,2024,-598449.0,2025-04-12
MTV,Tổng lợi nhuận trước thuế,2021,13455042.0,2025-04-12
MTV,Tổng lợi nhuận trước thuế,2022,11031427.0,2025-04-12
MTV,Tổng lợi nhuận trước thuế,2023,12535833.0,2025-04-12
MTV,Tổng lợi nhuận trước thuế,2024,11166090.0,2025-04-12
MTV,Lợi nhuận sau thuế,2021,11347237.0,2025-04-12
MTV,Lợi nhuận sau thuế,2022,8547859.0,2025-04-12
MTV,Lợi nhuận sau thuế,2023,9870312.0,2025-04-12
MTV,Lợi nhuận sau thuế,2024,8669685.0,2025-04-12
MTV,Lợi nhuận sau thuế của công ty mẹ,2021,11347237.0,2025-04-12
MTV,Lợi nhuận sau thuế của công ty mẹ,2022,8547859.0,2025-04-12
MTV,Lợi nhuận sau thuế của công ty mẹ,2023,9870312.0,2025-04-12
MTV,Lợi nhuận sau thuế của công ty mẹ,2024,8669685.0,2025-04-12
MTV,Tổng tài sản lưu động ngắn hạn,2021,72383601.0,2025-04-12
MTV,Tổng tài sản lưu động ngắn hạn,2022,76074569.0,2025-04-12
MTV,Tổng tài sản lưu động ngắn hạn,2023,82664657.0,2025-04-12
MTV,Tổng tài sản lưu động ngắn hạn,2024,74303145.0,2025-04-12
MTV,Tổng tài sản,2021,114414075.0,2025-04-12
MTV,Tổng tài sản,2022,113747650.0,2025-04-12
MTV,Tổng tài sản,2023,118299446.0,2025-04-12
MTV,Tổng tài sản,2024,112730252.0,2025-04-12
MTV,Nợ ngắn hạn,2021,14801102.0,2025-04-12
MTV,Nợ ngắn hạn,2022,16374425.0,2025-04-12
MTV,Nợ ngắn hạn,2023,19603768.0,2025-04-12
MTV,Nợ ngắn hạn,2024,15235201.0,2025-04-12
MTV,Tổng nợ,2021,14801102.0,2025-04-12
MTV,Tổng nợ,2022,16374425.0,2025-04-12
MTV,Tổng nợ,2023,19603768.0,2025-04-12
MTV,Tổng nợ,2024,15235201.0,2025-04-12
MTV,Vốn chủ sở hữu,2021,99612973.0,2025-04-12
MTV,Vốn chủ sở hữu,2022,97373224.0,2025-04-12
MTV,Vốn chủ sở hữu,2023,98695677.0,2025-04-12
MTV,Vốn chủ sở hữu,2024,97495051.0,2025-04-12
