symbol,metric,year,value,crawled_date
MVN,Doanh thu bán hàng và CCDV,2021,13269462329.0,2025-04-12
MVN,Doanh thu bán hàng và CCDV,2022,14343686248.0,2025-04-12
MVN,Doanh thu bán hàng và CCDV,2023,12820166123.0,2025-04-12
MVN,Doanh thu bán hàng và CCDV,2024,16969719071.0,2025-04-12
MVN,Giá vốn hàng bán,2021,9638541765.0,2025-04-12
MVN,Giá vốn hàng bán,2022,10366739900.0,2025-04-12
MVN,Giá vốn hàng bán,2023,10412004594.0,2025-04-12
MVN,Giá vốn hàng bán,2024,14147885979.0,2025-04-12
MVN,Lợi nhuận gộp về BH và CCDV,2021,3628215536.0,2025-04-12
MVN,Lợi nhuận gộp về BH và CCDV,2022,3976259070.0,2025-04-12
MVN,Lợi nhuận gộp về BH và CCDV,2023,2403014877.0,2025-04-12
MVN,Lợi nhuận gộp về BH và CCDV,2024,2813362201.0,2025-04-12
MVN,Lợi nhuận tài chính,2021,44251179.0,2025-04-12
MVN,Lợi nhuận tài chính,2022,46696806.0,2025-04-12
MVN,Lợi nhuận tài chính,2023,407056493.0,2025-04-12
MVN,Lợi nhuận tài chính,2024,239710563.0,2025-04-12
MVN,Lợi nhuận khác,2021,307307808.0,2025-04-12
MVN,Lợi nhuận khác,2022,338594951.0,2025-04-12
MVN,Lợi nhuận khác,2023,345650258.0,2025-04-12
MVN,Lợi nhuận khác,2024,1356228508.0,2025-04-12
MVN,Tổng lợi nhuận trước thuế,2021,3640019291.0,2025-04-12
MVN,Tổng lợi nhuận trước thuế,2022,3055330326.0,2025-04-12
MVN,Tổng lợi nhuận trước thuế,2023,2126014151.0,2025-04-12
MVN,Tổng lợi nhuận trước thuế,2024,3152648526.0,2025-04-12
MVN,Lợi nhuận sau thuế,2021,3188966838.0,2025-04-12
MVN,Lợi nhuận sau thuế,2022,2540477798.0,2025-04-12
MVN,Lợi nhuận sau thuế,2023,1701819140.0,2025-04-12
MVN,Lợi nhuận sau thuế,2024,2629828754.0,2025-04-12
MVN,Lợi nhuận sau thuế của công ty mẹ,2021,2191447232.0,2025-04-12
MVN,Lợi nhuận sau thuế của công ty mẹ,2022,1834849768.0,2025-04-12
MVN,Lợi nhuận sau thuế của công ty mẹ,2023,1162313199.0,2025-04-12
MVN,Lợi nhuận sau thuế của công ty mẹ,2024,2021014445.0,2025-04-12
MVN,Tổng tài sản lưu động ngắn hạn,2021,12154579338.0,2025-04-12
MVN,Tổng tài sản lưu động ngắn hạn,2022,12835961755.0,2025-04-12
MVN,Tổng tài sản lưu động ngắn hạn,2023,11965376077.0,2025-04-12
MVN,Tổng tài sản lưu động ngắn hạn,2024,13250276251.0,2025-04-12
MVN,Tổng tài sản,2021,26253392289.0,2025-04-12
MVN,Tổng tài sản,2022,26946485699.0,2025-04-12
MVN,Tổng tài sản,2023,27537463616.0,2025-04-12
MVN,Tổng tài sản,2024,30424970633.0,2025-04-12
MVN,Nợ ngắn hạn,2021,9626998127.0,2025-04-12
MVN,Nợ ngắn hạn,2022,8331224509.0,2025-04-12
MVN,Nợ ngắn hạn,2023,7417142296.0,2025-04-12
MVN,Nợ ngắn hạn,2024,8099991349.0,2025-04-12
MVN,Tổng nợ,2021,14810192919.0,2025-04-12
MVN,Tổng nợ,2022,12861117369.0,2025-04-12
MVN,Tổng nợ,2023,12168959810.0,2025-04-12
MVN,Tổng nợ,2024,13008273020.0,2025-04-12
MVN,Vốn chủ sở hữu,2021,11443199370.0,2025-04-12
MVN,Vốn chủ sở hữu,2022,14085368330.0,2025-04-12
MVN,Vốn chủ sở hữu,2023,15368503807.0,2025-04-12
MVN,Vốn chủ sở hữu,2024,17416697613.0,2025-04-12
