symbol,metric,year,value,crawled_date
MWG,Doanh thu bán hàng và CCDV,2022,134722248888.0,2025-04-12
MWG,Doanh thu bán hàng và CCDV,2023,119234184825.0,2025-04-12
MWG,Doanh thu bán hàng và CCDV,2023,119234184825.0,2025-04-12
MWG,Doanh thu bán hàng và CCDV,2024,135225101299.0,2025-04-12
MWG,Giá vốn hàng bán,2022,102542735094.0,2025-04-12
MWG,Giá vốn hàng bán,2023,95759175292.0,2025-04-12
MWG,Giá vốn hàng bán,2023,95759175292.0,2025-04-12
MWG,Giá vốn hàng bán,2024,106841942772.0,2025-04-12
MWG,Lợi nhuận gộp về BH và CCDV,2022,30862042496.0,2025-04-12
MWG,Lợi nhuận gộp về BH và CCDV,2023,22520613164.0,2025-04-12
MWG,Lợi nhuận gộp về BH và CCDV,2023,22520613164.0,2025-04-12
MWG,Lợi nhuận gộp về BH và CCDV,2024,27499210077.0,2025-04-12
MWG,Lợi nhuận tài chính,2022,-69483150.0,2025-04-12
MWG,Lợi nhuận tài chính,2023,610817608.0,2025-04-12
MWG,Lợi nhuận tài chính,2023,610817608.0,2025-04-12
MWG,Lợi nhuận tài chính,2024,1188036996.0,2025-04-12
MWG,Lợi nhuận khác,2022,-518338325.0,2025-04-12
MWG,Lợi nhuận khác,2023,-357375986.0,2025-04-12
MWG,Lợi nhuận khác,2023,-357375986.0,2025-04-12
MWG,Lợi nhuận khác,2024,-401282412.0,2025-04-12
MWG,Tổng lợi nhuận trước thuế,2022,6056355374.0,2025-04-12
MWG,Tổng lợi nhuận trước thuế,2023,689692368.0,2025-04-12
MWG,Tổng lợi nhuận trước thuế,2023,689692368.0,2025-04-12
MWG,Tổng lợi nhuận trước thuế,2024,4825763013.0,2025-04-12
MWG,Lợi nhuận sau thuế,2022,4101714425.0,2025-04-12
MWG,Lợi nhuận sau thuế,2023,167829155.0,2025-04-12
MWG,Lợi nhuận sau thuế,2023,167829155.0,2025-04-12
MWG,Lợi nhuận sau thuế,2024,3733288229.0,2025-04-12
MWG,Lợi nhuận sau thuế của công ty mẹ,2022,4099763027.0,2025-04-12
MWG,Lợi nhuận sau thuế của công ty mẹ,2023,167669393.0,2025-04-12
MWG,Lợi nhuận sau thuế của công ty mẹ,2023,167669393.0,2025-04-12
MWG,Lợi nhuận sau thuế của công ty mẹ,2024,3721868442.0,2025-04-12
MWG,Tổng tài sản lưu động ngắn hạn,2022,44577607228.0,2025-04-12
MWG,Tổng tài sản lưu động ngắn hạn,2023,51950337976.0,2025-04-12
MWG,Tổng tài sản lưu động ngắn hạn,2023,51950337976.0,2025-04-12
MWG,Tổng tài sản lưu động ngắn hạn,2024,65836422620.0,2025-04-12
MWG,Tổng tài sản,2022,55834095614.0,2025-04-12
MWG,Tổng tài sản,2023,60111237213.0,2025-04-12
MWG,Tổng tài sản,2023,60111237213.0,2025-04-12
MWG,Tổng tài sản,2024,70437775722.0,2025-04-12
MWG,Nợ ngắn hạn,2022,26000264096.0,2025-04-12
MWG,Nợ ngắn hạn,2023,30765260554.0,2025-04-12
MWG,Nợ ngắn hạn,2023,30765260554.0,2025-04-12
MWG,Nợ ngắn hạn,2024,42316198898.0,2025-04-12
MWG,Tổng nợ,2022,31901514096.0,2025-04-12
MWG,Tổng nợ,2023,36751679245.0,2025-04-12
MWG,Tổng nợ,2023,36751679245.0,2025-04-12
MWG,Tổng nợ,2024,42316198898.0,2025-04-12
MWG,Vốn chủ sở hữu,2022,23932581518.0,2025-04-12
MWG,Vốn chủ sở hữu,2023,23359557967.0,2025-04-12
MWG,Vốn chủ sở hữu,2023,23359557967.0,2025-04-12
MWG,Vốn chủ sở hữu,2024,28121576824.0,2025-04-12
