symbol,metric,year,value,crawled_date
NAC,Doanh thu bán hàng và CCDV,2021,242087657.0,2025-04-12
NAC,Doanh thu bán hàng và CCDV,2022,254497185.0,2025-04-12
NAC,Doanh thu bán hàng và CCDV,2023,191921089.0,2025-04-12
NAC,Doanh thu bán hàng và CCDV,2024,223620676.0,2025-04-12
NAC,Giá vốn hàng bán,2021,213176211.0,2025-04-12
NAC,Giá vốn hàng bán,2022,223633946.0,2025-04-12
NAC,Giá vốn hàng bán,2023,169270584.0,2025-04-12
NAC,Giá vốn hàng bán,2024,195696859.0,2025-04-12
NAC,Lợi nhuận gộp về BH và CCDV,2021,28675173.0,2025-04-12
NAC,Lợi nhuận gộp về BH và CCDV,2022,30863239.0,2025-04-12
NAC,Lợi nhuận gộp về BH và CCDV,2023,22650505.0,2025-04-12
NAC,Lợi nhuận gộp về BH và CCDV,2024,27922048.0,2025-04-12
NAC,Lợi nhuận tài chính,2021,4921571.0,2025-04-12
NAC,Lợi nhuận tài chính,2022,5869192.0,2025-04-12
NAC,Lợi nhuận tài chính,2023,6014601.0,2025-04-12
NAC,Lợi nhuận tài chính,2024,10651245.0,2025-04-12
NAC,Lợi nhuận khác,2021,637079.0,2025-04-12
NAC,Lợi nhuận khác,2022,132440.0,2025-04-12
NAC,Lợi nhuận khác,2023,293323.0,2025-04-12
NAC,Lợi nhuận khác,2024,-9578.0,2025-04-12
NAC,Tổng lợi nhuận trước thuế,2021,8220034.0,2025-04-12
NAC,Tổng lợi nhuận trước thuế,2022,8420528.0,2025-04-12
NAC,Tổng lợi nhuận trước thuế,2023,6326383.0,2025-04-12
NAC,Tổng lợi nhuận trước thuế,2024,11477451.0,2025-04-12
NAC,Lợi nhuận sau thuế,2021,7056989.0,2025-04-12
NAC,Lợi nhuận sau thuế,2022,7525669.0,2025-04-12
NAC,Lợi nhuận sau thuế,2023,5586462.0,2025-04-12
NAC,Lợi nhuận sau thuế,2024,9533676.0,2025-04-12
NAC,Lợi nhuận sau thuế của công ty mẹ,2021,7056989.0,2025-04-12
NAC,Lợi nhuận sau thuế của công ty mẹ,2022,7525669.0,2025-04-12
NAC,Lợi nhuận sau thuế của công ty mẹ,2023,5586462.0,2025-04-12
NAC,Lợi nhuận sau thuế của công ty mẹ,2024,9533676.0,2025-04-12
NAC,Tổng tài sản lưu động ngắn hạn,2021,118762852.0,2025-04-12
NAC,Tổng tài sản lưu động ngắn hạn,2022,125775949.0,2025-04-12
NAC,Tổng tài sản lưu động ngắn hạn,2023,121817376.0,2025-04-12
NAC,Tổng tài sản lưu động ngắn hạn,2024,128467052.0,2025-04-12
NAC,Tổng tài sản,2021,144373369.0,2025-04-12
NAC,Tổng tài sản,2022,154988571.0,2025-04-12
NAC,Tổng tài sản,2023,145493192.0,2025-04-12
NAC,Tổng tài sản,2024,166670110.0,2025-04-12
NAC,Nợ ngắn hạn,2021,107737562.0,2025-04-12
NAC,Nợ ngắn hạn,2022,117903584.0,2025-04-12
NAC,Nợ ngắn hạn,2023,110275412.0,2025-04-12
NAC,Nợ ngắn hạn,2024,127433116.0,2025-04-12
NAC,Tổng nợ,2021,107991158.0,2025-04-12
NAC,Tổng nợ,2022,118157179.0,2025-04-12
NAC,Tổng nợ,2023,110529008.0,2025-04-12
NAC,Tổng nợ,2024,127686711.0,2025-04-12
NAC,Vốn chủ sở hữu,2021,36382212.0,2025-04-12
NAC,Vốn chủ sở hữu,2022,36831392.0,2025-04-12
NAC,Vốn chủ sở hữu,2023,34964185.0,2025-04-12
NAC,Vốn chủ sở hữu,2024,38983399.0,2025-04-12
